Species,Female_Homosexuality,Male_Homosexuality,Typically single progeny?,Progeny Count
Acinonyx jubatus,1,1,N,3.3
Acomys cahirinus,0,0,N,2.4
Aepyceros melampus,0,0,Y,1.0
Ailuropoda melanoleuca,0,0,N,1.6
Ailurus fulgens,0,0,N,1.9
Alces alces,1,1,Y,1.3
Alopex lagopus,0,0,N,7.7
Alouatta caraya,0,0,Y,1.0
Alouatta palliata,0,0,Y,1.0
Alouatta pigra,0,0,Y,1.0
Alouatta seniculus,0,0,Y,1.4
Antechinus stuartii,1,1,N,6.9
Antidorcas marsupialis,0,0,Y,1.0
Antilocapra americana,1,1,N,1.9
Antilope cervicapra,1,1,Y,1.0
Antrozous pallidus,0,0,N,1.8
Aonyx capensis,0,0,N,2.6
Aotus trivirgatus,0,0,Y,1.1
Apodemus agrarius,0,0,N,5.6
Apodemus flavicollis,0,0,N,5.2
Apodemus sylvaticus,0,0,N,5.2
Arctocephalus australis,0,0,Y,1.0
Arctocephalus forsteri,0,0,Y,1.0
Arctocephalus gazella,0,0,Y,1.0
Arctocephalus pusillus,0,0,Y,1.0
Arctocephalus tropicalis,0,0,Y,1.0
Ateles belzebuth,0,0,Y,1.0
Ateles geoffroyi,0,1,Y,1.0
Ateles paniscus,0,0,Y,1.0
Balaena mysticetus,1,1,Y,1.0
Balaenoptera acutorostrata,0,0,Y,1.0
Balaenoptera borealis,0,0,Y,1.0
Balaenoptera edeni,0,0,Y,1.0
Balaenoptera musculus,0,0,Y,1.0
Balaenoptera physalus,0,0,Y,1.0
Barbastella barbastellus,0,1,N,1.7
Bison bison,1,1,Y,1.0
Bison bonasus,1,1,Y,1.0
Blarina brevicauda,0,0,N,5.4
Bos gaurus,0,0,N,1.0
Bos indicus,0,0,Y,1.0
Bos primigenius,1,0,Y,1.0
Bos taurus,0,0,Y,1.0
Brachyteles arachnoides,0,0,Y,1.0
Bubalus bubalis,0,0,N,1.5
Callicebus moloch,0,0,Y,1.0
Callimico goeldii,0,0,Y,1.1
Callithrix jacchus,0,1,N,2.3
Callorhinus ursinus,1,1,Y,1.0
Camelus dromedarius,1,0,Y,1.0
Canis latrans,0,0,N,5.7
Canis mesomelas,0,0,N,3.9
Canis simensis,0,0,N,4.0
Capra aegagrus,0,1,N,1.6
Capra hircus (? check up),0,0,N,1.5
Capra ibex,0,1,Y,1.1
Capra pyrenaica,0,1,N,1.5
Capreolus capreolus,0,1,N,1.8
Caracal caracal,0,0,N,2.7
Carollia perspicillata,0,0,Y,1.0
Castor canadensis,0,0,N,3.6
Castor fiber,0,0,N,3.0
Cavia aperea,1,1,N,2.3
Cavia porcellus,0,0,N,3.5
Cebuella pygmaea,0,0,N,1.9
Cebus albifrons,0,1,Y,1.0
Cebus (Sapajus?) apella,1,1,Y,1.1
Cebus capucinus,1,1,Y,1.0
Cebus olivaceus,1,1,Y,1.0
Cephalorhynchus hectori,0,0,Y,1.0
Ceratotherium simum,0,0,Y,1.0
Cercocebus torquatus,1,1,Y,1.0
Cercopithecus ascanius,0,0,Y,1.0
Cercopithecus diana,0,0,Y,1.0
Cercopithecus mitis,0,0,Y,1.0
Cerdocyon thous,0,0,N,3.5
Cervus canadensis,0,0,Y,1.0
Cervus elaphus,1,1,Y,1.1
Cervus nippon,0,1,Y,1.0
Cheirogaleus medius,0,0,N,2.0
