Species,FSSB,MSSB,SSB
Abrocoma_bennetti,0,0,0
Abrothrix_longipilis,0,0,0
Abrothrix_olivaceus,0,0,0
Acerodon_celebensis,0,0,0
Acinonyx_jubatus,1,1,1
Acomys_cahirinus,0,0,0
Acomys_dimidiatus,0,0,0
Acomys_russatus,0,0,0
Acomys_spinosissimus,0,0,0
Acomys_subspinosus,0,0,0
Acomys_wilsoni,0,0,0
Aconaemys_fuscus,0,0,0
Aconaemys_porteri,0,0,0
Acrobates_pygmaeus,0,0,0
Aepyceros_melampus,0,0,0
Aepyprymnus_rufescens,1,0,1
Aethomys_chrysophilus,0,0,0
Aethomys_hindei,0,0,0
Aethomys_namaquensis,0,0,0
Ailuropoda_melanoleuca,0,0,0
Ailurops_ursinus,0,0,0
Ailurus_fulgens,0,0,0
Akodon_aliquantulus,0,0,0
Akodon_azarae,0,0,0
Akodon_cursor,0,0,0
Akodon_dolores,0,0,0
Akodon_iniscatus,0,0,0
Akodon_molinae,0,0,0
Akodon_simulator,0,0,0
Akodon_spegazzinii,0,0,0
Alcelaphus_buselaphus,1,0,1
Alcelaphus_caama,0,0,0
Alcelaphus_lichtensteinii,0,0,0
Alces_alces,1,1,1
Alces_americanus,1,1,1
Allactaga_bullata,0,0,0
Allactaga_elater,0,0,0
Allactaga_euphratica,0,0,0
Allactaga_sibirica,0,0,0
Allactaga_williamsi,0,0,0
Alopex_lagopus,0,0,0
Alouatta_belzebul,0,0,0
Alouatta_caraya,0,0,0
Alouatta_guariba,0,0,0
Alouatta_palliata,0,0,0
Alouatta_pigra,0,0,0
Alouatta_seniculus,0,0,0
Alticola_roylei,0,0,0
Amblysomus_hottentotus,0,0,0
Ammodorcas_clarkei,0,0,0
Ammospermophilus_harrisi,0,0,0
Ammospermophilus_harrisii,0,0,0
Ammospermophilus_interpres,0,0,0
Ammospermophilus_leucurus,0,0,0
Ammotragus_lervia,1,1,1
Anathana_ellioti,0,0,0
Anomalurus_derbianus,0,0,0
Anomalurus_pusillus,0,0,0
Anourosorex_squamipes,0,0,0
Antechinus_agilis,0,0,0
