Binomial.1.2,Order.1.2,Family.1.2,Genus.1.2,Species.1.2,,Present in 1700?,FSSB,MSSB,SSB
Abrocoma_bennettii,Rodentia,Abrocomidae,Abrocoma,bennettii,,Y,0,0,0
Abrocoma_boliviensis,Rodentia,Abrocomidae,Abrocoma,boliviensis,,,,,
Abrocoma_budini,Rodentia,Abrocomidae,Abrocoma,budini,,,,,
Abrocoma_cinerea,Rodentia,Abrocomidae,Abrocoma,cinerea,,,,,
Abrocoma_famatina,Rodentia,Abrocomidae,Abrocoma,famatina,,,,,
Abrocoma_shistacea,Rodentia,Abrocomidae,Abrocoma,shistacea,,,,,
Abrocoma_uspallata,Rodentia,Abrocomidae,Abrocoma,uspallata,,,,,
Abrocoma_vaccarum,Rodentia,Abrocomidae,Abrocoma,vaccarum,,,,,
Cuscomys_ashaninka,Rodentia,Abrocomidae,Cuscomys,ashaninka,,,,,
Cuscomys_oblativa,Rodentia,Abrocomidae,Cuscomys,oblativa,,,,,
Acrobates_pygmaeus,Diprotodontia,Acrobatidae,Acrobates,pygmaeus,,Y,0,0,0
Distoechurus_pennatus,Diprotodontia,Acrobatidae,Distoechurus,pennatus,,,,,
Ailurus_fulgens,Carnivora,Ailuridae,Ailurus,fulgens,,Y,0,0,0
Anomalurus_beecrofti,Rodentia,Anomaluridae,Anomalurus,beecrofti,,,,,
Anomalurus_derbianus,Rodentia,Anomaluridae,Anomalurus,derbianus,,Y,0,0,0
Anomalurus_pelii,Rodentia,Anomaluridae,Anomalurus,pelii,,,,,
Anomalurus_pusillus,Rodentia,Anomaluridae,Anomalurus,pusillus,,Y,0,0,0
Idiurus_macrotis,Rodentia,Anomaluridae,Idiurus,macrotis,,Y,0,0,0
Idiurus_zenkeri,Rodentia,Anomaluridae,Idiurus,zenkeri,,,,,
Zenkerella_insignis,Rodentia,Anomaluridae,Zenkerella,insignis,,,,,
Antilocapra_americana,Cetartiodactyla,Antilocapridae,Antilocapra,americana,,Y,1,1,1
Capromeryx_minor,Cetartiodactyla,Antilocapridae,Capromeryx,minor,,,,,
Stockoceros_conklingi,Cetartiodactyla,Antilocapridae,Stockoceros,conklingi,,,,,
Tetrameryx_shuleri,Cetartiodactyla,Antilocapridae,Tetrameryx,shuleri,,,,,
Aotus_azarae,Primates,Aotidae,Aotus,azarae,,Y,0,0,0
Aotus_brumbacki,Primates,Aotidae,Aotus,brumbacki,,,,,
Aotus_griseimembra,Primates,Aotidae,Aotus,griseimembra,,,,,
Aotus_jorgehernandezi,Primates,Aotidae,Aotus,jorgehernandezi,,,,,
Aotus_lemurinus,Primates,Aotidae,Aotus,lemurinus,,Y,0,0,0
Aotus_miconax,Primates,Aotidae,Aotus,miconax,,,,,
Aotus_nancymaae,Primates,Aotidae,Aotus,nancymaae,,Y,0,0,0
Aotus_nigriceps,Primates,Aotidae,Aotus,nigriceps,,Y,0,0,0
Aotus_trivirgatus,Primates,Aotidae,Aotus,trivirgatus,,Y,0,0,0
Aotus_vociferans,Primates,Aotidae,Aotus,vociferans,,Y,0,0,0
Aotus_zonalis,Primates,Aotidae,Aotus,zonalis,,,,,
Aplodontia_rufa,Rodentia,Aplodontiidae,Aplodontia,rufa,,Y,0,0,0
Archaeolemur_edwardsi,Primates,Archaeolemuridae,Archaeolemur,edwardsi,,,,,
Archaeolemur_majori,Primates,Archaeolemuridae,Archaeolemur,majori,,,,,
Hadropithecus_stenognathus,Primates,Archaeolemuridae,Hadropithecus,stenognathus,,,,,
Alouatta_arctoidea,Primates,Atelidae,Alouatta,arctoidea,,,,,
Alouatta_belzebul,Primates,Atelidae,Alouatta,belzebul,,Y,0,0,0
Alouatta_caraya,Primates,Atelidae,Alouatta,caraya,,Y,0,0,0
Alouatta_discolor,Primates,Atelidae,Alouatta,discolor,,,,,
Alouatta_guariba,Primates,Atelidae,Alouatta,guariba,,Y,0,0,0
Alouatta_macconnelli,Primates,Atelidae,Alouatta,macconnelli,,,,,
Alouatta_nigerrima,Primates,Atelidae,Alouatta,nigerrima,,,,,
Alouatta_palliata,Primates,Atelidae,Alouatta,palliata,,Y,0,0,0
Alouatta_pigra,Primates,Atelidae,Alouatta,pigra,,Y,0,0,0
Alouatta_sara,Primates,Atelidae,Alouatta,sara,,,,,
Alouatta_seniculus,Primates,Atelidae,Alouatta,seniculus,,Y,0,0,0
Alouatta_ululata,Primates,Atelidae,Alouatta,ululata,,,,,
Ateles_belzebuth,Primates,Atelidae,Ateles,belzebuth,,Y,0,0,0
Ateles_chamek,Primates,Atelidae,Ateles,chamek,,Y,0,0,0
Ateles_fusciceps,Primates,Atelidae,Ateles,fusciceps,,,,,
Ateles_geoffroyi,Primates,Atelidae,Ateles,geoffroyi,,Y,0,1,1
Ateles_hybridus,Primates,Atelidae,Ateles,hybridus,,Y,0,0,0
Ateles_marginatus,Primates,Atelidae,Ateles,marginatus,,,,,
Ateles_paniscus,Primates,Atelidae,Ateles,paniscus,,Y,0,0,0
Brachyteles_arachnoides,Primates,Atelidae,Brachyteles,arachnoides,,Y,0,0,0
Brachyteles_hypoxanthus,Primates,Atelidae,Brachyteles,hypoxanthus,,Y,0,0,0
Caipora_bambuiorum,Primates,Atelidae,Caipora,bambuiorum,,,,,
Lagothrix_cana,Primates,Atelidae,Lagothrix,cana,,,,,
Lagothrix_lagotricha,Primates,Atelidae,Lagothrix,lagotricha,,Y,0,0,0
Lagothrix_lugens,Primates,Atelidae,Lagothrix,lugens,,,,,
Lagothrix_poeppigii,Primates,Atelidae,Lagothrix,poeppigii,,,,,
Oreonax_flavicauda,Primates,Atelidae,Oreonax,flavicauda,,Y,0,0,0
Protopithecus_brasiliensis,Primates,Atelidae,Protopithecus,brasiliensis,,,,,
Balaena_mysticetus,Cetartiodactyla,Balaenidae,Balaena,mysticetus,,Y,1,1,1
Eubalaena_australis,Cetartiodactyla,Balaenidae,Eubalaena,australis,,Y,1,1,1
Eubalaena_glacialis,Cetartiodactyla,Balaenidae,Eubalaena,glacialis,,Y,1,1,1
Eubalaena_japonica,Cetartiodactyla,Balaenidae,Eubalaena,japonica,,Y,0,0,0
Balaenoptera_acutorostrata,Cetartiodactyla,Balaenopteridae,Balaenoptera,acutorostrata,,Y,0,0,0
Balaenoptera_bonaerensis,Cetartiodactyla,Balaenopteridae,Balaenoptera,bonaerensis,,,,,
Balaenoptera_borealis,Cetartiodactyla,Balaenopteridae,Balaenoptera,borealis,,Y,0,0,0
Balaenoptera_edeni,Cetartiodactyla,Balaenopteridae,Balaenoptera,edeni,,Y,0,0,0
Balaenoptera_musculus,Cetartiodactyla,Balaenopteridae,Balaenoptera,musculus,,Y,0,0,0
Balaenoptera_omurai,Cetartiodactyla,Balaenopteridae,Balaenoptera,omurai,,,,,
Balaenoptera_physalus,Cetartiodactyla,Balaenopteridae,Balaenoptera,physalus,,Y,0,0,1
Megaptera_novaeangliae,Cetartiodactyla,Balaenopteridae,Megaptera,novaeangliae,,Y,0,0,0
Bathyergus_janetta,Rodentia,Bathyergidae,Bathyergus,janetta,,,,,
Bathyergus_suillus,Rodentia,Bathyergidae,Bathyergus,suillus,,Y,0,0,0
Cryptomys_hottentotus,Rodentia,Bathyergidae,Cryptomys,hottentotus,,Y,0,1,1
Fukomys_anselli,Rodentia,Bathyergidae,Fukomys,anselli,,,,,
Fukomys_bocagei,Rodentia,Bathyergidae,Fukomys,bocagei,,,,,
Fukomys_damarensis,Rodentia,Bathyergidae,Fukomys,damarensis,,Y,0,0,0
Fukomys_darlingi,Rodentia,Bathyergidae,Fukomys,darlingi,,,,,
Fukomys_foxi,Rodentia,Bathyergidae,Fukomys,foxi,,,,,
Fukomys_kafuensis,Rodentia,Bathyergidae,Fukomys,kafuensis,,,,,
Fukomys_mechowi,Rodentia,Bathyergidae,Fukomys,mechowi,,,,,
Fukomys_ochraceocinereus,Rodentia,Bathyergidae,Fukomys,ochraceocinereus,,,,,
Fukomys_zechi,Rodentia,Bathyergidae,Fukomys,zechi,,,,,
Georychus_capensis,Rodentia,Bathyergidae,Georychus,capensis,,Y,0,0,0
Heliophobius_argenteocinereus,Rodentia,Bathyergidae,Heliophobius,argenteocinereus,,Y,0,0,0
Heterocephalus_glaber,Rodentia,Bathyergidae,Heterocephalus,glaber,,Y,0,1,1
Addax_nasomaculatus,Cetartiodactyla,Bovidae,Addax,nasomaculatus,,,,,
Aepyceros_melampus,Cetartiodactyla,Bovidae,Aepyceros,melampus,,Y,0,0,0
Alcelaphus_buselaphus,Cetartiodactyla,Bovidae,Alcelaphus,buselaphus,,Y,1,0,1
Ammodorcas_clarkei,Cetartiodactyla,Bovidae,Ammodorcas,clarkei,,Y,0,0,0
Ammotragus_lervia,Cetartiodactyla,Bovidae,Ammotragus,lervia,,Y,1,1,1
Antidorcas_australis,Cetartiodactyla,Bovidae,Antidorcas,australis,,,,,
Antidorcas_bondi,Cetartiodactyla,Bovidae,Antidorcas,bondi,,,,,
Antidorcas_marsupialis,Cetartiodactyla,Bovidae,Antidorcas,marsupialis,,Y,0,0,0
Antilope_cervicapra,Cetartiodactyla,Bovidae,Antilope,cervicapra,,Y,1,1,1
Arabitragus_jayakari,Cetartiodactyla,Bovidae,Arabitragus,jayakari,,,,,
Beatragus_hunteri,Cetartiodactyla,Bovidae,Beatragus,hunteri,,Y,0,0,0
Bison_bison,Cetartiodactyla,Bovidae,Bison,bison,,Y,1,1,1
Bison_bonasus,Cetartiodactyla,Bovidae,Bison,bonasus,,Y,1,1,1
Bootherium_bombifrons,Cetartiodactyla,Bovidae,Bootherium,bombifrons,,,,,
Bos_gaurus,Cetartiodactyla,Bovidae,Bos,gaurus,,Y,0,0,0
Bos_javanicus,Cetartiodactyla,Bovidae,Bos,javanicus,,Y,1,1,1
Bos_mutus,Cetartiodactyla,Bovidae,Bos,mutus,,Y,0,0,0
Bos_primigenius,Cetartiodactyla,Bovidae,Bos,primigenius,,Y,1,0,1
Bos_sauveli,Cetartiodactyla,Bovidae,Bos,sauveli,,,,,
Boselaphus_tragocamelus,Cetartiodactyla,Bovidae,Boselaphus,tragocamelus,,Y,0,0,0
Bubalus_arnee,Cetartiodactyla,Bovidae,Bubalus,arnee,,Y,1,0,1
Bubalus_depressicornis,Cetartiodactyla,Bovidae,Bubalus,depressicornis,,,,,
Bubalus_grovesi,Cetartiodactyla,Bovidae,Bubalus,grovesi,,,,,
Bubalus_mindorensis,Cetartiodactyla,Bovidae,Bubalus,mindorensis,,Y,0,0,0
Bubalus_palaeokerabau,Cetartiodactyla,Bovidae,Bubalus,palaeokerabau,,,,,
Bubalus_quarlesi,Cetartiodactyla,Bovidae,Bubalus,quarlesi,,,,,
Budorcas_taxicolor,Cetartiodactyla,Bovidae,Budorcas,taxicolor,,Y,0,0,0
Capra_aegagrus,Cetartiodactyla,Bovidae,Capra,aegagrus,,Y,0,1,1
Capra_caucasica,Cetartiodactyla,Bovidae,Capra,caucasica,,Y,0,0,0
Capra_cylindricornis,Cetartiodactyla,Bovidae,Capra,cylindricornis,,Y,0,0,0
Capra_falconeri,Cetartiodactyla,Bovidae,Capra,falconeri,,Y,0,1,1
Capra_ibex,Cetartiodactyla,Bovidae,Capra,ibex,,Y,0,1,1
Capra_nubiana,Cetartiodactyla,Bovidae,Capra,nubiana,,Y,0,0,0
Capra_pyrenaica,Cetartiodactyla,Bovidae,Capra,pyrenaica,,Y,0,1,1
Capra_sibirica,Cetartiodactyla,Bovidae,Capra,sibirica,,Y,1,1,1
Capra_walie,Cetartiodactyla,Bovidae,Capra,walie,,Y,0,0,0
Capricornis_crispus,Cetartiodactyla,Bovidae,Capricornis,crispus,,Y,0,0,0
Capricornis_milneedwardsii,Cetartiodactyla,Bovidae,Capricornis,milneedwardsii,,,,,
Capricornis_rubidus,Cetartiodactyla,Bovidae,Capricornis,rubidus,,Y,0,0,0
Capricornis_sumatraensis,Cetartiodactyla,Bovidae,Capricornis,sumatraensis,,Y,0,0,0
Capricornis_swinhoei,Cetartiodactyla,Bovidae,Capricornis,swinhoei,,Y,0,0,0
Capricornis_thar,Cetartiodactyla,Bovidae,Capricornis,thar,,Y,0,0,0
CapriniGen_spA,Cetartiodactyla,Bovidae,CapriniGen,spA,,,,,
Cephalophus_adersi,Cetartiodactyla,Bovidae,Cephalophus,adersi,,Y,0,0,0
Cephalophus_callipygus,Cetartiodactyla,Bovidae,Cephalophus,callipygus,,Y,0,0,0
Cephalophus_dorsalis,Cetartiodactyla,Bovidae,Cephalophus,dorsalis,,Y,0,0,0
Cephalophus_harveyi,Cetartiodactyla,Bovidae,Cephalophus,harveyi,,,,,
Cephalophus_jentinki,Cetartiodactyla,Bovidae,Cephalophus,jentinki,,Y,0,0,0
Cephalophus_leucogaster,Cetartiodactyla,Bovidae,Cephalophus,leucogaster,,Y,0,0,0
Cephalophus_natalensis,Cetartiodactyla,Bovidae,Cephalophus,natalensis,,Y,0,0,0
Cephalophus_niger,Cetartiodactyla,Bovidae,Cephalophus,niger,,Y,0,0,0
Cephalophus_nigrifrons,Cetartiodactyla,Bovidae,Cephalophus,nigrifrons,,Y,0,0,0
Cephalophus_ogilbyi,Cetartiodactyla,Bovidae,Cephalophus,ogilbyi,,Y,0,0,0
Cephalophus_rufilatus,Cetartiodactyla,Bovidae,Cephalophus,rufilatus,,Y,0,0,0
Cephalophus_silvicultor,Cetartiodactyla,Bovidae,Cephalophus,silvicultor,,Y,0,0,0
Cephalophus_spadix,Cetartiodactyla,Bovidae,Cephalophus,spadix,,,,,
Cephalophus_weynsi,Cetartiodactyla,Bovidae,Cephalophus,weynsi,,Y,0,0,0
Cephalophus_zebra,Cetartiodactyla,Bovidae,Cephalophus,zebra,,,,,
Connochaetes_gnou,Cetartiodactyla,Bovidae,Connochaetes,gnou,,Y,0,0,0
