Binomial.1.2,Order.1.2,Family.1.2,Genus.1.2,Species.1.2,,1700 Matched Species,FSSB,MSSB,SSB,,Total Species,SSB Data Present,Percent Covered
Caperea_marginata,Cetartiodactyla,Neobalaenidae,Caperea,marginata,,,,,,,87,53,60.91954023
Balaena_mysticetus,Cetartiodactyla,Balaenidae,Balaena,mysticetus,,Y,1,1,1,,,,
Eubalaena_australis,Cetartiodactyla,Balaenidae,Eubalaena,australis,,Y,1,1,1,,,,
Eubalaena_glacialis,Cetartiodactyla,Balaenidae,Eubalaena,glacialis,,Y,1,1,1,,,,
Eubalaena_japonica,Cetartiodactyla,Balaenidae,Eubalaena,japonica,,Y,0,0,0,,,,
Balaenoptera_acutorostrata,Cetartiodactyla,Balaenopteridae,Balaenoptera,acutorostrata,,Y,0,0,0,,,,
Balaenoptera_bonaerensis,Cetartiodactyla,Balaenopteridae,Balaenoptera,bonaerensis,,,,,,,,,
Balaenoptera_borealis,Cetartiodactyla,Balaenopteridae,Balaenoptera,borealis,,Y,0,0,0,,,,
Balaenoptera_edeni,Cetartiodactyla,Balaenopteridae,Balaenoptera,edeni,,Y,0,0,0,,,,
Balaenoptera_musculus,Cetartiodactyla,Balaenopteridae,Balaenoptera,musculus,,Y,0,0,0,,,,
Balaenoptera_omurai,Cetartiodactyla,Balaenopteridae,Balaenoptera,omurai,,,,,,,,,
Balaenoptera_physalus,Cetartiodactyla,Balaenopteridae,Balaenoptera,physalus,,Y,0,0,1,,,,
Megaptera_novaeangliae,Cetartiodactyla,Balaenopteridae,Megaptera,novaeangliae,,Y,0,0,0,,,,
Cephalorhynchus_commersonii,Cetartiodactyla,Delphinidae,Cephalorhynchus,commersonii,,Y,1,1,1,,,,
Cephalorhynchus_eutropia,Cetartiodactyla,Delphinidae,Cephalorhynchus,eutropia,,,,,,,,,
Cephalorhynchus_heavisidii,Cetartiodactyla,Delphinidae,Cephalorhynchus,heavisidii,,,,,,,,,
Cephalorhynchus_hectori,Cetartiodactyla,Delphinidae,Cephalorhynchus,hectori,,Y,0,0,0,,,,
Delphinus_capensis,Cetartiodactyla,Delphinidae,Delphinus,capensis,,Y,0,0,0,,,,
Delphinus_delphis,Cetartiodactyla,Delphinidae,Delphinus,delphis,,Y,0,0,0,,,,
Feresa_attenuata,Cetartiodactyla,Delphinidae,Feresa,attenuata,,Y,0,0,0,,,,
Globicephala_macrorhynchus,Cetartiodactyla,Delphinidae,Globicephala,macrorhynchus,,Y,0,0,0,,,,
Globicephala_melas,Cetartiodactyla,Delphinidae,Globicephala,melas,,Y,0,0,0,,,,
Grampus_griseus,Cetartiodactyla,Delphinidae,Grampus,griseus,,Y,0,0,0,,,,
Lagenodelphis_hosei,Cetartiodactyla,Delphinidae,Lagenodelphis,hosei,,,,,,,,,
