Binomial.1.2,Order.1.2,Family.1.2,Genus.1.2,Species.1.2,,1700 Matched Species,FSSB,MSSB,SSB,,Total Species,SSB Data Present,Percent Covered
Acinonyx_jubatus,Carnivora,Felidae,Acinonyx,jubatus,,Y,1,1,1,,132,73,55.3030303
Caracal_aurata,Carnivora,Felidae,Caracal,aurata,,Y,0,0,0,,,,
Caracal_caracal,Carnivora,Felidae,Caracal,caracal,,Y,0,0,0,,,,
Catopuma_badia,Carnivora,Felidae,Catopuma,badia,,,,,,,,,
Catopuma_temminckii,Carnivora,Felidae,Catopuma,temminckii,,Y,0,0,0,,,,
Felis_bieti,Carnivora,Felidae,Felis,bieti,,,,,,,,,
Felis_chaus,Carnivora,Felidae,Felis,chaus,,Y,0,0,0,,,,
Felis_margarita,Carnivora,Felidae,Felis,margarita,,Y,0,0,0,,,,
Felis_nigripes,Carnivora,Felidae,Felis,nigripes,,Y,0,0,0,,,,
Felis_silvestris,Carnivora,Felidae,Felis,silvestris,,Y,0,1,1,,,,
Herpailurus_yagouaroundi,Carnivora,Felidae,Herpailurus,yagouaroundi,,Y,0,0,0,,,,
Homotherium_latidens,Carnivora,Felidae,Homotherium,latidens,,,,,,,,,
Homotherium_serum,Carnivora,Felidae,Homotherium,serum,,,,,,,,,
Leopardus_amnicola,Carnivora,Felidae,Leopardus,amnicola,,,,,,,,,
Leopardus_colocolo,Carnivora,Felidae,Leopardus,colocolo,,Y,0,0,0,,,,
Leopardus_geoffroyi,Carnivora,Felidae,Leopardus,geoffroyi,,Y,0,0,0,,,,
Leopardus_guigna,Carnivora,Felidae,Leopardus,guigna,,,,,,,,,
Leopardus_guttulus,Carnivora,Felidae,Leopardus,guttulus,,,,,,,,,
Leopardus_jacobita,Carnivora,Felidae,Leopardus,jacobita,,,,,,,,,
Leopardus_pardalis,Carnivora,Felidae,Leopardus,pardalis,,Y,0,0,0,,,,
Leopardus_tigrinus,Carnivora,Felidae,Leopardus,tigrinus,,Y,0,0,0,,,,
Leopardus_wiedii,Carnivora,Felidae,Leopardus,wiedii,,Y,0,0,0,,,,
Leptailurus_serval,Carnivora,Felidae,Leptailurus,serval,,Y,0,0,0,,,,
Lynx_canadensis,Carnivora,Felidae,Lynx,canadensis,,Y,0,0,0,,,,
Lynx_lynx,Carnivora,Felidae,Lynx,lynx,,Y,0,0,0,,,,
Lynx_pardinus,Carnivora,Felidae,Lynx,pardinus,,Y,0,0,0,,,,
Lynx_rufus,Carnivora,Felidae,Lynx,rufus,,Y,0,0,0,,,,
Miracinonyx_trumani,Carnivora,Felidae,Miracinonyx,trumani,,,,,,,,,
Neofelis_diardi,Carnivora,Felidae,Neofelis,diardi,,,,,,,,,
Neofelis_nebulosa,Carnivora,Felidae,Neofelis,nebulosa,,Y,0,0,0,,,,
Otocolobus_manul,Carnivora,Felidae,Otocolobus,manul,,Y,0,0,0,,,,
