Binomial.1.2,Order.1.2,Family.1.2,Genus.1.2,Species.1.2,,1700 Matched Species,FSSB,MSSB,SSB,,Total Species,SSB Data Present,Percent Covered
Aztlanolagus_agilis,Lagomorpha,Leporidae,Aztlanolagus,agilis,,,,,,,94,46,48.93617021
Brachylagus_idahoensis,Lagomorpha,Leporidae,Brachylagus,idahoensis,,Y,0,0,0,,,,
Bunolagus_monticularis,Lagomorpha,Leporidae,Bunolagus,monticularis,,,,,,,,,
Caprolagus_hispidus,Lagomorpha,Leporidae,Caprolagus,hispidus,,,,,,,,,
Lepus_alleni,Lagomorpha,Leporidae,Lepus,alleni,,Y,0,0,0,,,,
Lepus_americanus,Lagomorpha,Leporidae,Lepus,americanus,,Y,0,0,0,,,,
Lepus_arcticus,Lagomorpha,Leporidae,Lepus,arcticus,,Y,0,0,0,,,,
Lepus_brachyurus,Lagomorpha,Leporidae,Lepus,brachyurus,,Y,0,0,0,,,,
Lepus_californicus,Lagomorpha,Leporidae,Lepus,californicus,,Y,0,0,0,,,,
Lepus_callotis,Lagomorpha,Leporidae,Lepus,callotis,,Y,0,0,0,,,,
Lepus_capensis,Lagomorpha,Leporidae,Lepus,capensis,,Y,0,0,0,,,,
Lepus_castroviejoi,Lagomorpha,Leporidae,Lepus,castroviejoi,,,,,,,,,
Lepus_comus,Lagomorpha,Leporidae,Lepus,comus,,,,,,,,,
Lepus_coreanus,Lagomorpha,Leporidae,Lepus,coreanus,,Y,0,0,0,,,,
Lepus_corsicanus,Lagomorpha,Leporidae,Lepus,corsicanus,,,,,,,,,
Lepus_europaeus,Lagomorpha,Leporidae,Lepus,europaeus,,Y,0,0,0,,,,
Lepus_fagani,Lagomorpha,Leporidae,Lepus,fagani,,,,,,,,,
Lepus_flavigularis,Lagomorpha,Leporidae,Lepus,flavigularis,,Y,0,0,0,,,,
Lepus_granatensis,Lagomorpha,Leporidae,Lepus,granatensis,,Y,0,0,0,,,,
Lepus_habessinicus,Lagomorpha,Leporidae,Lepus,habessinicus,,,,,,,,,
Lepus_hainanus,Lagomorpha,Leporidae,Lepus,hainanus,,,,,,,,,
Lepus_insularis,Lagomorpha,Leporidae,Lepus,insularis,,,,,,,,,
Lepus_mandshuricus,Lagomorpha,Leporidae,Lepus,mandshuricus,,,,,,,,,
Lepus_nigricollis,Lagomorpha,Leporidae,Lepus,nigricollis,,Y,0,0,0,,,,
Lepus_oiostolus,Lagomorpha,Leporidae,Lepus,oiostolus,,,,,,,,,
Lepus_othus,Lagomorpha,Leporidae,Lepus,othus,,Y,0,0,0,,,,
Lepus_peguensis,Lagomorpha,Leporidae,Lepus,peguensis,,,,,,,,,
Lepus_saxatilis,Lagomorpha,Leporidae,Lepus,saxatilis,,Y,0,0,0,,,,
Lepus_sinensis,Lagomorpha,Leporidae,Lepus,sinensis,,Y,0,0,0,,,,
Lepus_starcki,Lagomorpha,Leporidae,Lepus,starcki,,,,,,,,,
Lepus_tibetanus,Lagomorpha,Leporidae,Lepus,tibetanus,,,,,,,,,
Lepus_timidus,Lagomorpha,Leporidae,Lepus,timidus,,Y,0,0,0,,,,
Lepus_tolai,Lagomorpha,Leporidae,Lepus,tolai,,Y,0,0,0,,,,
Lepus_townsendii,Lagomorpha,Leporidae,Lepus,townsendii,,Y,0,0,0,,,,
Lepus_victoriae,Lagomorpha,Leporidae,Lepus,victoriae,,Y,0,0,0,,,,
Lepus_yarkandensis,Lagomorpha,Leporidae,Lepus,yarkandensis,,,,,,,,,
Nesolagus_netscheri,Lagomorpha,Leporidae,Nesolagus,netscheri,,,,,,,,,
Nesolagus_timminsi,Lagomorpha,Leporidae,Nesolagus,timminsi,,,,,,,,,
Ochotona_alpina,Lagomorpha,Ochotonidae,Ochotona,alpina,,Y,0,0,0,,,,
Ochotona_argentata,Lagomorpha,Ochotonidae,Ochotona,argentata,,,,,,,,,
Ochotona_cansus,Lagomorpha,Ochotonidae,Ochotona,cansus,,,,,,,,,
Ochotona_collaris,Lagomorpha,Ochotonidae,Ochotona,collaris,,Y,0,0,0,,,,
Ochotona_coreana,Lagomorpha,Ochotonidae,Ochotona,coreana,,,,,,,,,
Ochotona_curzoniae,Lagomorpha,Ochotonidae,Ochotona,curzoniae,,Y,0,0,0,,,,
Ochotona_dauurica,Lagomorpha,Ochotonidae,Ochotona,dauurica,,Y,0,0,0,,,,
Ochotona_erythrotis,Lagomorpha,Ochotonidae,Ochotona,erythrotis,,,,,,,,,
Ochotona_forresti,Lagomorpha,Ochotonidae,Ochotona,forresti,,,,,,,,,
Ochotona_gloveri,Lagomorpha,Ochotonidae,Ochotona,gloveri,,,,,,,,,
Ochotona_hoffmanni,Lagomorpha,Ochotonidae,Ochotona,hoffmanni,,,,,,,,,
Ochotona_hyperborea,Lagomorpha,Ochotonidae,Ochotona,hyperborea,,Y,0,0,0,,,,
Ochotona_iliensis,Lagomorpha,Ochotonidae,Ochotona,iliensis,,,,,,,,,
Ochotona_koslowi,Lagomorpha,Ochotonidae,Ochotona,koslowi,,,,,,,,,
Ochotona_ladacensis,Lagomorpha,Ochotonidae,Ochotona,ladacensis,,,,,,,,,
Ochotona_macrotis,Lagomorpha,Ochotonidae,Ochotona,macrotis,,Y,0,0,0,,,,
Ochotona_mantchurica,Lagomorpha,Ochotonidae,Ochotona,mantchurica,,,,,,,,,
Ochotona_nubrica,Lagomorpha,Ochotonidae,Ochotona,nubrica,,,,,,,,,
Ochotona_opaca,Lagomorpha,Ochotonidae,Ochotona,opaca,,,,,,,,,
