Binomial.1.2,Order.1.2,Family.1.2,Genus.1.2,Species.1.2,,1700 Matched Species,FSSB,MSSB,SSB,,Total Species,SSB Data Present,Percent Covered
Equus_africanus,Perissodactyla,Equidae,Equus,africanus,,Y,0,0,0,,35,16,45.71428571
Equus_ferus,Perissodactyla,Equidae,Equus,ferus,,Y,1,1,1,,,,
Equus_francisci,Perissodactyla,Equidae,Equus,francisci,,,,,,,,,
Equus_grevyi,Perissodactyla,Equidae,Equus,grevyi,,Y,0,0,0,,,,
Equus_hemionus,Perissodactyla,Equidae,Equus,hemionus,,Y,0,0,0,,,,
Equus_hydruntinus,Perissodactyla,Equidae,Equus,hydruntinus,,,,,,,,,
Equus_kiang,Perissodactyla,Equidae,Equus,kiang,,Y,0,0,0,,,,
Equus_ovodovi,Perissodactyla,Equidae,Equus,ovodovi,,,,,,,,,
Equus_quagga,Perissodactyla,Equidae,Equus,quagga,,Y,1,1,1,,,,
Equus_zebra,Perissodactyla,Equidae,Equus,zebra,,Y,1,1,1,,,,
Hippidion_devillei,Perissodactyla,Equidae,Hippidion,devillei,,,,,,,,,
Hippidion_principale,Perissodactyla,Equidae,Hippidion,principale,,,,,,,,,
Ceratotherium_simum,Perissodactyla,Rhinocerotidae,Ceratotherium,simum,,Y,0,0,0,,,,
Coelodonta_antiquitatis,Perissodactyla,Rhinocerotidae,Coelodonta,antiquitatis,,,,,,,,,
Dicerorhinus_sumatrensis,Perissodactyla,Rhinocerotidae,Dicerorhinus,sumatrensis,,Y,0,0,0,,,,
Diceros_bicornis,Perissodactyla,Rhinocerotidae,Diceros,bicornis,,Y,0,0,0,,,,
Elasmotherium_sibiricum,Perissodactyla,Rhinocerotidae,Elasmotherium,sibiricum,,,,,,,,,
Rhinoceros_sondaicus,Perissodactyla,Rhinocerotidae,Rhinoceros,sondaicus,,Y,0,0,0,,,,
Rhinoceros_unicornis,Perissodactyla,Rhinocerotidae,Rhinoceros,unicornis,,Y,1,0,1,,,,
Stephanorhinus_hemitoechus,Perissodactyla,Rhinocerotidae,Stephanorhinus,hemitoechus,,,,,,,,,
Stephanorhinus_kirchbergensis,Perissodactyla,Rhinocerotidae,Stephanorhinus,kirchbergensis,,,,,,,,,
Tapirus_augustus,Perissodactyla,Tapiridae,Tapirus,augustus,,,,,,,,,
Tapirus_bairdii,Perissodactyla,Tapiridae,Tapirus,bairdii,,Y,0,0,0,,,,
Tapirus_indicus,Perissodactyla,Tapiridae,Tapirus,indicus,,Y,0,0,0,,,,
Tapirus_merriami,Perissodactyla,Tapiridae,Tapirus,merriami,,,,,,,,,
Tapirus_pinchaque,Perissodactyla,Tapiridae,Tapirus,pinchaque,,Y,0,0,0,,,,
Tapirus_rondoniensis,Perissodactyla,Tapiridae,Tapirus,rondoniensis,,,,,,,,,
Tapirus_terrestris,Perissodactyla,Tapiridae,Tapirus,terrestris,,Y,0,0,0,,,,
Tapirus_veroensis,Perissodactyla,Tapiridae,Tapirus,veroensis,,,,,,,,,
Mixotoxodon_larensis,Notoungulata,Toxodontidae,Mixotoxodon,larensis,,,,,,,,,
Toxodon_platensis,Notoungulata,Toxodontidae,Toxodon,platensis,,,,,,,,,
Trigonodops_lopesi,Notoungulata,Toxodontidae,Trigonodops,lopesi,,,,,,,,,
Macrauchenia_patachonica,Litopterna,Macrauchenidae,Macrauchenia,patachonica,,,,,,,,,
Xenorhinotherium_bahiense,Litopterna,Macrauchenidae,Xenorhinotherium,bahiense,,,,,,,,,
Neolicaphrium_recens,Litopterna,Proterotheriidae,Neolicaphrium,recens,,,,,,,,,
