Binomial.1.2,Order.1.2,Family.1.2,Genus.1.2,Species.1.2,,1700 Matched Species,FSSB,MSSB,SSB,,Total Species,SSB Data Present,Percent Covered
Allenopithecus_nigroviridis,Primates,Cercopithecidae,Allenopithecus,nigroviridis,,,,,,,460,220,47.82608696
Allocebus_trichotis,Primates,Cheirogaleidae,Allocebus,trichotis,,,,,,,,,
Allochrocebus_lhoesti,Primates,Cercopithecidae,Allochrocebus,lhoesti,,Y,0,0,0,,,,
Allochrocebus_preussi,Primates,Cercopithecidae,Allochrocebus,preussi,,Y,0,0,0,,,,
Allochrocebus_solatus,Primates,Cercopithecidae,Allochrocebus,solatus,,,,,,,,,
Alouatta_arctoidea,Primates,Atelidae,Alouatta,arctoidea,,,,,,,,,
Alouatta_belzebul,Primates,Atelidae,Alouatta,belzebul,,Y,0,0,0,,,,
Alouatta_caraya,Primates,Atelidae,Alouatta,caraya,,Y,0,0,0,,,,
Alouatta_discolor,Primates,Atelidae,Alouatta,discolor,,,,,,,,,
Alouatta_guariba,Primates,Atelidae,Alouatta,guariba,,Y,0,0,0,,,,
Alouatta_macconnelli,Primates,Atelidae,Alouatta,macconnelli,,,,,,,,,
Alouatta_nigerrima,Primates,Atelidae,Alouatta,nigerrima,,,,,,,,,
Alouatta_palliata,Primates,Atelidae,Alouatta,palliata,,Y,0,0,0,,,,
Alouatta_pigra,Primates,Atelidae,Alouatta,pigra,,Y,0,0,0,,,,
Alouatta_sara,Primates,Atelidae,Alouatta,sara,,,,,,,,,
Alouatta_seniculus,Primates,Atelidae,Alouatta,seniculus,,Y,0,0,0,,,,
Alouatta_ululata,Primates,Atelidae,Alouatta,ululata,,,,,,,,,
Antillothrix_bernensis,Primates,Pitheciidae,Antillothrix,bernensis,,,,,,,,,
Aotus_azarae,Primates,Aotidae,Aotus,azarae,,Y,0,0,0,,,,
Aotus_brumbacki,Primates,Aotidae,Aotus,brumbacki,,,,,,,,,
Aotus_griseimembra,Primates,Aotidae,Aotus,griseimembra,,,,,,,,,
Aotus_jorgehernandezi,Primates,Aotidae,Aotus,jorgehernandezi,,,,,,,,,
Aotus_lemurinus,Primates,Aotidae,Aotus,lemurinus,,Y,0,0,0,,,,
Aotus_miconax,Primates,Aotidae,Aotus,miconax,,,,,,,,,
Aotus_nancymaae,Primates,Aotidae,Aotus,nancymaae,,Y,0,0,0,,,,
Aotus_nigriceps,Primates,Aotidae,Aotus,nigriceps,,Y,0,0,0,,,,
Aotus_trivirgatus,Primates,Aotidae,Aotus,trivirgatus,,Y,0,0,0,,,,
Aotus_vociferans,Primates,Aotidae,Aotus,vociferans,,Y,0,0,0,,,,
Aotus_zonalis,Primates,Aotidae,Aotus,zonalis,,,,,,,,,
Archaeoindris_fontoynonti,Primates,Palaeopropithecidae,Archaeoindris,fontoynonti,,,,,,,,,
Archaeolemur_edwardsi,Primates,Archaeolemuridae,Archaeolemur,edwardsi,,,,,,,,,
Archaeolemur_majori,Primates,Archaeolemuridae,Archaeolemur,majori,,,,,,,,,
Arctocebus_aureus,Primates,Lorisidae,Arctocebus,aureus,,,,,,,,,
Arctocebus_calabarensis,Primates,Lorisidae,Arctocebus,calabarensis,,Y,0,0,0,,,,
Ateles_belzebuth,Primates,Atelidae,Ateles,belzebuth,,Y,0,0,0,,,,
Ateles_chamek,Primates,Atelidae,Ateles,chamek,,Y,0,0,0,,,,
Ateles_fusciceps,Primates,Atelidae,Ateles,fusciceps,,,,,,,,,
Ateles_geoffroyi,Primates,Atelidae,Ateles,geoffroyi,,Y,0,1,1,,,,
Ateles_hybridus,Primates,Atelidae,Ateles,hybridus,,Y,0,0,0,,,,
Ateles_marginatus,Primates,Atelidae,Ateles,marginatus,,,,,,,,,
Ateles_paniscus,Primates,Atelidae,Ateles,paniscus,,Y,0,0,0,,,,
Avahi_betsileo,Primates,Indriidae,Avahi,betsileo,,,,,,,,,
Avahi_cleesei,Primates,Indriidae,Avahi,cleesei,,,,,,,,,
Avahi_laniger,Primates,Indriidae,Avahi,laniger,,Y,0,0,0,,,,
Avahi_meridionalis,Primates,Indriidae,Avahi,meridionalis,,,,,,,,,
Avahi_mooreorum,Primates,Indriidae,Avahi,mooreorum,,,,,,,,,
Avahi_occidentalis,Primates,Indriidae,Avahi,occidentalis,,Y,0,0,0,,,,
Avahi_peyrierasi,Primates,Indriidae,Avahi,peyrierasi,,,,,,,,,
Avahi_ramanantsoavanai,Primates,Indriidae,Avahi,ramanantsoavanai,,,,,,,,,
Avahi_unicolor,Primates,Indriidae,Avahi,unicolor,,,,,,,,,
Babakotia_radofilai,Primates,Palaeopropithecidae,Babakotia,radofilai,,,,,,,,,
Brachyteles_arachnoides,Primates,Atelidae,Brachyteles,arachnoides,,Y,0,0,0,,,,
Brachyteles_hypoxanthus,Primates,Atelidae,Brachyteles,hypoxanthus,,Y,0,0,0,,,,
Cacajao_calvus,Primates,Pitheciidae,Cacajao,calvus,,Y,0,0,0,,,,
Cacajao_hosomi,Primates,Pitheciidae,Cacajao,hosomi,,,,,,,,,
Caipora_bambuiorum,Primates,Atelidae,Caipora,bambuiorum,,,,,,,,,
Callicebus_aureipalatii,Primates,Pitheciidae,Callicebus,aureipalatii,,,,,,,,,
Callicebus_baptista,Primates,Pitheciidae,Callicebus,baptista,,,,,,,,,
Callicebus_barbarabrownae,Primates,Pitheciidae,Callicebus,barbarabrownae,,,,,,,,,
Callicebus_bernhardi,Primates,Pitheciidae,Callicebus,bernhardi,,,,,,,,,
Callicebus_brunneus,Primates,Pitheciidae,Callicebus,brunneus,,,,,,,,,
Callicebus_caligatus,Primates,Pitheciidae,Callicebus,caligatus,,,,,,,,,
Callicebus_caquetensis,Primates,Pitheciidae,Callicebus,caquetensis,,,,,,,,,
Callicebus_cinerascens,Primates,Pitheciidae,Callicebus,cinerascens,,,,,,,,,
Callicebus_coimbrai,Primates,Pitheciidae,Callicebus,coimbrai,,,,,,,,,
Callicebus_cupreus,Primates,Pitheciidae,Callicebus,cupreus,,Y,0,0,0,,,,
Callicebus_discolor,Primates,Pitheciidae,Callicebus,discolor,,,,,,,,,
Callicebus_donacophilus,Primates,Pitheciidae,Callicebus,donacophilus,,,,,,,,,
Callicebus_dubius,Primates,Pitheciidae,Callicebus,dubius,,,,,,,,,
Callicebus_hoffmannsi,Primates,Pitheciidae,Callicebus,hoffmannsi,,Y,0,0,0,,,,
Callicebus_lucifer,Primates,Pitheciidae,Callicebus,lucifer,,,,,,,,,
Callicebus_lugens,Primates,Pitheciidae,Callicebus,lugens,,,,,,,,,
Callicebus_medemi,Primates,Pitheciidae,Callicebus,medemi,,,,,,,,,
Callicebus_melanochir,Primates,Pitheciidae,Callicebus,melanochir,,,,,,,,,
Callicebus_modestus,Primates,Pitheciidae,Callicebus,modestus,,,,,,,,,
Callicebus_moloch,Primates,Pitheciidae,Callicebus,moloch,,Y,0,0,0,,,,
Callicebus_nigrifrons,Primates,Pitheciidae,Callicebus,nigrifrons,,Y,0,0,0,,,,
