Binomial.1.2,Order.1.2,Family.1.2,Genus.1.2,Species.1.2,,1700 Matched Species,FSSB,MSSB,SSB,,Total Species,SSB Data Present,Percent Covered
Anomalurus_beecrofti,Rodentia,Anomaluridae,Anomalurus,beecrofti,,,,,,,107,50,46.72897196
Anomalurus_derbianus,Rodentia,Anomaluridae,Anomalurus,derbianus,,Y,0,0,0,,,,
Anomalurus_pelii,Rodentia,Anomaluridae,Anomalurus,pelii,,,,,,,,,
Anomalurus_pusillus,Rodentia,Anomaluridae,Anomalurus,pusillus,,Y,0,0,0,,,,
Idiurus_macrotis,Rodentia,Anomaluridae,Idiurus,macrotis,,Y,0,0,0,,,,
Idiurus_zenkeri,Rodentia,Anomaluridae,Idiurus,zenkeri,,,,,,,,,
Zenkerella_insignis,Rodentia,Anomaluridae,Zenkerella,insignis,,,,,,,,,
Pedetes_capensis,Rodentia,Pedetidae,Pedetes,capensis,,Y,0,0,0,,,,
Pedetes_surdaster,Rodentia,Pedetidae,Pedetes,surdaster,,,,,,,,,
Castor_canadensis,Rodentia,Castoridae,Castor,canadensis,,Y,0,0,0,,,,
Castor_fiber,Rodentia,Castoridae,Castor,fiber,,Y,0,0,0,,,,
Castoroides_ohioensis,Rodentia,Castoridae,Castoroides,ohioensis,,,,,,,,,
Cratogeomys_castanops,Rodentia,Geomyidae,Cratogeomys,castanops,,Y,0,0,0,,,,
Cratogeomys_fulvescens,Rodentia,Geomyidae,Cratogeomys,fulvescens,,,,,,,,,
Cratogeomys_fumosus,Rodentia,Geomyidae,Cratogeomys,fumosus,,,,,,,,,
Cratogeomys_goldmani,Rodentia,Geomyidae,Cratogeomys,goldmani,,,,,,,,,
Cratogeomys_merriami,Rodentia,Geomyidae,Cratogeomys,merriami,,Y,0,0,0,,,,
Cratogeomys_perotensis,Rodentia,Geomyidae,Cratogeomys,perotensis,,,,,,,,,
Cratogeomys_planiceps,Rodentia,Geomyidae,Cratogeomys,planiceps,,,,,,,,,
Geomys_arenarius,Rodentia,Geomyidae,Geomys,arenarius,,,,,,,,,
Geomys_attwateri,Rodentia,Geomyidae,Geomys,attwateri,,Y,0,0,0,,,,
Geomys_breviceps,Rodentia,Geomyidae,Geomys,breviceps,,Y,0,0,0,,,,
Geomys_bursarius,Rodentia,Geomyidae,Geomys,bursarius,,Y,0,0,0,,,,
Geomys_knoxjonesi,Rodentia,Geomyidae,Geomys,knoxjonesi,,,,,,,,,
Geomys_personatus,Rodentia,Geomyidae,Geomys,personatus,,,,,,,,,
Geomys_pinetis,Rodentia,Geomyidae,Geomys,pinetis,,,,,,,,,
Geomys_texensis,Rodentia,Geomyidae,Geomys,texensis,,,,,,,,,
Geomys_tropicalis,Rodentia,Geomyidae,Geomys,tropicalis,,,,,,,,,
Heterogeomys_cherriei,Rodentia,Geomyidae,Heterogeomys,cherriei,,,,,,,,,
Heterogeomys_dariensis,Rodentia,Geomyidae,Heterogeomys,dariensis,,,,,,,,,
Orthogeomys_cavator,Rodentia,Geomyidae,Orthogeomys,cavator,,,,,,,,,
Orthogeomys_cuniculus,Rodentia,Geomyidae,Orthogeomys,cuniculus,,,,,,,,,
Orthogeomys_grandis,Rodentia,Geomyidae,Orthogeomys,grandis,,,,,,,,,
Orthogeomys_heterodus,Rodentia,Geomyidae,Orthogeomys,heterodus,,,,,,,,,
Orthogeomys_hispidus,Rodentia,Geomyidae,Orthogeomys,hispidus,,Y,0,0,0,,,,
Orthogeomys_lanius,Rodentia,Geomyidae,Orthogeomys,lanius,,,,,,,,,
Orthogeomys_underwoodi,Rodentia,Geomyidae,Orthogeomys,underwoodi,,,,,,,,,
Pappogeomys_bulleri,Rodentia,Geomyidae,Pappogeomys,bulleri,,Y,0,0,0,,,,
Thomomys_bottae,Rodentia,Geomyidae,Thomomys,bottae,,Y,0,0,0,,,,
Thomomys_bulbivorus,Rodentia,Geomyidae,Thomomys,bulbivorus,,,,,,,,,
Thomomys_clusius,Rodentia,Geomyidae,Thomomys,clusius,,,,,,,,,
Thomomys_idahoensis,Rodentia,Geomyidae,Thomomys,idahoensis,,,,,,,,,
Thomomys_mazama,Rodentia,Geomyidae,Thomomys,mazama,,Y,0,0,0,,,,
Thomomys_monticola,Rodentia,Geomyidae,Thomomys,monticola,,Y,0,0,0,,,,
Thomomys_talpoides,Rodentia,Geomyidae,Thomomys,talpoides,,Y,0,0,0,,,,
Thomomys_townsendii,Rodentia,Geomyidae,Thomomys,townsendii,,Y,0,0,0,,,,
Thomomys_umbrinus,Rodentia,Geomyidae,Thomomys,umbrinus,,,,,,,,,
Zygogeomys_trichopus,Rodentia,Geomyidae,Zygogeomys,trichopus,,,,,,,,,
Chaetodipus_arenarius,Rodentia,Heteromyidae,Chaetodipus,arenarius,,,,,,,,,
Chaetodipus_artus,Rodentia,Heteromyidae,Chaetodipus,artus,,,,,,,,,
Chaetodipus_baileyi,Rodentia,Heteromyidae,Chaetodipus,baileyi,,Y,0,0,0,,,,
Chaetodipus_californicus,Rodentia,Heteromyidae,Chaetodipus,californicus,,Y,0,0,0,,,,
Chaetodipus_eremicus,Rodentia,Heteromyidae,Chaetodipus,eremicus,,,,,,,,,
Chaetodipus_fallax,Rodentia,Heteromyidae,Chaetodipus,fallax,,Y,0,0,0,,,,
Chaetodipus_formosus,Rodentia,Heteromyidae,Chaetodipus,formosus,,Y,0,0,0,,,,
Chaetodipus_goldmani,Rodentia,Heteromyidae,Chaetodipus,goldmani,,,,,,,,,
Chaetodipus_hispidus,Rodentia,Heteromyidae,Chaetodipus,hispidus,,Y,0,0,0,,,,
Chaetodipus_intermedius,Rodentia,Heteromyidae,Chaetodipus,intermedius,,Y,0,0,0,,,,
Chaetodipus_lineatus,Rodentia,Heteromyidae,Chaetodipus,lineatus,,,,,,,,,
Chaetodipus_nelsoni,Rodentia,Heteromyidae,Chaetodipus,nelsoni,,Y,0,0,0,,,,
Chaetodipus_penicillatus,Rodentia,Heteromyidae,Chaetodipus,penicillatus,,Y,0,0,0,,,,
Chaetodipus_pernix,Rodentia,Heteromyidae,Chaetodipus,pernix,,,,,,,,,
Chaetodipus_rudinoris,Rodentia,Heteromyidae,Chaetodipus,rudinoris,,,,,,,,,
Chaetodipus_spinatus,Rodentia,Heteromyidae,Chaetodipus,spinatus,,,,,,,,,
Dipodomys_agilis,Rodentia,Heteromyidae,Dipodomys,agilis,,Y,0,0,0,,,,
Dipodomys_californicus,Rodentia,Heteromyidae,Dipodomys,californicus,,,,,,,,,
