Binomial.1.2,Order.1.2,Family.1.2,Genus.1.2,Species.1.2,,1700 Matched Species,FSSB,MSSB,SSB,,Total Species,SSB Data Present,Percent Covered
Antilocapra_americana,Cetartiodactyla,Antilocapridae,Antilocapra,americana,,Y,1,1,1,,305,174,57.04918033
Capromeryx_minor,Cetartiodactyla,Antilocapridae,Capromeryx,minor,,,,,,,,,
Stockoceros_conklingi,Cetartiodactyla,Antilocapridae,Stockoceros,conklingi,,,,,,,,,
Tetrameryx_shuleri,Cetartiodactyla,Antilocapridae,Tetrameryx,shuleri,,,,,,,,,
Addax_nasomaculatus,Cetartiodactyla,Bovidae,Addax,nasomaculatus,,,,,,,,,
Aepyceros_melampus,Cetartiodactyla,Bovidae,Aepyceros,melampus,,Y,0,0,0,,,,
Alcelaphus_buselaphus,Cetartiodactyla,Bovidae,Alcelaphus,buselaphus,,Y,1,0,1,,,,
Ammodorcas_clarkei,Cetartiodactyla,Bovidae,Ammodorcas,clarkei,,Y,0,0,0,,,,
Ammotragus_lervia,Cetartiodactyla,Bovidae,Ammotragus,lervia,,Y,1,1,1,,,,
Antidorcas_australis,Cetartiodactyla,Bovidae,Antidorcas,australis,,,,,,,,,
Antidorcas_bondi,Cetartiodactyla,Bovidae,Antidorcas,bondi,,,,,,,,,
Antidorcas_marsupialis,Cetartiodactyla,Bovidae,Antidorcas,marsupialis,,Y,0,0,0,,,,
Antilope_cervicapra,Cetartiodactyla,Bovidae,Antilope,cervicapra,,Y,1,1,1,,,,
Arabitragus_jayakari,Cetartiodactyla,Bovidae,Arabitragus,jayakari,,,,,,,,,
Beatragus_hunteri,Cetartiodactyla,Bovidae,Beatragus,hunteri,,Y,0,0,0,,,,
Bison_bison,Cetartiodactyla,Bovidae,Bison,bison,,Y,1,1,1,,,,
Bison_bonasus,Cetartiodactyla,Bovidae,Bison,bonasus,,Y,1,1,1,,,,
Bootherium_bombifrons,Cetartiodactyla,Bovidae,Bootherium,bombifrons,,,,,,,,,
Bos_gaurus,Cetartiodactyla,Bovidae,Bos,gaurus,,Y,0,0,0,,,,
Bos_javanicus,Cetartiodactyla,Bovidae,Bos,javanicus,,Y,1,1,1,,,,
