Binomial.1.2,Order.1.2,Family.1.2,Genus.1.2,Species.1.2,,1700 Matched Species,FSSB,MSSB,SSB,,Total Species,SSB Data Present,Percent Covered
Ailurus_fulgens,Carnivora,Ailuridae,Ailurus,fulgens,,Y,0,0,0,,182,130,71.42857143
Brachyprotoma_obtusata,Carnivora,Mephitidae,Brachyprotoma,obtusata,,,,,,,,,
Conepatus_chinga,Carnivora,Mephitidae,Conepatus,chinga,,Y,0,0,0,,,,
Conepatus_humboldtii,Carnivora,Mephitidae,Conepatus,humboldtii,,Y,0,0,0,,,,
Conepatus_leuconotus,Carnivora,Mephitidae,Conepatus,leuconotus,,Y,0,0,0,,,,
Conepatus_semistriatus,Carnivora,Mephitidae,Conepatus,semistriatus,,Y,0,0,0,,,,
Mephitis_macroura,Carnivora,Mephitidae,Mephitis,macroura,,Y,0,0,0,,,,
Mephitis_mephitis,Carnivora,Mephitidae,Mephitis,mephitis,,Y,0,0,0,,,,
Mydaus_javanensis,Carnivora,Mephitidae,Mydaus,javanensis,,Y,0,0,0,,,,
Mydaus_marchei,Carnivora,Mephitidae,Mydaus,marchei,,,,,,,,,
Spilogale_angustifrons,Carnivora,Mephitidae,Spilogale,angustifrons,,,,,,,,,
Spilogale_gracilis,Carnivora,Mephitidae,Spilogale,gracilis,,Y,0,0,0,,,,
Spilogale_putorius,Carnivora,Mephitidae,Spilogale,putorius,,Y,0,0,0,,,,
Spilogale_pygmaea,Carnivora,Mephitidae,Spilogale,pygmaea,,,,,,,,,
Aonyx_capensis,Carnivora,Mustelidae,Aonyx,capensis,,Y,0,0,0,,,,
Aonyx_cinereus,Carnivora,Mustelidae,Aonyx,cinereus,,Y,0,0,0,,,,
Aonyx_congicus,Carnivora,Mustelidae,Aonyx,congicus,,Y,0,0,0,,,,
Arctonyx_albogularis,Carnivora,Mustelidae,Arctonyx,albogularis,,,,,,,,,
Arctonyx_collaris,Carnivora,Mustelidae,Arctonyx,collaris,,Y,0,0,0,,,,
Arctonyx_hoevenii,Carnivora,Mustelidae,Arctonyx,hoevenii,,,,,,,,,
Eira_barbara,Carnivora,Mustelidae,Eira,barbara,,Y,0,0,0,,,,
Enhydra_lutris,Carnivora,Mustelidae,Enhydra,lutris,,Y,0,1,1,,,,
Galictis_cuja,Carnivora,Mustelidae,Galictis,cuja,,Y,0,0,0,,,,
Galictis_vittata,Carnivora,Mustelidae,Galictis,vittata,,,,,,,,,
Gulo_gulo,Carnivora,Mustelidae,Gulo,gulo,,Y,0,0,0,,,,
Hydrictis_maculicollis,Carnivora,Mustelidae,Hydrictis,maculicollis,,Y,0,0,0,,,,
Ictonyx_libycus,Carnivora,Mustelidae,Ictonyx,libycus,,,,,,,,,
Ictonyx_striatus,Carnivora,Mustelidae,Ictonyx,striatus,,Y,0,0,0,,,,
Lontra_canadensis,Carnivora,Mustelidae,Lontra,canadensis,,Y,0,0,0,,,,
Lontra_felina,Carnivora,Mustelidae,Lontra,felina,,Y,0,0,0,,,,
Lontra_longicaudis,Carnivora,Mustelidae,Lontra,longicaudis,,Y,0,0,0,,,,
Lontra_provocax,Carnivora,Mustelidae,Lontra,provocax,,,,,,,,,
Lutra_lutra,Carnivora,Mustelidae,Lutra,lutra,,Y,0,0,0,,,,
Lutra_sumatrana,Carnivora,Mustelidae,Lutra,sumatrana,,,,,,,,,
Lutrogale_perspicillata,Carnivora,Mustelidae,Lutrogale,perspicillata,,Y,0,0,0,,,,
Lyncodon_patagonicus,Carnivora,Mustelidae,Lyncodon,patagonicus,,,,,,,,,
Martes_americana,Carnivora,Mustelidae,Martes,americana,,Y,0,0,0,,,,
Martes_flavigula,Carnivora,Mustelidae,Martes,flavigula,,Y,0,0,0,,,,
Martes_foina,Carnivora,Mustelidae,Martes,foina,,Y,0,0,0,,,,
Martes_gwatkinsii,Carnivora,Mustelidae,Martes,gwatkinsii,,,,,,,,,
Martes_martes,Carnivora,Mustelidae,Martes,martes,,Y,1,1,1,,,,
Martes_melampus,Carnivora,Mustelidae,Martes,melampus,,Y,0,0,0,,,,
Martes_pennanti,Carnivora,Mustelidae,Martes,pennanti,,Y,0,0,0,,,,
Martes_zibellina,Carnivora,Mustelidae,Martes,zibellina,,Y,0,0,0,,,,
Meles_anakuma,Carnivora,Mustelidae,Meles,anakuma,,,,,,,,,
Meles_leucurus,Carnivora,Mustelidae,Meles,leucurus,,,,,,,,,
Meles_meles,Carnivora,Mustelidae,Meles,meles,,Y,0,0,0,,,,
Mellivora_capensis,Carnivora,Mustelidae,Mellivora,capensis,,Y,0,0,0,,,,
Melogale_cucphuongensis,Carnivora,Mustelidae,Melogale,cucphuongensis,,,,,,,,,
Melogale_everetti,Carnivora,Mustelidae,Melogale,everetti,,,,,,,,,
Melogale_moschata,Carnivora,Mustelidae,Melogale,moschata,,Y,0,0,0,,,,
Melogale_orientalis,Carnivora,Mustelidae,Melogale,orientalis,,,,,,,,,
Melogale_personata,Carnivora,Mustelidae,Melogale,personata,,,,,,,,,
Mustela_africana,Carnivora,Mustelidae,Mustela,africana,,,,,,,,,
Mustela_altaica,Carnivora,Mustelidae,Mustela,altaica,,,,,,,,,
Mustela_erminea,Carnivora,Mustelidae,Mustela,erminea,,Y,0,0,0,,,,
Mustela_eversmanii,Carnivora,Mustelidae,Mustela,eversmanii,,Y,0,0,0,,,,
Mustela_felipei,Carnivora,Mustelidae,Mustela,felipei,,,,,,,,,
Mustela_frenata,Carnivora,Mustelidae,Mustela,frenata,,Y,0,0,0,,,,
Mustela_itatsi,Carnivora,Mustelidae,Mustela,itatsi,,,,,,,,,
Mustela_kathiah,Carnivora,Mustelidae,Mustela,kathiah,,Y,0,0,0,,,,
Mustela_lutreola,Carnivora,Mustelidae,Mustela,lutreola,,Y,0,0,0,,,,
Mustela_lutreolina,Carnivora,Mustelidae,Mustela,lutreolina,,,,,,,,,
Mustela_nigripes,Carnivora,Mustelidae,Mustela,nigripes,,Y,0,0,0,,,,
Mustela_nivalis,Carnivora,Mustelidae,Mustela,nivalis,,Y,0,0,0,,,,
Mustela_nudipes,Carnivora,Mustelidae,Mustela,nudipes,,,,,,,,,
Mustela_putorius,Carnivora,Mustelidae,Mustela,putorius,,Y,0,0,0,,,,
Mustela_russelliana,Carnivora,Mustelidae,Mustela,russelliana,,,,,,,,,
Mustela_sibirica,Carnivora,Mustelidae,Mustela,sibirica,,Y,0,0,0,,,,
Mustela_strigidorsa,Carnivora,Mustelidae,Mustela,strigidorsa,,Y,0,0,0,,,,
Mustela_subpalmata,Carnivora,Mustelidae,Mustela,subpalmata,,,,,,,,,
Mustela_tonkinensis,Carnivora,Mustelidae,Mustela,tonkinensis,,,,,,,,,
Neovison_macrodon,Carnivora,Mustelidae,Neovison,macrodon,,,,,,,,,
Neovison_vison,Carnivora,Mustelidae,Neovison,vison,,Y,0,0,0,,,,
Poecilogale_albinucha,Carnivora,Mustelidae,Poecilogale,albinucha,,,,,,,,,
Pteronura_brasiliensis,Carnivora,Mustelidae,Pteronura,brasiliensis,,Y,0,0,0,,,,
Taxidea_taxus,Carnivora,Mustelidae,Taxidea,taxus,,Y,0,0,0,,,,
Vormela_peregusna,Carnivora,Mustelidae,Vormela,peregusna,,,,,,,,,
Bassaricyon_alleni,Carnivora,Procyonidae,Bassaricyon,alleni,,Y,0,0,0,,,,
Bassaricyon_gabbii,Carnivora,Procyonidae,Bassaricyon,gabbii,,Y,0,0,0,,,,
Bassaricyon_medius,Carnivora,Procyonidae,Bassaricyon,medius,,,,,,,,,
Bassaricyon_neblina,Carnivora,Procyonidae,Bassaricyon,neblina,,Y,0,0,0,,,,
Bassariscus_astutus,Carnivora,Procyonidae,Bassariscus,astutus,,Y,0,0,0,,,,
Bassariscus_sumichrasti,Carnivora,Procyonidae,Bassariscus,sumichrasti,,Y,0,0,0,,,,
