Binomial.1.2,Order.1.2,Family.1.2,Genus.1.2,Species.1.2,,1700 Matched Species,FSSB,MSSB,SSB,,Total Species,SSB Data Present,Percent Covered
Caenolestes_caniventer,Paucituberculata,Caenolestidae,Caenolestes,caniventer,,,,,,,388,132,34.02061856
Caenolestes_condorensis,Paucituberculata,Caenolestidae,Caenolestes,condorensis,,,,,,,,,
Caenolestes_convelatus,Paucituberculata,Caenolestidae,Caenolestes,convelatus,,,,,,,,,
Caenolestes_fuliginosus,Paucituberculata,Caenolestidae,Caenolestes,fuliginosus,,,,,,,,,
Caenolestes_sangay,Paucituberculata,Caenolestidae,Caenolestes,sangay,,,,,,,,,
Lestoros_inca,Paucituberculata,Caenolestidae,Lestoros,inca,,,,,,,,,
Rhyncholestes_raphanurus,Paucituberculata,Caenolestidae,Rhyncholestes,raphanurus,,,,,,,,,
Caluromys_derbianus,Didelphimorphia,Didelphidae,Caluromys,derbianus,,Y,0,0,0,,,,
Caluromys_lanatus,Didelphimorphia,Didelphidae,Caluromys,lanatus,,,,,,,,,
Caluromys_philander,Didelphimorphia,Didelphidae,Caluromys,philander,,Y,0,0,0,,,,
Caluromysiops_irrupta,Didelphimorphia,Didelphidae,Caluromysiops,irrupta,,Y,0,0,0,,,,
Chacodelphys_formosa,Didelphimorphia,Didelphidae,Chacodelphys,formosa,,,,,,,,,
Chironectes_minimus,Didelphimorphia,Didelphidae,Chironectes,minimus,,Y,0,0,0,,,,
Cryptonanus_agricolai,Didelphimorphia,Didelphidae,Cryptonanus,agricolai,,,,,,,,,
Cryptonanus_chacoensis,Didelphimorphia,Didelphidae,Cryptonanus,chacoensis,,,,,,,,,
Cryptonanus_guahybae,Didelphimorphia,Didelphidae,Cryptonanus,guahybae,,,,,,,,,
Cryptonanus_ignitus,Didelphimorphia,Didelphidae,Cryptonanus,ignitus,,,,,,,,,
Cryptonanus_unduaviensis,Didelphimorphia,Didelphidae,Cryptonanus,unduaviensis,,,,,,,,,
Didelphis_albiventris,Didelphimorphia,Didelphidae,Didelphis,albiventris,,Y,0,0,0,,,,
Didelphis_aurita,Didelphimorphia,Didelphidae,Didelphis,aurita,,Y,0,0,0,,,,
Didelphis_imperfecta,Didelphimorphia,Didelphidae,Didelphis,imperfecta,,,,,,,,,
Didelphis_marsupialis,Didelphimorphia,Didelphidae,Didelphis,marsupialis,,Y,0,0,0,,,,
Didelphis_pernigra,Didelphimorphia,Didelphidae,Didelphis,pernigra,,Y,0,0,0,,,,
Didelphis_virginiana,Didelphimorphia,Didelphidae,Didelphis,virginiana,,Y,0,0,0,,,,
Glironia_venusta,Didelphimorphia,Didelphidae,Glironia,venusta,,,,,,,,,
Gracilinanus_aceramarcae,Didelphimorphia,Didelphidae,Gracilinanus,aceramarcae,,,,,,,,,
Gracilinanus_agilis,Didelphimorphia,Didelphidae,Gracilinanus,agilis,,Y,0,0,0,,,,
Gracilinanus_dryas,Didelphimorphia,Didelphidae,Gracilinanus,dryas,,,,,,,,,
Gracilinanus_emiliae,Didelphimorphia,Didelphidae,Gracilinanus,emiliae,,,,,,,,,
Gracilinanus_marica,Didelphimorphia,Didelphidae,Gracilinanus,marica,,,,,,,,,
Gracilinanus_microtarsus,Didelphimorphia,Didelphidae,Gracilinanus,microtarsus,,,,,,,,,
Hyladelphys_kalinowskii,Didelphimorphia,Didelphidae,Hyladelphys,kalinowskii,,,,,,,,,
Lestodelphys_halli,Didelphimorphia,Didelphidae,Lestodelphys,halli,,,,,,,,,
