Binomial.1.2,Order.1.2,Family.1.2,Genus.1.2,Species.1.2,,1700 Matched Species,FSSB,MSSB,SSB,,Total Species,SSB Data Present,Percent Covered
Ctenodactylus_gundi,Rodentia,Ctenodactylidae,Ctenodactylus,gundi,,,,,,,299,70,23.41137124
Ctenodactylus_vali,Rodentia,Ctenodactylidae,Ctenodactylus,vali,,,,,,,,,
Felovia_vae,Rodentia,Ctenodactylidae,Felovia,vae,,,,,,,,,
Massoutiera_mzabi,Rodentia,Ctenodactylidae,Massoutiera,mzabi,,,,,,,,,
Pectinator_spekei,Rodentia,Ctenodactylidae,Pectinator,spekei,,,,,,,,,
Laonastes_aenigmamus,Rodentia,Diatomyidae,Laonastes,aenigmamus,,,,,,,,,
Cavia_aperea,Rodentia,Caviidae,Cavia,aperea,,Y,1,1,1,,,,
Cavia_fulgida,Rodentia,Caviidae,Cavia,fulgida,,,,,,,,,
Cavia_intermedia,Rodentia,Caviidae,Cavia,intermedia,,Y,1,1,1,,,,
Cavia_magna,Rodentia,Caviidae,Cavia,magna,,Y,0,0,0,,,,
Cavia_patzelti,Rodentia,Caviidae,Cavia,patzelti,,,,,,,,,
Cavia_tschudii,Rodentia,Caviidae,Cavia,tschudii,,,,,,,,,
Dolichotis_patagonum,Rodentia,Caviidae,Dolichotis,patagonum,,Y,0,0,0,,,,
Dolichotis_salinicola,Rodentia,Caviidae,Dolichotis,salinicola,,,,,,,,,
Galea_comes,Rodentia,Caviidae,Galea,comes,,,,,,,,,
Galea_flavidens,Rodentia,Caviidae,Galea,flavidens,,,,,,,,,
Galea_leucoblephara,Rodentia,Caviidae,Galea,leucoblephara,,Y,0,0,0,,,,
Galea_musteloides,Rodentia,Caviidae,Galea,musteloides,,Y,1,1,1,,,,
Galea_spixii,Rodentia,Caviidae,Galea,spixii,,Y,0,1,1,,,,
Hydrochoerus_hydrochaeris,Rodentia,Caviidae,Hydrochoerus,hydrochaeris,,Y,0,0,0,,,,
Hydrochoerus_isthmius,Rodentia,Caviidae,Hydrochoerus,isthmius,,,,,,,,,
Kerodon_acrobata,Rodentia,Caviidae,Kerodon,acrobata,,,,,,,,,
Kerodon_rupestris,Rodentia,Caviidae,Kerodon,rupestris,,Y,0,1,1,,,,
Microcavia_australis,Rodentia,Caviidae,Microcavia,australis,,Y,1,1,1,,,,
Microcavia_niata,Rodentia,Caviidae,Microcavia,niata,,,,,,,,,
Microcavia_shiptoni,Rodentia,Caviidae,Microcavia,shiptoni,,,,,,,,,
Neochoerus_aesopi,Rodentia,Caviidae,Neochoerus,aesopi,,,,,,,,,
Cuniculus_paca,Rodentia,Cuniculidae,Cuniculus,paca,,Y,0,0,0,,,,
Cuniculus_taczanowskii,Rodentia,Cuniculidae,Cuniculus,taczanowskii,,,,,,,,,
Dasyprocta_azarae,Rodentia,Dasyproctidae,Dasyprocta,azarae,,Y,0,0,0,,,,
Dasyprocta_coibae,Rodentia,Dasyproctidae,Dasyprocta,coibae,,,,,,,,,
Dasyprocta_croconota,Rodentia,Dasyproctidae,Dasyprocta,croconota,,,,,,,,,
Dasyprocta_fuliginosa,Rodentia,Dasyproctidae,Dasyprocta,fuliginosa,,Y,0,0,0,,,,
Dasyprocta_guamara,Rodentia,Dasyproctidae,Dasyprocta,guamara,,,,,,,,,
Dasyprocta_iacki,Rodentia,Dasyproctidae,Dasyprocta,iacki,,,,,,,,,
Dasyprocta_kalinowskii,Rodentia,Dasyproctidae,Dasyprocta,kalinowskii,,,,,,,,,
Dasyprocta_leporina,Rodentia,Dasyproctidae,Dasyprocta,leporina,,Y,0,0,0,,,,
Dasyprocta_mexicana,Rodentia,Dasyproctidae,Dasyprocta,mexicana,,Y,0,0,0,,,,
Dasyprocta_prymnolopha,Rodentia,Dasyproctidae,Dasyprocta,prymnolopha,,,,,,,,,
Dasyprocta_punctata,Rodentia,Dasyproctidae,Dasyprocta,punctata,,Y,0,0,0,,,,
Dasyprocta_ruatanica,Rodentia,Dasyproctidae,Dasyprocta,ruatanica,,,,,,,,,
Dasyprocta_variegata,Rodentia,Dasyproctidae,Dasyprocta,variegata,,,,,,,,,
Myoprocta_acouchy,Rodentia,Dasyproctidae,Myoprocta,acouchy,,Y,0,0,0,,,,
Myoprocta_pratti,Rodentia,Dasyproctidae,Myoprocta,pratti,,Y,0,0,0,,,,
Chinchilla_chinchilla,Rodentia,Chinchillidae,Chinchilla,chinchilla,,,,,,,,,
Chinchilla_lanigera,Rodentia,Chinchillidae,Chinchilla,lanigera,,Y,0,0,0,,,,
Lagidium_ahuacaense,Rodentia,Chinchillidae,Lagidium,ahuacaense,,,,,,,,,
Lagidium_viscacia,Rodentia,Chinchillidae,Lagidium,viscacia,,Y,0,0,0,,,,
Lagidium_wolffsohni,Rodentia,Chinchillidae,Lagidium,wolffsohni,,,,,,,,,
Lagostomus_crassus,Rodentia,Chinchillidae,Lagostomus,crassus,,,,,,,,,
Lagostomus_maximus,Rodentia,Chinchillidae,Lagostomus,maximus,,Y,0,0,0,,,,
Dinomys_branickii,Rodentia,Dinomyidae,Dinomys,branickii,,,,,,,,,
Chaetomys_subspinosus,Rodentia,Erethizontidae,Chaetomys,subspinosus,,,,,,,,,
Coendou_baturitensis,Rodentia,Erethizontidae,Coendou,baturitensis,,,,,,,,,
Coendou_bicolor,Rodentia,Erethizontidae,Coendou,bicolor,,Y,0,0,0,,,,
Coendou_ichillus,Rodentia,Erethizontidae,Coendou,ichillus,,,,,,,,,
Coendou_insidiosus,Rodentia,Erethizontidae,Coendou,insidiosus,,Y,0,0,0,,,,
Coendou_melanurus,Rodentia,Erethizontidae,Coendou,melanurus,,,,,,,,,
Coendou_mexicanus,Rodentia,Erethizontidae,Coendou,mexicanus,,,,,,,,,
Coendou_nycthemera,Rodentia,Erethizontidae,Coendou,nycthemera,,Y,0,0,0,,,,
Coendou_prehensilis,Rodentia,Erethizontidae,Coendou,prehensilis,,Y,0,0,0,,,,
Coendou_pruinosus,Rodentia,Erethizontidae,Coendou,pruinosus,,,,,,,,,
Coendou_quichua,Rodentia,Erethizontidae,Coendou,quichua,,,,,,,,,
Coendou_roosmalenorum,Rodentia,Erethizontidae,Coendou,roosmalenorum,,,,,,,,,
Coendou_rufescens,Rodentia,Erethizontidae,Coendou,rufescens,,Y,0,0,0,,,,
Coendou_spinosus,Rodentia,Erethizontidae,Coendou,spinosus,,,,,,,,,
Coendou_vestitus,Rodentia,Erethizontidae,Coendou,vestitus,,,,,,,,,
Erethizon_dorsatum,Rodentia,Erethizontidae,Erethizon,dorsatum,,Y,1,1,1,,,,
Bathyergus_janetta,Rodentia,Bathyergidae,Bathyergus,janetta,,,,,,,,,
Bathyergus_suillus,Rodentia,Bathyergidae,Bathyergus,suillus,,Y,0,0,0,,,,
Cryptomys_hottentotus,Rodentia,Bathyergidae,Cryptomys,hottentotus,,Y,0,1,1,,,,
Fukomys_anselli,Rodentia,Bathyergidae,Fukomys,anselli,,,,,,,,,
Fukomys_bocagei,Rodentia,Bathyergidae,Fukomys,bocagei,,,,,,,,,
Fukomys_damarensis,Rodentia,Bathyergidae,Fukomys,damarensis,,Y,0,0,0,,,,
Fukomys_darlingi,Rodentia,Bathyergidae,Fukomys,darlingi,,,,,,,,,
Fukomys_foxi,Rodentia,Bathyergidae,Fukomys,foxi,,,,,,,,,
Fukomys_kafuensis,Rodentia,Bathyergidae,Fukomys,kafuensis,,,,,,,,,
Fukomys_mechowi,Rodentia,Bathyergidae,Fukomys,mechowi,,,,,,,,,
Fukomys_ochraceocinereus,Rodentia,Bathyergidae,Fukomys,ochraceocinereus,,,,,,,,,
Fukomys_zechi,Rodentia,Bathyergidae,Fukomys,zechi,,,,,,,,,
Georychus_capensis,Rodentia,Bathyergidae,Georychus,capensis,,Y,0,0,0,,,,
Heliophobius_argenteocinereus,Rodentia,Bathyergidae,Heliophobius,argenteocinereus,,Y,0,0,0,,,,
Heterocephalus_glaber,Rodentia,Bathyergidae,Heterocephalus,glaber,,Y,0,1,1,,,,
Atherurus_africanus,Rodentia,Hystricidae,Atherurus,africanus,,Y,0,0,0,,,,
Atherurus_macrourus,Rodentia,Hystricidae,Atherurus,macrourus,,,,,,,,,
Hystrix_africaeaustralis,Rodentia,Hystricidae,Hystrix,africaeaustralis,,Y,0,0,0,,,,
Hystrix_brachyura,Rodentia,Hystricidae,Hystrix,brachyura,,Y,0,0,0,,,,
Hystrix_crassispinis,Rodentia,Hystricidae,Hystrix,crassispinis,,,,,,,,,
Hystrix_cristata,Rodentia,Hystricidae,Hystrix,cristata,,Y,0,0,0,,,,
Hystrix_indica,Rodentia,Hystricidae,Hystrix,indica,,Y,0,0,0,,,,
Hystrix_javanica,Rodentia,Hystricidae,Hystrix,javanica,,,,,,,,,
Hystrix_kiangsenensis,Rodentia,Hystricidae,Hystrix,kiangsenensis,,,,,,,,,
Hystrix_pumila,Rodentia,Hystricidae,Hystrix,pumila,,Y,0,0,0,,,,
Hystrix_refossa,Rodentia,Hystricidae,Hystrix,refossa,,,,,,,,,
Hystrix_sumatrae,Rodentia,Hystricidae,Hystrix,sumatrae,,,,,,,,,
Trichys_fasciculata,Rodentia,Hystricidae,Trichys,fasciculata,,,,,,,,,
Petromus_typicus,Rodentia,Petromuridae,Petromus,typicus,,Y,0,0,0,,,,
Thryonomys_gregorianus,Rodentia,Thryonomyidae,Thryonomys,gregorianus,,Y,0,0,0,,,,
Thryonomys_swinderianus,Rodentia,Thryonomyidae,Thryonomys,swinderianus,,Y,0,0,0,,,,
Abrocoma_bennettii,Rodentia,Abrocomidae,Abrocoma,bennettii,,Y,0,0,0,,,,
Abrocoma_boliviensis,Rodentia,Abrocomidae,Abrocoma,boliviensis,,,,,,,,,
Abrocoma_budini,Rodentia,Abrocomidae,Abrocoma,budini,,,,,,,,,
Abrocoma_cinerea,Rodentia,Abrocomidae,Abrocoma,cinerea,,,,,,,,,
Abrocoma_famatina,Rodentia,Abrocomidae,Abrocoma,famatina,,,,,,,,,
Abrocoma_shistacea,Rodentia,Abrocomidae,Abrocoma,shistacea,,,,,,,,,
Abrocoma_uspallata,Rodentia,Abrocomidae,Abrocoma,uspallata,,,,,,,,,
Abrocoma_vaccarum,Rodentia,Abrocomidae,Abrocoma,vaccarum,,,,,,,,,
Cuscomys_ashaninka,Rodentia,Abrocomidae,Cuscomys,ashaninka,,,,,,,,,
Cuscomys_oblativa,Rodentia,Abrocomidae,Cuscomys,oblativa,,,,,,,,,
Ctenomys_argentinus,Rodentia,Ctenomyidae,Ctenomys,argentinus,,,,,,,,,
Ctenomys_australis,Rodentia,Ctenomyidae,Ctenomys,australis,,,,,,,,,
Ctenomys_azarae,Rodentia,Ctenomyidae,Ctenomys,azarae,,Y,0,0,0,,,,
Ctenomys_bergi,Rodentia,Ctenomyidae,Ctenomys,bergi,,,,,,,,,
Ctenomys_boliviensis,Rodentia,Ctenomyidae,Ctenomys,boliviensis,,,,,,,,,
Ctenomys_bonettoi,Rodentia,Ctenomyidae,Ctenomys,bonettoi,,,,,,,,,
Ctenomys_brasiliensis,Rodentia,Ctenomyidae,Ctenomys,brasiliensis,,,,,,,,,
Ctenomys_budini,Rodentia,Ctenomyidae,Ctenomys,budini,,,,,,,,,
Ctenomys_colburni,Rodentia,Ctenomyidae,Ctenomys,colburni,,,,,,,,,
Ctenomys_coludo,Rodentia,Ctenomyidae,Ctenomys,coludo,,,,,,,,,
Ctenomys_conoveri,Rodentia,Ctenomyidae,Ctenomys,conoveri,,,,,,,,,
Ctenomys_coyhaiquensis,Rodentia,Ctenomyidae,Ctenomys,coyhaiquensis,,,,,,,,,
Ctenomys_dorbignyi,Rodentia,Ctenomyidae,Ctenomys,dorbignyi,,,,,,,,,
Ctenomys_dorsalis,Rodentia,Ctenomyidae,Ctenomys,dorsalis,,,,,,,,,
Ctenomys_emilianus,Rodentia,Ctenomyidae,Ctenomys,emilianus,,,,,,,,,
Ctenomys_famosus,Rodentia,Ctenomyidae,Ctenomys,famosus,,,,,,,,,
Ctenomys_flamarioni,Rodentia,Ctenomyidae,Ctenomys,flamarioni,,,,,,,,,
Ctenomys_fochi,Rodentia,Ctenomyidae,Ctenomys,fochi,,,,,,,,,
Ctenomys_fodax,Rodentia,Ctenomyidae,Ctenomys,fodax,,,,,,,,,
