Binomial.1.2,Order.1.2,Family.1.2,Genus.1.2,Species.1.2,,1700 Matched Species,FSSB,MSSB,SSB,,Total Species,SSB Data Present,Percent Covered
Aplodontia_rufa,Rodentia,Aplodontiidae,Aplodontia,rufa,,Y,0,0,0,,310,117,37.74193548
Chaetocauda_sichuanensis,Rodentia,Gliridae,Chaetocauda,sichuanensis,,,,,,,,,
Dryomys_laniger,Rodentia,Gliridae,Dryomys,laniger,,,,,,,,,
Dryomys_niethammeri,Rodentia,Gliridae,Dryomys,niethammeri,,,,,,,,,
Dryomys_nitedula,Rodentia,Gliridae,Dryomys,nitedula,,Y,0,0,0,,,,
Eliomys_melanurus,Rodentia,Gliridae,Eliomys,melanurus,,Y,0,0,0,,,,
Eliomys_morpheus,Rodentia,Gliridae,Eliomys,morpheus,,,,,,,,,
Eliomys_munbyanus,Rodentia,Gliridae,Eliomys,munbyanus,,,,,,,,,
Eliomys_quercinus,Rodentia,Gliridae,Eliomys,quercinus,,Y,0,0,0,,,,
Glirulus_japonicus,Rodentia,Gliridae,Glirulus,japonicus,,,,,,,,,
Glis_glis,Rodentia,Gliridae,Glis,glis,,Y,0,0,0,,,,
Graphiurus_angolensis,Rodentia,Gliridae,Graphiurus,angolensis,,,,,,,,,
Graphiurus_christyi,Rodentia,Gliridae,Graphiurus,christyi,,,,,,,,,
Graphiurus_crassicaudatus,Rodentia,Gliridae,Graphiurus,crassicaudatus,,,,,,,,,
Graphiurus_johnstoni,Rodentia,Gliridae,Graphiurus,johnstoni,,,,,,,,,
Graphiurus_kelleni,Rodentia,Gliridae,Graphiurus,kelleni,,,,,,,,,
Graphiurus_lorraineus,Rodentia,Gliridae,Graphiurus,lorraineus,,,,,,,,,
Graphiurus_microtis,Rodentia,Gliridae,Graphiurus,microtis,,,,,,,,,
Graphiurus_monardi,Rodentia,Gliridae,Graphiurus,monardi,,,,,,,,,
Graphiurus_murinus,Rodentia,Gliridae,Graphiurus,murinus,,Y,0,0,0,,,,
Graphiurus_nagtglasii,Rodentia,Gliridae,Graphiurus,nagtglasii,,,,,,,,,
Graphiurus_ocularis,Rodentia,Gliridae,Graphiurus,ocularis,,,,,,,,,
Graphiurus_platyops,Rodentia,Gliridae,Graphiurus,platyops,,,,,,,,,
Graphiurus_rupicola,Rodentia,Gliridae,Graphiurus,rupicola,,,,,,,,,
Graphiurus_surdus,Rodentia,Gliridae,Graphiurus,surdus,,,,,,,,,
Muscardinus_avellanarius,Rodentia,Gliridae,Muscardinus,avellanarius,,Y,0,0,0,,,,
Myomimus_personatus,Rodentia,Gliridae,Myomimus,personatus,,,,,,,,,
Myomimus_roachi,Rodentia,Gliridae,Myomimus,roachi,,,,,,,,,
Myomimus_setzeri,Rodentia,Gliridae,Myomimus,setzeri,,Y,0,0,0,,,,
Selevinia_betpakdalaensis,Rodentia,Gliridae,Selevinia,betpakdalaensis,,,,,,,,,
Aeretes_melanopterus,Rodentia,Sciuridae,Aeretes,melanopterus,,,,,,,,,
Aeromys_tephromelas,Rodentia,Sciuridae,Aeromys,tephromelas,,,,,,,,,
Aeromys_thomasi,Rodentia,Sciuridae,Aeromys,thomasi,,,,,,,,,
Ammospermophilus_harrisii,Rodentia,Sciuridae,Ammospermophilus,harrisii,,Y,0,0,0,,,,
Ammospermophilus_interpres,Rodentia,Sciuridae,Ammospermophilus,interpres,,Y,0,0,0,,,,
