Binomial.1.2,Order.1.2,Family.1.2,Genus.1.2,Species.1.2,,1700 Matched Species,FSSB,MSSB,SSB,,Total Species,SSB Data Present,Percent Covered
Cabassous_centralis,Cingulata,CingulataFam,Cabassous,centralis,,,,,,,73,17,23.28767123
Cabassous_chacoensis,Cingulata,CingulataFam,Cabassous,chacoensis,,,,,,,,,
Cabassous_tatouay,Cingulata,CingulataFam,Cabassous,tatouay,,,,,,,,,
Cabassous_unicinctus,Cingulata,CingulataFam,Cabassous,unicinctus,,Y,0,0,0,,,,
Calyptophractus_retusus,Cingulata,CingulataFam,Calyptophractus,retusus,,,,,,,,,
Chaetophractus_vellerosus,Cingulata,CingulataFam,Chaetophractus,vellerosus,,Y,0,0,0,,,,
Chaetophractus_villosus,Cingulata,CingulataFam,Chaetophractus,villosus,,Y,0,0,0,,,,
Chlamyphorus_truncatus,Cingulata,CingulataFam,Chlamyphorus,truncatus,,,,,,,,,
Dasypus_bellus,Cingulata,CingulataFam,Dasypus,bellus,,,,,,,,,
Dasypus_hybridus,Cingulata,CingulataFam,Dasypus,hybridus,,,,,,,,,
Dasypus_kappleri,Cingulata,CingulataFam,Dasypus,kappleri,,,,,,,,,
Dasypus_novemcinctus,Cingulata,CingulataFam,Dasypus,novemcinctus,,Y,0,0,0,,,,
Dasypus_pilosus,Cingulata,CingulataFam,Dasypus,pilosus,,,,,,,,,
Dasypus_sabanicola,Cingulata,CingulataFam,Dasypus,sabanicola,,Y,0,0,0,,,,
Dasypus_septemcinctus,Cingulata,CingulataFam,Dasypus,septemcinctus,,,,,,,,,
Dasypus_yepesi,Cingulata,CingulataFam,Dasypus,yepesi,,,,,,,,,
Doedicurus_clavicaudatus,Cingulata,CingulataFam,Doedicurus,clavicaudatus,,,,,,,,,
Euphractus_sexcinctus,Cingulata,CingulataFam,Euphractus,sexcinctus,,Y,0,0,0,,,,
Eutatus_seguini,Cingulata,CingulataFam,Eutatus,seguini,,,,,,,,,
Glyptodon_clavipes,Cingulata,CingulataFam,Glyptodon,clavipes,,,,,,,,,
Glyptodon_reticulatus,Cingulata,CingulataFam,Glyptodon,reticulatus,,,,,,,,,
Glyptotherium_cylindricum,Cingulata,CingulataFam,Glyptotherium,cylindricum,,,,,,,,,
Glyptotherium_floridanum,Cingulata,CingulataFam,Glyptotherium,floridanum,,,,,,,,,
Holmesina_occidentalis,Cingulata,CingulataFam,Holmesina,occidentalis,,,,,,,,,
Holmesina_paulacoutoi,Cingulata,CingulataFam,Holmesina,paulacoutoi,,,,,,,,,
Holmesina_septentrionalis,Cingulata,CingulataFam,Holmesina,septentrionalis,,,,,,,,,
Hoplophorus_euphractus,Cingulata,CingulataFam,Hoplophorus,euphractus,,,,,,,,,
Neosclerocalyptus_paskoenis,Cingulata,CingulataFam,Neosclerocalyptus,paskoenis,,,,,,,,,
Neuryurus_trabeculatus,Cingulata,CingulataFam,Neuryurus,trabeculatus,,,,,,,,,
Pachyarmatherium_brasiliense,Cingulata,CingulataFam,Pachyarmatherium,brasiliense,,,,,,,,,
Pampatherium_humboldti,Cingulata,CingulataFam,Pampatherium,humboldti,,,,,,,,,
Pampatherium_typum,Cingulata,CingulataFam,Pampatherium,typum,,,,,,,,,
Panochthus_tuberculatus,Cingulata,CingulataFam,Panochthus,tuberculatus,,,,,,,,,
Priodontes_maximus,Cingulata,CingulataFam,Priodontes,maximus,,Y,0,0,0,,,,
Propraopus_punctatus,Cingulata,CingulataFam,Propraopus,punctatus,,,,,,,,,
Propraopus_sulcatus,Cingulata,CingulataFam,Propraopus,sulcatus,,,,,,,,,
Tolypeutes_matacus,Cingulata,CingulataFam,Tolypeutes,matacus,,Y,0,0,0,,,,
Tolypeutes_tricinctus,Cingulata,CingulataFam,Tolypeutes,tricinctus,,,,,,,,,
Zaedyus_pichiy,Cingulata,CingulataFam,Zaedyus,pichiy,,Y,0,0,0,,,,
Acratocnus_odontrigonus,Pilosa,Megalonychidae,Acratocnus,odontrigonus,,,,,,,,,
Acratocnus_ye,Pilosa,Megalonychidae,Acratocnus,ye,,,,,,,,,
Bradypus_pygmaeus,Pilosa,Bradypodidae,Bradypus,pygmaeus,,,,,,,,,
Bradypus_torquatus,Pilosa,Bradypodidae,Bradypus,torquatus,,,,,,,,,
Bradypus_tridactylus,Pilosa,Bradypodidae,Bradypus,tridactylus,,Y,0,0,0,,,,
Bradypus_variegatus,Pilosa,Bradypodidae,Bradypus,variegatus,,Y,0,0,0,,,,
Catonyx_cuvieri,Pilosa,Mylodontidae,Catonyx,cuvieri,,,,,,,,,
Choloepus_didactylus,Pilosa,Megalonychidae,Choloepus,didactylus,,Y,0,0,0,,,,
