Binomial.1.2,Order.1.2,Family.1.2,Genus.1.2,Species.1.2,,1700 Matched Species,FSSB,MSSB,SSB,,Total Species,SSB Data Present,Percent Covered
Cynocephalus_volans,Dermoptera,Cynocephalidae,Cynocephalus,volans,,Y,0,0,0,,22,12,54.54545455
Galeopterus_variegatus,Dermoptera,Cynocephalidae,Galeopterus,variegatus,,Y,0,0,0,,,,
Anathana_ellioti,Scandentia,Tupaiidae,Anathana,ellioti,,Y,0,0,0,,,,
Dendrogale_melanura,Scandentia,Tupaiidae,Dendrogale,melanura,,,,,,,,,
Dendrogale_murina,Scandentia,Tupaiidae,Dendrogale,murina,,,,,,,,,
Ptilocercus_lowii,Scandentia,Ptilocercidae,Ptilocercus,lowii,,,,,,,,,
Tupaia_belangeri,Scandentia,Tupaiidae,Tupaia,belangeri,,Y,1,1,1,,,,
Tupaia_chrysogaster,Scandentia,Tupaiidae,Tupaia,chrysogaster,,,,,,,,,
Tupaia_dorsalis,Scandentia,Tupaiidae,Tupaia,dorsalis,,,,,,,,,
Tupaia_glis,Scandentia,Tupaiidae,Tupaia,glis,,Y,1,0,1,,,,
Tupaia_gracilis,Scandentia,Tupaiidae,Tupaia,gracilis,,Y,1,0,1,,,,
Tupaia_javanica,Scandentia,Tupaiidae,Tupaia,javanica,,Y,0,0,0,,,,
Tupaia_longipes,Scandentia,Tupaiidae,Tupaia,longipes,,Y,1,0,1,,,,
Tupaia_minor,Scandentia,Tupaiidae,Tupaia,minor,,Y,0,0,0,,,,
Tupaia_moellendorffi,Scandentia,Tupaiidae,Tupaia,moellendorffi,,,,,,,,,
Tupaia_montana,Scandentia,Tupaiidae,Tupaia,montana,,Y,1,0,1,,,,
Tupaia_nicobarica,Scandentia,Tupaiidae,Tupaia,nicobarica,,,,,,,,,
Tupaia_palawanensis,Scandentia,Tupaiidae,Tupaia,palawanensis,,Y,0,0,0,,,,
Tupaia_picta,Scandentia,Tupaiidae,Tupaia,picta,,,,,,,,,
Tupaia_splendidula,Scandentia,Tupaiidae,Tupaia,splendidula,,,,,,,,,
Tupaia_tana,Scandentia,Tupaiidae,Tupaia,tana,,Y,1,1,1,,,,
Urogale_everetti,Scandentia,Tupaiidae,Urogale,everetti,,,,,,,,,
