Binomial.1.2,Order.1.2,Family.1.2,Genus.1.2,Species.1.2,,1700 Matched Species,FSSB,MSSB,SSB,,Total Species,SSB Data Present,Percent Covered
Balantiopteryx_infusca,Chiroptera,Emballonuridae,Balantiopteryx,infusca,,,,,,,807,80,9.913258984
Balantiopteryx_io,Chiroptera,Emballonuridae,Balantiopteryx,io,,,,,,,,,
Balantiopteryx_plicata,Chiroptera,Emballonuridae,Balantiopteryx,plicata,,,,,,,,,
Centronycteris_centralis,Chiroptera,Emballonuridae,Centronycteris,centralis,,,,,,,,,
Centronycteris_maximiliani,Chiroptera,Emballonuridae,Centronycteris,maximiliani,,,,,,,,,
Coleura_afra,Chiroptera,Emballonuridae,Coleura,afra,,,,,,,,,
Coleura_seychellensis,Chiroptera,Emballonuridae,Coleura,seychellensis,,,,,,,,,
Cormura_brevirostris,Chiroptera,Emballonuridae,Cormura,brevirostris,,,,,,,,,
Cyttarops_alecto,Chiroptera,Emballonuridae,Cyttarops,alecto,,,,,,,,,
Diclidurus_albus,Chiroptera,Emballonuridae,Diclidurus,albus,,,,,,,,,
Diclidurus_ingens,Chiroptera,Emballonuridae,Diclidurus,ingens,,,,,,,,,
Diclidurus_isabella,Chiroptera,Emballonuridae,Diclidurus,isabella,,,,,,,,,
Diclidurus_scutatus,Chiroptera,Emballonuridae,Diclidurus,scutatus,,,,,,,,,
Emballonura_alecto,Chiroptera,Emballonuridae,Emballonura,alecto,,,,,,,,,
Emballonura_beccarii,Chiroptera,Emballonuridae,Emballonura,beccarii,,,,,,,,,
Emballonura_dianae,Chiroptera,Emballonuridae,Emballonura,dianae,,,,,,,,,
Emballonura_furax,Chiroptera,Emballonuridae,Emballonura,furax,,,,,,,,,
Emballonura_monticola,Chiroptera,Emballonuridae,Emballonura,monticola,,,,,,,,,
Emballonura_raffrayana,Chiroptera,Emballonuridae,Emballonura,raffrayana,,,,,,,,,
Emballonura_semicaudata,Chiroptera,Emballonuridae,Emballonura,semicaudata,,,,,,,,,
Emballonura_serii,Chiroptera,Emballonuridae,Emballonura,serii,,,,,,,,,
Mosia_nigrescens,Chiroptera,Emballonuridae,Mosia,nigrescens,,,,,,,,,
Paremballonura_atrata,Chiroptera,Emballonuridae,Paremballonura,atrata,,,,,,,,,
Paremballonura_tiavato,Chiroptera,Emballonuridae,Paremballonura,tiavato,,,,,,,,,
Peropteryx_kappleri,Chiroptera,Emballonuridae,Peropteryx,kappleri,,,,,,,,,
Peropteryx_leucoptera,Chiroptera,Emballonuridae,Peropteryx,leucoptera,,,,,,,,,
Peropteryx_macrotis,Chiroptera,Emballonuridae,Peropteryx,macrotis,,,,,,,,,
Peropteryx_pallidoptera,Chiroptera,Emballonuridae,Peropteryx,pallidoptera,,,,,,,,,
Peropteryx_trinitatis,Chiroptera,Emballonuridae,Peropteryx,trinitatis,,,,,,,,,
Rhynchonycteris_naso,Chiroptera,Emballonuridae,Rhynchonycteris,naso,,,,,,,,,
Saccolaimus_flaviventris,Chiroptera,Emballonuridae,Saccolaimus,flaviventris,,,,,,,,,
Saccolaimus_mixtus,Chiroptera,Emballonuridae,Saccolaimus,mixtus,,,,,,,,,
Saccolaimus_peli,Chiroptera,Emballonuridae,Saccolaimus,peli,,,,,,,,,
Saccolaimus_saccolaimus,Chiroptera,Emballonuridae,Saccolaimus,saccolaimus,,,,,,,,,
Saccopteryx_antioquensis,Chiroptera,Emballonuridae,Saccopteryx,antioquensis,,,,,,,,,
Saccopteryx_bilineata,Chiroptera,Emballonuridae,Saccopteryx,bilineata,,,,,,,,,
Saccopteryx_canescens,Chiroptera,Emballonuridae,Saccopteryx,canescens,,,,,,,,,
Saccopteryx_gymnura,Chiroptera,Emballonuridae,Saccopteryx,gymnura,,,,,,,,,
Saccopteryx_leptura,Chiroptera,Emballonuridae,Saccopteryx,leptura,,,,,,,,,
Taphozous_achates,Chiroptera,Emballonuridae,Taphozous,achates,,,,,,,,,
Taphozous_australis,Chiroptera,Emballonuridae,Taphozous,australis,,,,,,,,,
Taphozous_georgianus,Chiroptera,Emballonuridae,Taphozous,georgianus,,,,,,,,,
Taphozous_hamiltoni,Chiroptera,Emballonuridae,Taphozous,hamiltoni,,,,,,,,,
Taphozous_hildegardeae,Chiroptera,Emballonuridae,Taphozous,hildegardeae,,,,,,,,,
Taphozous_hilli,Chiroptera,Emballonuridae,Taphozous,hilli,,,,,,,,,
Taphozous_kapalgensis,Chiroptera,Emballonuridae,Taphozous,kapalgensis,,,,,,,,,
Taphozous_longimanus,Chiroptera,Emballonuridae,Taphozous,longimanus,,,,,,,,,
Taphozous_mauritianus,Chiroptera,Emballonuridae,Taphozous,mauritianus,,,,,,,,,
Taphozous_melanopogon,Chiroptera,Emballonuridae,Taphozous,melanopogon,,,,,,,,,
Taphozous_nudiventris,Chiroptera,Emballonuridae,Taphozous,nudiventris,,Y,0,0,0,,,,
Taphozous_perforatus,Chiroptera,Emballonuridae,Taphozous,perforatus,,,,,,,,,
Taphozous_theobaldi,Chiroptera,Emballonuridae,Taphozous,theobaldi,,,,,,,,,
Taphozous_troughtoni,Chiroptera,Emballonuridae,Taphozous,troughtoni,,,,,,,,,
Myzopoda_aurita,Chiroptera,Myzopodidae,Myzopoda,aurita,,,,,,,,,
Myzopoda_schliemanni,Chiroptera,Myzopodidae,Myzopoda,schliemanni,,,,,,,,,
Nycteris_arge,Chiroptera,Nycteridae,Nycteris,arge,,,,,,,,,
Nycteris_aurita,Chiroptera,Nycteridae,Nycteris,aurita,,,,,,,,,
Nycteris_gambiensis,Chiroptera,Nycteridae,Nycteris,gambiensis,,,,,,,,,
Nycteris_grandis,Chiroptera,Nycteridae,Nycteris,grandis,,,,,,,,,
Nycteris_hispida,Chiroptera,Nycteridae,Nycteris,hispida,,,,,,,,,
Nycteris_intermedia,Chiroptera,Nycteridae,Nycteris,intermedia,,,,,,,,,
Nycteris_javanica,Chiroptera,Nycteridae,Nycteris,javanica,,,,,,,,,
Nycteris_macrotis,Chiroptera,Nycteridae,Nycteris,macrotis,,,,,,,,,
Nycteris_madagascariensis,Chiroptera,Nycteridae,Nycteris,madagascariensis,,,,,,,,,
Nycteris_major,Chiroptera,Nycteridae,Nycteris,major,,,,,,,,,
Nycteris_nana,Chiroptera,Nycteridae,Nycteris,nana,,,,,,,,,
Nycteris_parisii,Chiroptera,Nycteridae,Nycteris,parisii,,,,,,,,,
Nycteris_thebaica,Chiroptera,Nycteridae,Nycteris,thebaica,,,,,,,,,
Nycteris_tragata,Chiroptera,Nycteridae,Nycteris,tragata,,,,,,,,,
Nycteris_vinsoni,Chiroptera,Nycteridae,Nycteris,vinsoni,,,,,,,,,
Nycteris_woodi,Chiroptera,Nycteridae,Nycteris,woodi,,,,,,,,,
Amorphochilus_schnablii,Chiroptera,Furipteridae,Amorphochilus,schnablii,,,,,,,,,
Furipterus_horrens,Chiroptera,Furipteridae,Furipterus,horrens,,,,,,,,,
Mormoops_blainvillei,Chiroptera,Mormoopidae,Mormoops,blainvillei,,,,,,,,,
Mormoops_magna,Chiroptera,Mormoopidae,Mormoops,magna,,,,,,,,,
Mormoops_megalophylla,Chiroptera,Mormoopidae,Mormoops,megalophylla,,Y,0,0,0,,,,
Pteronotus_davyi,Chiroptera,Mormoopidae,Pteronotus,davyi,,,,,,,,,
Pteronotus_gymnonotus,Chiroptera,Mormoopidae,Pteronotus,gymnonotus,,,,,,,,,
Pteronotus_macleayii,Chiroptera,Mormoopidae,Pteronotus,macleayii,,,,,,,,,
Pteronotus_mesoamericanus,Chiroptera,Mormoopidae,Pteronotus,mesoamericanus,,,,,,,,,
Pteronotus_paraguanensis,Chiroptera,Mormoopidae,Pteronotus,paraguanensis,,,,,,,,,
Pteronotus_parnellii,Chiroptera,Mormoopidae,Pteronotus,parnellii,,,,,,,,,
Pteronotus_personatus,Chiroptera,Mormoopidae,Pteronotus,personatus,,,,,,,,,
Pteronotus_quadridens,Chiroptera,Mormoopidae,Pteronotus,quadridens,,Y,0,0,0,,,,
Pteronotus_rubiginosus,Chiroptera,Mormoopidae,Pteronotus,rubiginosus,,,,,,,,,
Mystacina_robusta,Chiroptera,Mystacinidae,Mystacina,robusta,,,,,,,,,
Mystacina_tuberculata,Chiroptera,Mystacinidae,Mystacina,tuberculata,,Y,0,0,0,,,,
Noctilio_albiventris,Chiroptera,Noctilionidae,Noctilio,albiventris,,,,,,,,,
Noctilio_leporinus,Chiroptera,Noctilionidae,Noctilio,leporinus,,,,,,,,,
Ametrida_centurio,Chiroptera,Phyllostomidae,Ametrida,centurio,,,,,,,,,
Anoura_caudifer,Chiroptera,Phyllostomidae,Anoura,caudifer,,,,,,,,,
Anoura_cultrata,Chiroptera,Phyllostomidae,Anoura,cultrata,,,,,,,,,
Anoura_fistulata,Chiroptera,Phyllostomidae,Anoura,fistulata,,,,,,,,,
Anoura_geoffroyi,Chiroptera,Phyllostomidae,Anoura,geoffroyi,,,,,,,,,
Anoura_latidens,Chiroptera,Phyllostomidae,Anoura,latidens,,,,,,,,,
Anoura_luismanueli,Chiroptera,Phyllostomidae,Anoura,luismanueli,,,,,,,,,
Ardops_nichollsi,Chiroptera,Phyllostomidae,Ardops,nichollsi,,,,,,,,,
Ariteus_flavescens,Chiroptera,Phyllostomidae,Ariteus,flavescens,,,,,,,,,
Artibeus_amplus,Chiroptera,Phyllostomidae,Artibeus,amplus,,,,,,,,,
Artibeus_anthonyi,Chiroptera,Phyllostomidae,Artibeus,anthonyi,,,,,,,,,
Artibeus_concolor,Chiroptera,Phyllostomidae,Artibeus,concolor,,,,,,,,,
