Binomial.1.2,Order.1.2,Family.1.2,Genus.1.2,Species.1.2,,1700 Matched Species,FSSB,MSSB,SSB,,Total Species,SSB Data Present,Percent Covered
Atelerix_albiventris,Eulipotyphla,Erinaceidae,Atelerix,albiventris,,Y,0,0,0,,465,79,16.98924731
Atelerix_algirus,Eulipotyphla,Erinaceidae,Atelerix,algirus,,,,,,,,,
Atelerix_frontalis,Eulipotyphla,Erinaceidae,Atelerix,frontalis,,,,,,,,,
Atelerix_sclateri,Eulipotyphla,Erinaceidae,Atelerix,sclateri,,,,,,,,,
Echinosorex_gymnura,Eulipotyphla,Erinaceidae,Echinosorex,gymnura,,,,,,,,,
Erinaceus_amurensis,Eulipotyphla,Erinaceidae,Erinaceus,amurensis,,,,,,,,,
Erinaceus_concolor,Eulipotyphla,Erinaceidae,Erinaceus,concolor,,Y,0,0,0,,,,
Erinaceus_europaeus,Eulipotyphla,Erinaceidae,Erinaceus,europaeus,,Y,0,0,0,,,,
Erinaceus_roumanicus,Eulipotyphla,Erinaceidae,Erinaceus,roumanicus,,Y,0,0,0,,,,
Hemiechinus_auritus,Eulipotyphla,Erinaceidae,Hemiechinus,auritus,,Y,1,0,1,,,,
Hemiechinus_collaris,Eulipotyphla,Erinaceidae,Hemiechinus,collaris,,,,,,,,,
Hylomys_megalotis,Eulipotyphla,Erinaceidae,Hylomys,megalotis,,,,,,,,,
Hylomys_parvus,Eulipotyphla,Erinaceidae,Hylomys,parvus,,,,,,,,,
Hylomys_suillus,Eulipotyphla,Erinaceidae,Hylomys,suillus,,Y,0,0,0,,,,
Mesechinus_dauuricus,Eulipotyphla,Erinaceidae,Mesechinus,dauuricus,,Y,0,0,0,,,,
Mesechinus_hughi,Eulipotyphla,Erinaceidae,Mesechinus,hughi,,,,,,,,,
Neohylomys_hainanensis,Eulipotyphla,Erinaceidae,Neohylomys,hainanensis,,,,,,,,,
Neotetracus_sinensis,Eulipotyphla,Erinaceidae,Neotetracus,sinensis,,,,,,,,,
Paraechinus_aethiopicus,Eulipotyphla,Erinaceidae,Paraechinus,aethiopicus,,Y,0,0,0,,,,
Paraechinus_hypomelas,Eulipotyphla,Erinaceidae,Paraechinus,hypomelas,,Y,0,0,0,,,,
Paraechinus_micropus,Eulipotyphla,Erinaceidae,Paraechinus,micropus,,Y,0,0,0,,,,
Paraechinus_nudiventris,Eulipotyphla,Erinaceidae,Paraechinus,nudiventris,,,,,,,,,
Podogymnura_aureospinula,Eulipotyphla,Erinaceidae,Podogymnura,aureospinula,,,,,,,,,
Podogymnura_truei,Eulipotyphla,Erinaceidae,Podogymnura,truei,,,,,,,,,
Nesophontes_edithae,Eulipotyphla,Nesophontidae,Nesophontes,edithae,,,,,,,,,
Nesophontes_hypomicrus,Eulipotyphla,Nesophontidae,Nesophontes,hypomicrus,,,,,,,,,
Nesophontes_major,Eulipotyphla,Nesophontidae,Nesophontes,major,,,,,,,,,
Nesophontes_micrus,Eulipotyphla,Nesophontidae,Nesophontes,micrus,,,,,,,,,
Nesophontes_paramicrus,Eulipotyphla,Nesophontidae,Nesophontes,paramicrus,,,,,,,,,
Nesophontes_spA,Eulipotyphla,Nesophontidae,Nesophontes,spA,,,,,,,,,
Nesophontes_zamicrus,Eulipotyphla,Nesophontidae,Nesophontes,zamicrus,,,,,,,,,
Solenodon_cubanus,Eulipotyphla,Solenodontidae,Solenodon,cubanus,,,,,,,,,
Solenodon_marcanoi,Eulipotyphla,Solenodontidae,Solenodon,marcanoi,,,,,,,,,
Solenodon_paradoxus,Eulipotyphla,Solenodontidae,Solenodon,paradoxus,,,,,,,,,
Anourosorex_assamensis,Eulipotyphla,Soricidae,Anourosorex,assamensis,,,,,,,,,
Anourosorex_schmidi,Eulipotyphla,Soricidae,Anourosorex,schmidi,,,,,,,,,
Anourosorex_squamipes,Eulipotyphla,Soricidae,Anourosorex,squamipes,,Y,0,0,0,,,,
Anourosorex_yamashinai,Eulipotyphla,Soricidae,Anourosorex,yamashinai,,,,,,,,,
Blarina_brevicauda,Eulipotyphla,Soricidae,Blarina,brevicauda,,Y,0,0,0,,,,
Blarina_carolinensis,Eulipotyphla,Soricidae,Blarina,carolinensis,,Y,0,0,0,,,,
Blarina_hylophaga,Eulipotyphla,Soricidae,Blarina,hylophaga,,,,,,,,,
Blarinella_griselda,Eulipotyphla,Soricidae,Blarinella,griselda,,,,,,,,,
Blarinella_quadraticauda,Eulipotyphla,Soricidae,Blarinella,quadraticauda,,,,,,,,,
Blarinella_wardi,Eulipotyphla,Soricidae,Blarinella,wardi,,,,,,,,,
Chimarrogale_hantu,Eulipotyphla,Soricidae,Chimarrogale,hantu,,,,,,,,,
Chimarrogale_himalayica,Eulipotyphla,Soricidae,Chimarrogale,himalayica,,,,,,,,,
Chimarrogale_phaeura,Eulipotyphla,Soricidae,Chimarrogale,phaeura,,,,,,,,,
Chimarrogale_platycephalus,Eulipotyphla,Soricidae,Chimarrogale,platycephalus,,,,,,,,,
Chimarrogale_styani,Eulipotyphla,Soricidae,Chimarrogale,styani,,,,,,,,,
Chimarrogale_sumatrana,Eulipotyphla,Soricidae,Chimarrogale,sumatrana,,,,,,,,,
Chodsigoa_caovansunga,Eulipotyphla,Soricidae,Chodsigoa,caovansunga,,,,,,,,,
Chodsigoa_hypsibia,Eulipotyphla,Soricidae,Chodsigoa,hypsibia,,,,,,,,,
Chodsigoa_lamula,Eulipotyphla,Soricidae,Chodsigoa,lamula,,,,,,,,,
Chodsigoa_parca,Eulipotyphla,Soricidae,Chodsigoa,parca,,,,,,,,,
Chodsigoa_parva,Eulipotyphla,Soricidae,Chodsigoa,parva,,,,,,,,,
Chodsigoa_salenskii,Eulipotyphla,Soricidae,Chodsigoa,salenskii,,,,,,,,,
Chodsigoa_smithii,Eulipotyphla,Soricidae,Chodsigoa,smithii,,,,,,,,,
Chodsigoa_sodalis,Eulipotyphla,Soricidae,Chodsigoa,sodalis,,,,,,,,,
Congosorex_phillipsorum,Eulipotyphla,Soricidae,Congosorex,phillipsorum,,,,,,,,,
Congosorex_polli,Eulipotyphla,Soricidae,Congosorex,polli,,,,,,,,,
Congosorex_verheyeni,Eulipotyphla,Soricidae,Congosorex,verheyeni,,,,,,,,,
Crocidura_aleksandrisi,Eulipotyphla,Soricidae,Crocidura,aleksandrisi,,,,,,,,,
Crocidura_allex,Eulipotyphla,Soricidae,Crocidura,allex,,Y,0,0,0,,,,
Crocidura_andamanensis,Eulipotyphla,Soricidae,Crocidura,andamanensis,,,,,,,,,
Crocidura_ansellorum,Eulipotyphla,Soricidae,Crocidura,ansellorum,,,,,,,,,
Crocidura_arabica,Eulipotyphla,Soricidae,Crocidura,arabica,,,,,,,,,
Crocidura_arispa,Eulipotyphla,Soricidae,Crocidura,arispa,,,,,,,,,
Crocidura_armenica,Eulipotyphla,Soricidae,Crocidura,armenica,,,,,,,,,
Crocidura_attenuata,Eulipotyphla,Soricidae,Crocidura,attenuata,,,,,,,,,
Crocidura_attila,Eulipotyphla,Soricidae,Crocidura,attila,,Y,0,0,0,,,,
Crocidura_baileyi,Eulipotyphla,Soricidae,Crocidura,baileyi,,,,,,,,,
Crocidura_baluensis,Eulipotyphla,Soricidae,Crocidura,baluensis,,,,,,,,,
Crocidura_batesi,Eulipotyphla,Soricidae,Crocidura,batesi,,,,,,,,,
Crocidura_beatus,Eulipotyphla,Soricidae,Crocidura,beatus,,,,,,,,,
Crocidura_beccarii,Eulipotyphla,Soricidae,Crocidura,beccarii,,,,,,,,,
Crocidura_bottegi,Eulipotyphla,Soricidae,Crocidura,bottegi,,,,,,,,,
Crocidura_bottegoides,Eulipotyphla,Soricidae,Crocidura,bottegoides,,,,,,,,,
Crocidura_brunnea,Eulipotyphla,Soricidae,Crocidura,brunnea,,,,,,,,,
Crocidura_buettikoferi,Eulipotyphla,Soricidae,Crocidura,buettikoferi,,,,,,,,,
Crocidura_caliginea,Eulipotyphla,Soricidae,Crocidura,caliginea,,,,,,,,,
Crocidura_canariensis,Eulipotyphla,Soricidae,Crocidura,canariensis,,,,,,,,,
Crocidura_caspica,Eulipotyphla,Soricidae,Crocidura,caspica,,,,,,,,,
Crocidura_cinderella,Eulipotyphla,Soricidae,Crocidura,cinderella,,,,,,,,,
Crocidura_congobelgica,Eulipotyphla,Soricidae,Crocidura,congobelgica,,,,,,,,,
Crocidura_crenata,Eulipotyphla,Soricidae,Crocidura,crenata,,,,,,,,,
Crocidura_crossei,Eulipotyphla,Soricidae,Crocidura,crossei,,Y,0,0,0,,,,
Crocidura_cyanea,Eulipotyphla,Soricidae,Crocidura,cyanea,,,,,,,,,
Crocidura_denti,Eulipotyphla,Soricidae,Crocidura,denti,,,,,,,,,
Crocidura_desperata,Eulipotyphla,Soricidae,Crocidura,desperata,,,,,,,,,
Crocidura_dhofarensis,Eulipotyphla,Soricidae,Crocidura,dhofarensis,,,,,,,,,
Crocidura_dolichura,Eulipotyphla,Soricidae,Crocidura,dolichura,,Y,0,0,0,,,,
Crocidura_douceti,Eulipotyphla,Soricidae,Crocidura,douceti,,,,,,,,,
Crocidura_dsinezumi,Eulipotyphla,Soricidae,Crocidura,dsinezumi,,,,,,,,,
Crocidura_eisentrauti,Eulipotyphla,Soricidae,Crocidura,eisentrauti,,,,,,,,,
Crocidura_elgonius,Eulipotyphla,Soricidae,Crocidura,elgonius,,,,,,,,,
Crocidura_elongata,Eulipotyphla,Soricidae,Crocidura,elongata,,,,,,,,,
Crocidura_erica,Eulipotyphla,Soricidae,Crocidura,erica,,,,,,,,,
Crocidura_fischeri,Eulipotyphla,Soricidae,Crocidura,fischeri,,,,,,,,,
Crocidura_flavescens,Eulipotyphla,Soricidae,Crocidura,flavescens,,Y,0,0,0,,,,
Crocidura_floweri,Eulipotyphla,Soricidae,Crocidura,floweri,,,,,,,,,
Crocidura_foetida,Eulipotyphla,Soricidae,Crocidura,foetida,,,,,,,,,
Crocidura_foxi,Eulipotyphla,Soricidae,Crocidura,foxi,,,,,,,,,
Crocidura_fuliginosa,Eulipotyphla,Soricidae,Crocidura,fuliginosa,,,,,,,,,
Crocidura_fulvastra,Eulipotyphla,Soricidae,Crocidura,fulvastra,,Y,0,0,0,,,,
Crocidura_fumosa,Eulipotyphla,Soricidae,Crocidura,fumosa,,Y,0,0,0,,,,
Crocidura_fuscomurina,Eulipotyphla,Soricidae,Crocidura,fuscomurina,,Y,0,0,0,,,,
Crocidura_glassi,Eulipotyphla,Soricidae,Crocidura,glassi,,,,,,,,,
Crocidura_gmelini,Eulipotyphla,Soricidae,Crocidura,gmelini,,,,,,,,,
Crocidura_goliath,Eulipotyphla,Soricidae,Crocidura,goliath,,,,,,,,,
Crocidura_gracilipes,Eulipotyphla,Soricidae,Crocidura,gracilipes,,,,,,,,,
Crocidura_grandiceps,Eulipotyphla,Soricidae,Crocidura,grandiceps,,,,,,,,,
Crocidura_grandis,Eulipotyphla,Soricidae,Crocidura,grandis,,,,,,,,,
Crocidura_grassei,Eulipotyphla,Soricidae,Crocidura,grassei,,,,,,,,,
Crocidura_grayi,Eulipotyphla,Soricidae,Crocidura,grayi,,,,,,,,,
Crocidura_greenwoodi,Eulipotyphla,Soricidae,Crocidura,greenwoodi,,,,,,,,,
Crocidura_harenna,Eulipotyphla,Soricidae,Crocidura,harenna,,,,,,,,,
Crocidura_hikmiya,Eulipotyphla,Soricidae,Crocidura,hikmiya,,,,,,,,,
Crocidura_hildegardeae,Eulipotyphla,Soricidae,Crocidura,hildegardeae,,Y,0,0,0,,,,
Crocidura_hilliana,Eulipotyphla,Soricidae,Crocidura,hilliana,,,,,,,,,
Crocidura_hirta,Eulipotyphla,Soricidae,Crocidura,hirta,,Y,0,0,0,,,,
Crocidura_hispida,Eulipotyphla,Soricidae,Crocidura,hispida,,,,,,,,,
Crocidura_horsfieldii,Eulipotyphla,Soricidae,Crocidura,horsfieldii,,,,,,,,,
Crocidura_hutanis,Eulipotyphla,Soricidae,Crocidura,hutanis,,,,,,,,,
Crocidura_indochinensis,Eulipotyphla,Soricidae,Crocidura,indochinensis,,,,,,,,,
Crocidura_jacksoni,Eulipotyphla,Soricidae,Crocidura,jacksoni,,,,,,,,,
Crocidura_jenkinsi,Eulipotyphla,Soricidae,Crocidura,jenkinsi,,,,,,,,,
Crocidura_jouvenetae,Eulipotyphla,Soricidae,Crocidura,jouvenetae,,,,,,,,,
Crocidura_katinka,Eulipotyphla,Soricidae,Crocidura,katinka,,,,,,,,,
Crocidura_kivuana,Eulipotyphla,Soricidae,Crocidura,kivuana,,,,,,,,,
Crocidura_lamottei,Eulipotyphla,Soricidae,Crocidura,lamottei,,,,,,,,,
Crocidura_lanosa,Eulipotyphla,Soricidae,Crocidura,lanosa,,,,,,,,,
Crocidura_lasiura,Eulipotyphla,Soricidae,Crocidura,lasiura,,,,,,,,,
Crocidura_latona,Eulipotyphla,Soricidae,Crocidura,latona,,,,,,,,,
Crocidura_lea,Eulipotyphla,Soricidae,Crocidura,lea,,,,,,,,,
Crocidura_lepidura,Eulipotyphla,Soricidae,Crocidura,lepidura,,,,,,,,,
Crocidura_leucodon,Eulipotyphla,Soricidae,Crocidura,leucodon,,Y,0,0,0,,,,
Crocidura_levicula,Eulipotyphla,Soricidae,Crocidura,levicula,,,,,,,,,
Crocidura_littoralis,Eulipotyphla,Soricidae,Crocidura,littoralis,,,,,,,,,
Crocidura_longipes,Eulipotyphla,Soricidae,Crocidura,longipes,,,,,,,,,
Crocidura_lucina,Eulipotyphla,Soricidae,Crocidura,lucina,,,,,,,,,
Crocidura_ludia,Eulipotyphla,Soricidae,Crocidura,ludia,,,,,,,,,
Crocidura_luna,Eulipotyphla,Soricidae,Crocidura,luna,,,,,,,,,
Crocidura_lusitania,Eulipotyphla,Soricidae,Crocidura,lusitania,,,,,,,,,
Crocidura_macarthuri,Eulipotyphla,Soricidae,Crocidura,macarthuri,,,,,,,,,
Crocidura_macmillani,Eulipotyphla,Soricidae,Crocidura,macmillani,,,,,,,,,
Crocidura_macowi,Eulipotyphla,Soricidae,Crocidura,macowi,,,,,,,,,
Crocidura_malayana,Eulipotyphla,Soricidae,Crocidura,malayana,,,,,,,,,
Crocidura_manengubae,Eulipotyphla,Soricidae,Crocidura,manengubae,,,,,,,,,
Crocidura_maquassiensis,Eulipotyphla,Soricidae,Crocidura,maquassiensis,,,,,,,,,
Crocidura_mariquensis,Eulipotyphla,Soricidae,Crocidura,mariquensis,,,,,,,,,
Crocidura_maurisca,Eulipotyphla,Soricidae,Crocidura,maurisca,,,,,,,,,
Crocidura_maxi,Eulipotyphla,Soricidae,Crocidura,maxi,,,,,,,,,
Crocidura_mindorus,Eulipotyphla,Soricidae,Crocidura,mindorus,,,,,,,,,
Crocidura_miya,Eulipotyphla,Soricidae,Crocidura,miya,,,,,,,,,
Crocidura_monax,Eulipotyphla,Soricidae,Crocidura,monax,,,,,,,,,
Crocidura_monticola,Eulipotyphla,Soricidae,Crocidura,monticola,,,,,,,,,
Crocidura_montis,Eulipotyphla,Soricidae,Crocidura,montis,,,,,,,,,
Crocidura_muricauda,Eulipotyphla,Soricidae,Crocidura,muricauda,,,,,,,,,
Crocidura_musseri,Eulipotyphla,Soricidae,Crocidura,musseri,,,,,,,,,
Crocidura_mutesae,Eulipotyphla,Soricidae,Crocidura,mutesae,,,,,,,,,
Crocidura_nana,Eulipotyphla,Soricidae,Crocidura,nana,,,,,,,,,
Crocidura_nanilla,Eulipotyphla,Soricidae,Crocidura,nanilla,,,,,,,,,
Crocidura_negligens,Eulipotyphla,Soricidae,Crocidura,negligens,,,,,,,,,
Crocidura_negrina,Eulipotyphla,Soricidae,Crocidura,negrina,,,,,,,,,
Crocidura_nicobarica,Eulipotyphla,Soricidae,Crocidura,nicobarica,,,,,,,,,
Crocidura_nigeriae,Eulipotyphla,Soricidae,Crocidura,nigeriae,,Y,0,0,0,,,,
Crocidura_nigricans,Eulipotyphla,Soricidae,Crocidura,nigricans,,,,,,,,,
Crocidura_nigripes,Eulipotyphla,Soricidae,Crocidura,nigripes,,,,,,,,,
Crocidura_nigrofusca,Eulipotyphla,Soricidae,Crocidura,nigrofusca,,,,,,,,,
Crocidura_nimbae,Eulipotyphla,Soricidae,Crocidura,nimbae,,,,,,,,,
Crocidura_niobe,Eulipotyphla,Soricidae,Crocidura,niobe,,,,,,,,,
Crocidura_obscurior,Eulipotyphla,Soricidae,Crocidura,obscurior,,,,,,,,,
Crocidura_olivieri,Eulipotyphla,Soricidae,Crocidura,olivieri,,Y,0,0,0,,,,
Crocidura_orientalis,Eulipotyphla,Soricidae,Crocidura,orientalis,,,,,,,,,
Crocidura_orii,Eulipotyphla,Soricidae,Crocidura,orii,,,,,,,,,
Crocidura_pachyura,Eulipotyphla,Soricidae,Crocidura,pachyura,,,,,,,,,
Crocidura_palawanensis,Eulipotyphla,Soricidae,Crocidura,palawanensis,,,,,,,,,
Crocidura_paradoxura,Eulipotyphla,Soricidae,Crocidura,paradoxura,,,,,,,,,
Crocidura_parvipes,Eulipotyphla,Soricidae,Crocidura,parvipes,,,,,,,,,
Crocidura_pasha,Eulipotyphla,Soricidae,Crocidura,pasha,,,,,,,,,
Crocidura_pergrisea,Eulipotyphla,Soricidae,Crocidura,pergrisea,,,,,,,,,
Crocidura_phaeura,Eulipotyphla,Soricidae,Crocidura,phaeura,,,,,,,,,
Crocidura_phanluongi,Eulipotyphla,Soricidae,Crocidura,phanluongi,,,,,,,,,
Crocidura_phuquocensis,Eulipotyphla,Soricidae,Crocidura,phuquocensis,,,,,,,,,
Crocidura_picea,Eulipotyphla,Soricidae,Crocidura,picea,,,,,,,,,
Crocidura_pitmani,Eulipotyphla,Soricidae,Crocidura,pitmani,,,,,,,,,
Crocidura_planiceps,Eulipotyphla,Soricidae,Crocidura,planiceps,,,,,,,,,
Crocidura_poensis,Eulipotyphla,Soricidae,Crocidura,poensis,,,,,,,,,
Crocidura_polia,Eulipotyphla,Soricidae,Crocidura,polia,,,,,,,,,
Crocidura_pullata,Eulipotyphla,Soricidae,Crocidura,pullata,,,,,,,,,
Crocidura_raineyi,Eulipotyphla,Soricidae,Crocidura,raineyi,,,,,,,,,
Crocidura_ramona,Eulipotyphla,Soricidae,Crocidura,ramona,,,,,,,,,
Crocidura_rapax,Eulipotyphla,Soricidae,Crocidura,rapax,,,,,,,,,
Crocidura_religiosa,Eulipotyphla,Soricidae,Crocidura,religiosa,,,,,,,,,
Crocidura_rhoditis,Eulipotyphla,Soricidae,Crocidura,rhoditis,,,,,,,,,
Crocidura_roosevelti,Eulipotyphla,Soricidae,Crocidura,roosevelti,,,,,,,,,
Crocidura_russula,Eulipotyphla,Soricidae,Crocidura,russula,,Y,0,0,0,,,,
Crocidura_selina,Eulipotyphla,Soricidae,Crocidura,selina,,,,,,,,,
Crocidura_serezkyensis,Eulipotyphla,Soricidae,Crocidura,serezkyensis,,,,,,,,,
Crocidura_shantungensis,Eulipotyphla,Soricidae,Crocidura,shantungensis,,,,,,,,,
Crocidura_sibirica,Eulipotyphla,Soricidae,Crocidura,sibirica,,,,,,,,,
Crocidura_sicula,Eulipotyphla,Soricidae,Crocidura,sicula,,,,,,,,,
Crocidura_silacea,Eulipotyphla,Soricidae,Crocidura,silacea,,,,,,,,,
Crocidura_smithii,Eulipotyphla,Soricidae,Crocidura,smithii,,,,,,,,,
Crocidura_sokolovi,Eulipotyphla,Soricidae,Crocidura,sokolovi,,,,,,,,,
Crocidura_somalica,Eulipotyphla,Soricidae,Crocidura,somalica,,,,,,,,,
Crocidura_stenocephala,Eulipotyphla,Soricidae,Crocidura,stenocephala,,,,,,,,,
