Binomial.1.2,Order.1.2,Family.1.2,Genus.1.2,Species.1.2,,1700 Matched Species,FSSB,MSSB,SSB,,Total Species,SSB Data Present,Percent Covered
Acerodon_celebensis,Chiroptera,Pteropodidae,Acerodon,celebensis,,Y,0,0,0,,355,40,11.26760563
Acerodon_humilis,Chiroptera,Pteropodidae,Acerodon,humilis,,,,,,,,,
Acerodon_jubatus,Chiroptera,Pteropodidae,Acerodon,jubatus,,,,,,,,,
Acerodon_leucotis,Chiroptera,Pteropodidae,Acerodon,leucotis,,,,,,,,,
Acerodon_mackloti,Chiroptera,Pteropodidae,Acerodon,mackloti,,,,,,,,,
Aethalops_aequalis,Chiroptera,Pteropodidae,Aethalops,aequalis,,,,,,,,,
Aethalops_alecto,Chiroptera,Pteropodidae,Aethalops,alecto,,,,,,,,,
Alionycteris_paucidentata,Chiroptera,Pteropodidae,Alionycteris,paucidentata,,,,,,,,,
Aproteles_bulmerae,Chiroptera,Pteropodidae,Aproteles,bulmerae,,Y,0,0,0,,,,
Balionycteris_maculata,Chiroptera,Pteropodidae,Balionycteris,maculata,,,,,,,,,
Casinycteris_argynnis,Chiroptera,Pteropodidae,Casinycteris,argynnis,,,,,,,,,
Chironax_melanocephalus,Chiroptera,Pteropodidae,Chironax,melanocephalus,,,,,,,,,
Cynopterus_brachyotis,Chiroptera,Pteropodidae,Cynopterus,brachyotis,,Y,0,0,0,,,,
Cynopterus_horsfieldii,Chiroptera,Pteropodidae,Cynopterus,horsfieldii,,,,,,,,,
Cynopterus_luzoniensis,Chiroptera,Pteropodidae,Cynopterus,luzoniensis,,,,,,,,,
Cynopterus_minutus,Chiroptera,Pteropodidae,Cynopterus,minutus,,,,,,,,,
Cynopterus_nusatenggara,Chiroptera,Pteropodidae,Cynopterus,nusatenggara,,,,,,,,,
Cynopterus_sphinx,Chiroptera,Pteropodidae,Cynopterus,sphinx,,Y,0,0,0,,,,
Cynopterus_titthaecheilus,Chiroptera,Pteropodidae,Cynopterus,titthaecheilus,,,,,,,,,
Dobsonia_anderseni,Chiroptera,Pteropodidae,Dobsonia,anderseni,,,,,,,,,
Dobsonia_beauforti,Chiroptera,Pteropodidae,Dobsonia,beauforti,,,,,,,,,
Dobsonia_chapmani,Chiroptera,Pteropodidae,Dobsonia,chapmani,,Y,0,0,0,,,,
Dobsonia_crenulata,Chiroptera,Pteropodidae,Dobsonia,crenulata,,,,,,,,,
Dobsonia_emersa,Chiroptera,Pteropodidae,Dobsonia,emersa,,,,,,,,,
Dobsonia_exoleta,Chiroptera,Pteropodidae,Dobsonia,exoleta,,,,,,,,,
Dobsonia_inermis,Chiroptera,Pteropodidae,Dobsonia,inermis,,,,,,,,,
Dobsonia_minor,Chiroptera,Pteropodidae,Dobsonia,minor,,,,,,,,,
Dobsonia_moluccensis,Chiroptera,Pteropodidae,Dobsonia,moluccensis,,Y,0,0,0,,,,
Dobsonia_pannietensis,Chiroptera,Pteropodidae,Dobsonia,pannietensis,,,,,,,,,
Dobsonia_peronii,Chiroptera,Pteropodidae,Dobsonia,peronii,,,,,,,,,
Dobsonia_praedatrix,Chiroptera,Pteropodidae,Dobsonia,praedatrix,,,,,,,,,
Dobsonia_viridis,Chiroptera,Pteropodidae,Dobsonia,viridis,,,,,,,,,
Dyacopterus_brooksi,Chiroptera,Pteropodidae,Dyacopterus,brooksi,,,,,,,,,
Dyacopterus_spadiceus,Chiroptera,Pteropodidae,Dyacopterus,spadiceus,,,,,,,,,
Eidolon_dupreanum,Chiroptera,Pteropodidae,Eidolon,dupreanum,,,,,,,,,
Eidolon_helvum,Chiroptera,Pteropodidae,Eidolon,helvum,,Y,0,0,0,,,,
Eonycteris_major,Chiroptera,Pteropodidae,Eonycteris,major,,,,,,,,,
Eonycteris_robusta,Chiroptera,Pteropodidae,Eonycteris,robusta,,,,,,,,,
Eonycteris_spelaea,Chiroptera,Pteropodidae,Eonycteris,spelaea,,,,,,,,,
Epomophorus_angolensis,Chiroptera,Pteropodidae,Epomophorus,angolensis,,,,,,,,,
Epomophorus_anselli,Chiroptera,Pteropodidae,Epomophorus,anselli,,,,,,,,,
Epomophorus_crypturus,Chiroptera,Pteropodidae,Epomophorus,crypturus,,,,,,,,,
Epomophorus_gambianus,Chiroptera,Pteropodidae,Epomophorus,gambianus,,,,,,,,,
Epomophorus_grandis,Chiroptera,Pteropodidae,Epomophorus,grandis,,,,,,,,,
Epomophorus_labiatus,Chiroptera,Pteropodidae,Epomophorus,labiatus,,,,,,,,,
Epomophorus_minimus,Chiroptera,Pteropodidae,Epomophorus,minimus,,,,,,,,,
Epomophorus_minor,Chiroptera,Pteropodidae,Epomophorus,minor,,,,,,,,,
Epomophorus_wahlbergi,Chiroptera,Pteropodidae,Epomophorus,wahlbergi,,Y,0,0,0,,,,
Epomops_buettikoferi,Chiroptera,Pteropodidae,Epomops,buettikoferi,,,,,,,,,
Epomops_dobsonii,Chiroptera,Pteropodidae,Epomops,dobsonii,,,,,,,,,
