Taxon,SSB
Elephantulus_brachyrhynchus,0
Elephantulus_edwardii,0
Elephantulus_fuscipes,?
Elephantulus_fuscus,?
Elephantulus_intufi,?
Elephantulus_myurus,0
Elephantulus_pilicaudus,?
Elephantulus_revoilii,?
Elephantulus_rozeti,?
Elephantulus_rufescens,0
Elephantulus_rupestris,?
Macroscelides_flavicaudatus,?
Macroscelides_micus,?
Macroscelides_proboscideus,0
Petrodromus_tetradactylus,0
Rhynchocyon_chrysopygus,0
Rhynchocyon_cirnei,0
Rhynchocyon_petersi,0
Rhynchocyon_udzungwensis,?
Amblysomus_corriae,?
Amblysomus_hottentotus,0
Amblysomus_marleyi,?
Amblysomus_robustus,?
Amblysomus_septentrionalis,?
Calcochloris_obtusirostris,?
Calcochloris_tytonis,?
Carpitalpa_arendsi,?
Chlorotalpa_duthieae,?
Chlorotalpa_sclateri,?
Chrysochloris_asiatica,0
Chrysochloris_stuhlmanni,0
Chrysochloris_visagiei,?
Chrysospalax_trevelyani,0
Chrysospalax_villosus,?
Cryptochloris_wintoni,?
Cryptochloris_zyli,?
Echinops_telfairi,?
Eremitalpa_granti,0
Geogale_aurita,?
Hemicentetes_nigriceps,?
Hemicentetes_semispinosus,?
Huetia_leucorhina,?
Limnogale_mergulus,?
Microgale_brevicaudata,?
Microgale_cowani,?
Microgale_dobsoni,?
Microgale_drouhardi,?
Microgale_dryas,?
Microgale_fotsifotsy,?
Microgale_gracilis,?
Microgale_grandidieri,?
Microgale_gymnorhyncha,?
Microgale_jenkinsae,?
Microgale_jobihely,?
Microgale_longicaudata,?
Microgale_macpheei,?
Microgale_majori,?
Microgale_monticola,?
Microgale_nasoloi,?
Microgale_parvula,?
Microgale_principula,?
Microgale_pusilla,?
Microgale_soricoides,?
Microgale_taiva,?
Microgale_talazaci,?
Microgale_thomasi,?
Micropotamogale_lamottei,?
Micropotamogale_ruwenzorii,?
Neamblysomus_gunningi,?
Neamblysomus_julianae,?
Oryzorictes_hova,?
Oryzorictes_tetradactylus,?
Plesiorycteropus_madagascariensis,?
Potamogale_velox,?
Setifer_setosus,0
Tenrec_ecaudatus,0
Orycteropus_afer,0
Cuvieronius_hyodon,?
Elephas_antiquus,?
Elephas_cypriotes,?
Elephas_iolensis,?
Elephas_maximus,1
Elephas_mnaidriensis,?
Elephas_namadicus,?
Elephas_naumanii,?
Elephas_tiliensis,?
Loxodonta_africana,1
Mammut_americanum,?
Mammuthus_columbi,?
Mammuthus_exilis,?
Mammuthus_primigenius,?
Notiomastodon_platensis,?
Stegodon_florensis,?
Stegodon_orientalis,?
Stegodon_trigonocephalus,?
Dendrohyrax_arboreus,0
Dendrohyrax_dorsalis,0
Dendrohyrax_validus,?
Heterohyrax_brucei,0
Procavia_capensis,0
Dugong_dugon,1
Hydrodamalis_gigas,?
Trichechus_inunguis,?
Trichechus_manatus,1
Trichechus_senegalensis,0
