Taxon,SSB
Antilocapra_americana,1
Capromeryx_minor,?
Stockoceros_conklingi,?
Tetrameryx_shuleri,?
Addax_nasomaculatus,?
Aepyceros_melampus,0
Alcelaphus_buselaphus,1
Ammodorcas_clarkei,0
Ammotragus_lervia,1
Antidorcas_australis,?
Antidorcas_bondi,?
Antidorcas_marsupialis,0
Antilope_cervicapra,1
Arabitragus_jayakari,?
Beatragus_hunteri,0
Bison_bison,1
Bison_bonasus,1
Bootherium_bombifrons,?
Bos_gaurus,0
Bos_javanicus,1
Bos_mutus,0
Bos_primigenius,1
Bos_sauveli,?
Boselaphus_tragocamelus,0
Bubalus_arnee,1
Bubalus_depressicornis,?
Bubalus_grovesi,?
Bubalus_mindorensis,0
Bubalus_palaeokerabau,?
Bubalus_quarlesi,?
Budorcas_taxicolor,0
Capra_aegagrus,1
Capra_caucasica,0
Capra_cylindricornis,0
Capra_falconeri,1
Capra_ibex,1
Capra_nubiana,0
Capra_pyrenaica,1
Capra_sibirica,1
Capra_walie,0
Capricornis_crispus,0
Capricornis_milneedwardsii,?
Capricornis_rubidus,0
Capricornis_sumatraensis,0
Capricornis_swinhoei,0
Capricornis_thar,0
CapriniGen_spA,?
Cephalophus_adersi,0
Cephalophus_callipygus,0
Cephalophus_dorsalis,0
Cephalophus_harveyi,?
Cephalophus_jentinki,0
Cephalophus_leucogaster,0
Cephalophus_natalensis,0
Cephalophus_niger,0
Cephalophus_nigrifrons,0
Cephalophus_ogilbyi,0
Cephalophus_rufilatus,0
Cephalophus_silvicultor,0
Cephalophus_spadix,?
Cephalophus_weynsi,0
Cephalophus_zebra,?
Connochaetes_gnou,0
Connochaetes_taurinus,0
Damaliscus_hypsodon,?
Damaliscus_lunatus,0
Damaliscus_niro,?
Damaliscus_pygargus,0
Dorcatragus_megalotis,?
Euceratherium_collinum,?
Eudorcas_albonotata,?
Eudorcas_rufifrons,0
Eudorcas_rufina,?
Eudorcas_thomsonii,1
Gazella_atlantica,?
Gazella_bennettii,0
Gazella_bilkis,?
Gazella_cuvieri,0
Gazella_dorcas,0
Gazella_gazella,0
Gazella_leptoceros,?
Gazella_marica,?
Gazella_saudiya,?
Gazella_spekei,?
Gazella_subgutturosa,0
Gazella_tingitana,?
Hemitragus_cedrensis,?
Hemitragus_jemlahicus,1
Hippotragus_equinus,1
Hippotragus_leucophaeus,?
Hippotragus_niger,0
Kobus_ellipsiprymnus,1
Kobus_kob,1
Kobus_leche,1
Kobus_megaceros,0
Kobus_vardonii,1
Litocranius_walleri,0
Madoqua_guentheri,0
Madoqua_kirkii,0
Madoqua_piacentinii,?
Madoqua_saltiana,?
Megalotragus_priscus,?
Megalovis_guangxiensis,?
Myotragus_balearicus,?
Naemorhedus_baileyi,0
Naemorhedus_caudatus,?
Naemorhedus_goral,0
Naemorhedus_griseus,?
Nanger_dama,0
Nanger_granti,1
Nanger_soemmerringii,0
Neotragus_batesi,0
Neotragus_pygmaeus,?
Nesotragus_moschatus,0
Nilgiritragus_hylocrius,0
Oreamnos_americanus,0
Oreamnos_harringtoni,?
Oreotragus_oreotragus,0
Oryx_beisa,0
Oryx_dammah,0
Oryx_gazella,0
Oryx_leucoryx,0
Ourebia_ourebi,0
Ovibos_moschatus,1
Ovis_ammon,1
Ovis_canadensis,1
Ovis_dalli,1
Ovis_nivicola,?
Ovis_orientalis,1
Pantholops_hodgsonii,0
Pelea_capreolus,0
Pelorovis_antiquus,?
Philantomba_maxwellii,0
Philantomba_monticola,0
Philantomba_walteri,?
Procapra_gutturosa,0
Procapra_picticaudata,?
Procapra_przewalskii,?
Pseudois_nayaur,1
Pseudoryx_nghetinhensis,?
Raphicerus_campestris,0
Raphicerus_melanotis,0
Raphicerus_sharpei,0
Redunca_arundinum,0
Redunca_fulvorufula,0
Redunca_redunca,0
Rupicapra_pyrenaica,1
Rupicapra_rupicapra,0
Rusingoryx_atopocranion,?
Saiga_tatarica,0
