Taxon,SSB
Ailurus_fulgens,0
Brachyprotoma_obtusata,?
Conepatus_chinga,0
Conepatus_humboldtii,0
Conepatus_leuconotus,0
Conepatus_semistriatus,0
Mephitis_macroura,0
Mephitis_mephitis,0
Mydaus_javanensis,0
Mydaus_marchei,?
Spilogale_angustifrons,?
Spilogale_gracilis,0
Spilogale_putorius,0
Spilogale_pygmaea,?
Aonyx_capensis,0
Aonyx_cinereus,0
Aonyx_congicus,0
Arctonyx_albogularis,?
Arctonyx_collaris,0
Arctonyx_hoevenii,?
Eira_barbara,0
Enhydra_lutris,1
Galictis_cuja,0
Galictis_vittata,?
Gulo_gulo,0
Hydrictis_maculicollis,0
Ictonyx_libycus,?
Ictonyx_striatus,0
Lontra_canadensis,0
Lontra_felina,0
Lontra_longicaudis,0
Lontra_provocax,?
Lutra_lutra,0
Lutra_sumatrana,?
Lutrogale_perspicillata,0
Lyncodon_patagonicus,?
Martes_americana,0
Martes_flavigula,0
Martes_foina,0
Martes_gwatkinsii,?
Martes_martes,1
Martes_melampus,0
Martes_pennanti,0
Martes_zibellina,0
Meles_anakuma,?
Meles_leucurus,?
Meles_meles,0
Mellivora_capensis,0
Melogale_cucphuongensis,?
Melogale_everetti,?
Melogale_moschata,0
Melogale_orientalis,?
Melogale_personata,?
Mustela_africana,?
Mustela_altaica,?
Mustela_erminea,0
Mustela_eversmanii,0
Mustela_felipei,?
Mustela_frenata,0
Mustela_itatsi,?
Mustela_kathiah,0
Mustela_lutreola,0
Mustela_lutreolina,?
Mustela_nigripes,0
Mustela_nivalis,0
Mustela_nudipes,?
Mustela_putorius,0
Mustela_russelliana,?
Mustela_sibirica,0
Mustela_strigidorsa,0
Mustela_subpalmata,?
Mustela_tonkinensis,?
Neovison_macrodon,?
Neovison_vison,0
Poecilogale_albinucha,?
Pteronura_brasiliensis,0
Taxidea_taxus,0
Vormela_peregusna,?
Bassaricyon_alleni,0
Bassaricyon_gabbii,0
Bassaricyon_medius,?
Bassaricyon_neblina,0
Bassariscus_astutus,0
Bassariscus_sumichrasti,0
Nasua_narica,0
Nasua_nasua,0
Nasuella_meridensis,?
Nasuella_olivacea,0
Potos_flavus,0
Procyon_cancrivorus,0
Procyon_lotor,1
Procyon_pygmaeus,?
Odobenus_rosmarus,1
Arctocephalus_australis,0
Arctocephalus_forsteri,0
Arctocephalus_galapagoensis,0
Arctocephalus_gazella,0
Arctocephalus_philippii,?
Arctocephalus_pusillus,0
Arctocephalus_townsendi,0
Arctocephalus_tropicalis,0
Callorhinus_ursinus,1
Eumetopias_jubatus,0
Neophoca_cinerea,1
Otaria_byronia,0
Phocarctos_hookeri,1
Zalophus_californianus,1
Zalophus_japonicus,?
Zalophus_wollebaeki,0
Cystophora_cristata,0
Erignathus_barbatus,0
Halichoerus_grypus,1
Histriophoca_fasciata,?
Hydrurga_leptonyx,0
Leptonychotes_weddellii,0
Lobodon_carcinophaga,0
Mirounga_angustirostris,1
Mirounga_leonina,0
Monachus_monachus,0
Neomonachus_schauinslandi,0
Neomonachus_tropicalis,?
Ommatophoca_rossii,0
Pagophilus_groenlandicus,0
Phoca_largha,1
Phoca_vitulina,1
Pusa_caspica,0
Pusa_hispida,0
Pusa_sibirica,0
Ailuropoda_melanoleuca,0
Arctodus_simus,?
Arctotherium_tarijense,?
Arctotherium_wingei,?
Helarctos_malayanus,0
Melursus_ursinus,0
Tremarctos_floridanus,?
Tremarctos_ornatus,0
Ursus_americanus,1
Ursus_arctos,1
Ursus_maritimus,1
Ursus_spelaeus,?
Ursus_thibetanus,0
Atelocynus_microtis,?
Canis_adustus,0
Canis_aureus,0
Canis_dirus,?
Canis_latrans,0
Canis_lupus,1
Canis_mesomelas,0
Canis_rufus,0
Canis_simensis,0
Cerdocyon_thous,0
Chrysocyon_brachyurus,1
Cuon_alpinus,1
Cynotherium_sardous,?
Dusicyon_australis,?
Dusicyon_avus,?
Lycalopex_culpaeus,0
Lycalopex_fulvipes,?
Lycalopex_griseus,0
Lycalopex_gymnocercus,0
Lycalopex_sechurae,?
Lycalopex_vetulus,0
Lycaon_pictus,0
Nyctereutes_procyonoides,1
Otocyon_megalotis,0
Protocyon_troglodytes,?
Speothos_venaticus,1
Theriodictis_tarijensis,?
Urocyon_cinereoargenteus,0
Urocyon_littoralis,0
Vulpes_bengalensis,0
Vulpes_cana,0
Vulpes_chama,0
Vulpes_corsac,0
Vulpes_ferrilata,?
Vulpes_lagopus,0
Vulpes_macrotis,0
Vulpes_pallida,0
Vulpes_rueppellii,0
Vulpes_velox,0
Vulpes_vulpes,1
Vulpes_zerda,0
