Taxon,SSB
Acinonyx_jubatus,1
Caracal_aurata,0
Caracal_caracal,0
Catopuma_badia,?
Catopuma_temminckii,0
Felis_bieti,?
Felis_chaus,0
Felis_margarita,0
Felis_nigripes,0
Felis_silvestris,1
Herpailurus_yagouaroundi,0
Homotherium_latidens,?
Homotherium_serum,?
Leopardus_amnicola,?
Leopardus_colocolo,0
Leopardus_geoffroyi,0
Leopardus_guigna,?
Leopardus_guttulus,?
Leopardus_jacobita,?
Leopardus_pardalis,0
Leopardus_tigrinus,0
Leopardus_wiedii,0
Leptailurus_serval,0
Lynx_canadensis,0
Lynx_lynx,0
Lynx_pardinus,0
Lynx_rufus,0
Miracinonyx_trumani,?
Neofelis_diardi,?
Neofelis_nebulosa,0
Otocolobus_manul,0
Panthera_atrox,?
Panthera_leo,1
Panthera_onca,0
Panthera_pardus,0
Panthera_spelaea,?
Panthera_tigris,0
Panthera_uncia,0
Pardofelis_marmorata,0
Prionailurus_bengalensis,0
Prionailurus_planiceps,?
Prionailurus_rubiginosus,0
Prionailurus_viverrinus,0
Puma_concolor,1
Smilodon_fatalis,?
Smilodon_populator,?
Prionodon_linsang,?
Prionodon_pardicolor,0
Nandinia_binotata,0
Cryptoprocta_ferox,0
Cryptoprocta_spelea,?
Eupleres_goudotii,?
Eupleres_major,?
Fossa_fossana,0
Galidia_elegans,0
Galidictis_fasciata,?
Galidictis_grandidieri,?
Mungotictis_decemlineata,0
Salanoia_concolor,?
Atilax_paludinosus,0
Bdeogale_crassicauda,?
Bdeogale_jacksoni,?
Bdeogale_nigripes,0
Bdeogale_omnivora,?
Crossarchus_alexandri,0
Crossarchus_ansorgei,?
Crossarchus_obscurus,0
Crossarchus_platycephalus,0
Cynictis_penicillata,0
Dologale_dybowskii,?
Helogale_hirtula,?
Helogale_parvula,1
Herpestes_auropunctatus,?
Herpestes_brachyurus,?
Herpestes_edwardsii,0
Herpestes_flavescens,?
Herpestes_fuscus,?
Herpestes_ichneumon,0
Herpestes_javanicus,0
Herpestes_naso,0
Herpestes_ochraceus,?
Herpestes_pulverulentus,0
Herpestes_sanguineus,0
Herpestes_semitorquatus,?
Herpestes_smithii,0
Herpestes_urva,?
Herpestes_vitticollis,0
Ichneumia_albicauda,0
Liberiictis_kuhni,?
Mungos_gambianus,?
Mungos_mungo,0
Paracynictis_selousi,?
Rhynchogale_melleri,?
Suricata_suricatta,0
Crocuta_crocuta,1
Hyaena_hyaena,0
Parahyaena_brunnea,0
Proteles_cristata,0
Arctictis_binturong,0
Arctogalidia_trivirgata,?
Chrotogale_owstoni,?
Civettictis_civetta,0
Cynogale_bennettii,?
Diplogale_hosei,?
Genetta_abyssinica,?
Genetta_angolensis,?
Genetta_bourloni,?
Genetta_cristata,?
Genetta_genetta,0
Genetta_johnstoni,?
Genetta_maculata,?
Genetta_pardina,0
Genetta_piscivora,?
Genetta_poensis,0
Genetta_servalina,0
Genetta_thierryi,?
Genetta_tigrina,0
Genetta_victoriae,?
Hemigalus_derbyanus,?
Macrogalidia_musschenbroekii,?
Paguma_larvata,0
Paradoxurus_hermaphroditus,0
Paradoxurus_jerdoni,?
Paradoxurus_zeylonensis,?
Poiana_leightoni,?
Poiana_richardsonii,0
Viverra_civettina,0
Viverra_megaspila,?
Viverra_tangalunga,?
Viverra_zibetha,0
Viverricula_indica,0
Nandinia_binotata,0
