Taxon,SSB
Balantiopteryx_infusca,?
Balantiopteryx_io,?
Balantiopteryx_plicata,?
Centronycteris_centralis,?
Centronycteris_maximiliani,?
Coleura_afra,?
Coleura_seychellensis,?
Cormura_brevirostris,?
Cyttarops_alecto,?
Diclidurus_albus,?
Diclidurus_ingens,?
Diclidurus_isabella,?
Diclidurus_scutatus,?
Emballonura_alecto,?
Emballonura_beccarii,?
Emballonura_dianae,?
Emballonura_furax,?
Emballonura_monticola,?
Emballonura_raffrayana,?
Emballonura_semicaudata,?
Emballonura_serii,?
Mosia_nigrescens,?
Paremballonura_atrata,?
Paremballonura_tiavato,?
Peropteryx_kappleri,?
Peropteryx_leucoptera,?
Peropteryx_macrotis,?
Peropteryx_pallidoptera,?
Peropteryx_trinitatis,?
Rhynchonycteris_naso,?
Saccolaimus_flaviventris,?
Saccolaimus_mixtus,?
Saccolaimus_peli,?
Saccolaimus_saccolaimus,?
Saccopteryx_antioquensis,?
Saccopteryx_bilineata,?
Saccopteryx_canescens,?
Saccopteryx_gymnura,?
Saccopteryx_leptura,?
Taphozous_achates,?
Taphozous_australis,?
Taphozous_georgianus,?
Taphozous_hamiltoni,?
Taphozous_hildegardeae,?
Taphozous_hilli,?
Taphozous_kapalgensis,?
Taphozous_longimanus,?
Taphozous_mauritianus,?
Taphozous_melanopogon,?
Taphozous_nudiventris,0
Taphozous_perforatus,?
Taphozous_theobaldi,?
Taphozous_troughtoni,?
Myzopoda_aurita,?
Myzopoda_schliemanni,?
Nycteris_arge,?
Nycteris_aurita,?
Nycteris_gambiensis,?
Nycteris_grandis,?
Nycteris_hispida,?
Nycteris_intermedia,?
Nycteris_javanica,?
Nycteris_macrotis,?
Nycteris_madagascariensis,?
Nycteris_major,?
Nycteris_nana,?
Nycteris_parisii,?
Nycteris_thebaica,?
Nycteris_tragata,?
Nycteris_vinsoni,?
Nycteris_woodi,?
Amorphochilus_schnablii,?
Furipterus_horrens,?
Mormoops_blainvillei,?
Mormoops_magna,?
Mormoops_megalophylla,0
Pteronotus_davyi,?
Pteronotus_gymnonotus,?
Pteronotus_macleayii,?
Pteronotus_mesoamericanus,?
Pteronotus_paraguanensis,?
Pteronotus_parnellii,?
Pteronotus_personatus,?
Pteronotus_quadridens,0
Pteronotus_rubiginosus,?
Mystacina_robusta,?
Mystacina_tuberculata,0
Noctilio_albiventris,?
Noctilio_leporinus,?
Ametrida_centurio,?
Anoura_caudifer,?
Anoura_cultrata,?
Anoura_fistulata,?
Anoura_geoffroyi,?
Anoura_latidens,?
Anoura_luismanueli,?
Ardops_nichollsi,?
Ariteus_flavescens,?
Artibeus_amplus,?
Artibeus_anthonyi,?
Artibeus_concolor,?
Artibeus_fimbriatus,?
Artibeus_fraterculus,?
Artibeus_hirsutus,?
Artibeus_inopinatus,?
Artibeus_jamaicensis,?
Artibeus_lituratus,?
Artibeus_obscurus,?
Artibeus_planirostris,?
Artibeus_schwartzi,?
Brachyphylla_cavernarum,0
Brachyphylla_nana,?
Carollia_brevicauda,?
Carollia_castanea,?
Carollia_manu,?
Carollia_perspicillata,0
Carollia_sowelli,?
Carollia_subrufa,?
Centurio_senex,?
Chiroderma_doriae,?
Chiroderma_improvisum,?
Chiroderma_salvini,?
Chiroderma_trinitatum,?
Chiroderma_villosum,?
