Taxon,SSB
Atelerix_albiventris,0
Atelerix_algirus,?
Atelerix_frontalis,?
Atelerix_sclateri,?
Echinosorex_gymnura,?
Erinaceus_amurensis,?
Erinaceus_concolor,0
Erinaceus_europaeus,0
Erinaceus_roumanicus,0
Hemiechinus_auritus,1
Hemiechinus_collaris,?
Hylomys_megalotis,?
Hylomys_parvus,?
Hylomys_suillus,0
Mesechinus_dauuricus,0
Mesechinus_hughi,?
Neohylomys_hainanensis,?
Neotetracus_sinensis,?
Paraechinus_aethiopicus,0
Paraechinus_hypomelas,0
Paraechinus_micropus,0
Paraechinus_nudiventris,?
Podogymnura_aureospinula,?
Podogymnura_truei,?
Nesophontes_edithae,?
Nesophontes_hypomicrus,?
Nesophontes_major,?
Nesophontes_micrus,?
Nesophontes_paramicrus,?
Nesophontes_spA,?
Nesophontes_zamicrus,?
Solenodon_cubanus,?
Solenodon_marcanoi,?
Solenodon_paradoxus,?
Anourosorex_assamensis,?
Anourosorex_schmidi,?
Anourosorex_squamipes,0
Anourosorex_yamashinai,?
Blarina_brevicauda,0
Blarina_carolinensis,0
Blarina_hylophaga,?
Blarinella_griselda,?
Blarinella_quadraticauda,?
Blarinella_wardi,?
Chimarrogale_hantu,?
Chimarrogale_himalayica,?
Chimarrogale_phaeura,?
Chimarrogale_platycephalus,?
Chimarrogale_styani,?
Chimarrogale_sumatrana,?
Chodsigoa_caovansunga,?
Chodsigoa_hypsibia,?
Chodsigoa_lamula,?
Chodsigoa_parca,?
Chodsigoa_parva,?
Chodsigoa_salenskii,?
Chodsigoa_smithii,?
Chodsigoa_sodalis,?
Congosorex_phillipsorum,?
Congosorex_polli,?
Congosorex_verheyeni,?
Crocidura_aleksandrisi,?
Crocidura_allex,0
Crocidura_andamanensis,?
Crocidura_ansellorum,?
Crocidura_arabica,?
Crocidura_arispa,?
Crocidura_armenica,?
Crocidura_attenuata,?
Crocidura_attila,0
Crocidura_baileyi,?
Crocidura_baluensis,?
Crocidura_batesi,?
Crocidura_beatus,?
Crocidura_beccarii,?
Crocidura_bottegi,?
Crocidura_bottegoides,?
Crocidura_brunnea,?
Crocidura_buettikoferi,?
Crocidura_caliginea,?
Crocidura_canariensis,?
Crocidura_caspica,?
Crocidura_cinderella,?
Crocidura_congobelgica,?
Crocidura_crenata,?
Crocidura_crossei,0
Crocidura_cyanea,?
Crocidura_denti,?
Crocidura_desperata,?
Crocidura_dhofarensis,?
Crocidura_dolichura,0
Crocidura_douceti,?
Crocidura_dsinezumi,?
Crocidura_eisentrauti,?
Crocidura_elgonius,?
Crocidura_elongata,?
Crocidura_erica,?
Crocidura_fischeri,?
Crocidura_flavescens,0
Crocidura_floweri,?
Crocidura_foetida,?
Crocidura_foxi,?
Crocidura_fuliginosa,?
Crocidura_fulvastra,0
Crocidura_fumosa,0
Crocidura_fuscomurina,0
Crocidura_glassi,?
Crocidura_gmelini,?
Crocidura_goliath,?
Crocidura_gracilipes,?
