Taxon,SSB
Equus_africanus,0
Equus_ferus,1
Equus_francisci,?
Equus_grevyi,0
Equus_hemionus,0
Equus_hydruntinus,?
Equus_kiang,0
Equus_ovodovi,?
Equus_quagga,1
Equus_zebra,1
Hippidion_devillei,?
Hippidion_principale,?
Ceratotherium_simum,0
Coelodonta_antiquitatis,?
Dicerorhinus_sumatrensis,0
Diceros_bicornis,0
Elasmotherium_sibiricum,?
Rhinoceros_sondaicus,0
Rhinoceros_unicornis,1
Stephanorhinus_hemitoechus,?
Stephanorhinus_kirchbergensis,?
Tapirus_augustus,?
Tapirus_bairdii,0
Tapirus_indicus,0
Tapirus_merriami,?
Tapirus_pinchaque,0
Tapirus_rondoniensis,?
Tapirus_terrestris,0
Tapirus_veroensis,?
Mixotoxodon_larensis,?
Toxodon_platensis,?
Trigonodops_lopesi,?
Macrauchenia_patachonica,?
Xenorhinotherium_bahiense,?
Neolicaphrium_recens,?
