Taxon,SSB
Ctenodactylus_gundi,?
Ctenodactylus_vali,?
Felovia_vae,?
Massoutiera_mzabi,?
Pectinator_spekei,?
Laonastes_aenigmamus,?
Cavia_aperea,1
Cavia_fulgida,?
Cavia_intermedia,1
Cavia_magna,0
Cavia_patzelti,?
Cavia_tschudii,?
Dolichotis_patagonum,0
Dolichotis_salinicola,?
Galea_comes,?
Galea_flavidens,?
Galea_leucoblephara,0
Galea_musteloides,1
Galea_spixii,1
Hydrochoerus_hydrochaeris,0
Hydrochoerus_isthmius,?
Kerodon_acrobata,?
Kerodon_rupestris,1
Microcavia_australis,1
Microcavia_niata,?
Microcavia_shiptoni,?
Neochoerus_aesopi,?
Cuniculus_paca,0
Cuniculus_taczanowskii,?
Dasyprocta_azarae,0
Dasyprocta_coibae,?
Dasyprocta_croconota,?
Dasyprocta_fuliginosa,0
Dasyprocta_guamara,?
Dasyprocta_iacki,?
Dasyprocta_kalinowskii,?
Dasyprocta_leporina,0
Dasyprocta_mexicana,0
Dasyprocta_prymnolopha,?
Dasyprocta_punctata,0
Dasyprocta_ruatanica,?
Dasyprocta_variegata,?
Myoprocta_acouchy,0
Myoprocta_pratti,0
Chinchilla_chinchilla,?
Chinchilla_lanigera,0
Lagidium_ahuacaense,?
Lagidium_viscacia,0
Lagidium_wolffsohni,?
Lagostomus_crassus,?
Lagostomus_maximus,0
Dinomys_branickii,?
Chaetomys_subspinosus,?
Coendou_baturitensis,?
Coendou_bicolor,0
Coendou_ichillus,?
Coendou_insidiosus,0
Coendou_melanurus,?
Coendou_mexicanus,?
Coendou_nycthemera,0
Coendou_prehensilis,0
Coendou_pruinosus,?
Coendou_quichua,?
Coendou_roosmalenorum,?
Coendou_rufescens,0
Coendou_spinosus,?
Coendou_vestitus,?
Erethizon_dorsatum,1
Bathyergus_janetta,?
Bathyergus_suillus,0
Cryptomys_hottentotus,1
Fukomys_anselli,?
Fukomys_bocagei,?
Fukomys_damarensis,0
Fukomys_darlingi,?
Fukomys_foxi,?
Fukomys_kafuensis,?
Fukomys_mechowi,?
Fukomys_ochraceocinereus,?
Fukomys_zechi,?
Georychus_capensis,0
Heliophobius_argenteocinereus,0
Heterocephalus_glaber,1
Atherurus_africanus,0
Atherurus_macrourus,?
Hystrix_africaeaustralis,0
Hystrix_brachyura,0
Hystrix_crassispinis,?
Hystrix_cristata,0
Hystrix_indica,0
Hystrix_javanica,?
Hystrix_kiangsenensis,?
Hystrix_pumila,0
Hystrix_refossa,?
Hystrix_sumatrae,?
Trichys_fasciculata,?
Petromus_typicus,0
Thryonomys_gregorianus,0
Thryonomys_swinderianus,0
Abrocoma_bennettii,0
Abrocoma_boliviensis,?
Abrocoma_budini,?
Abrocoma_cinerea,?
Abrocoma_famatina,?
Abrocoma_shistacea,?
Abrocoma_uspallata,?
Abrocoma_vaccarum,?
Cuscomys_ashaninka,?
Cuscomys_oblativa,?
Ctenomys_argentinus,?
Ctenomys_australis,?
Ctenomys_azarae,0
Ctenomys_bergi,?
Ctenomys_boliviensis,?
Ctenomys_bonettoi,?
Ctenomys_brasiliensis,?
Ctenomys_budini,?
Ctenomys_colburni,?
Ctenomys_coludo,?
Ctenomys_conoveri,?
Ctenomys_coyhaiquensis,?
Ctenomys_dorbignyi,?
Ctenomys_dorsalis,?
Ctenomys_emilianus,?
Ctenomys_famosus,?
Ctenomys_flamarioni,?
Ctenomys_fochi,?
Ctenomys_fodax,?
Ctenomys_frater,?
Ctenomys_fulvus,?
Ctenomys_goodfellowi,?
Ctenomys_haigi,0
Ctenomys_johannis,?
Ctenomys_juris,?
Ctenomys_knighti,?
Ctenomys_lami,?
Ctenomys_latro,?
Ctenomys_leucodon,?
Ctenomys_lewisi,?
Ctenomys_magellanicus,?
Ctenomys_maulinus,?
Ctenomys_mendocinus,0
Ctenomys_minutus,?
Ctenomys_occultus,?
Ctenomys_opimus,0
Ctenomys_osvaldoreigi,?
Ctenomys_pearsoni,?
Ctenomys_perrensi,?
Ctenomys_peruanus,0
Ctenomys_pilarensis,?
Ctenomys_pontifex,?
Ctenomys_porteousi,?
Ctenomys_pundti,?
Ctenomys_rionegrensis,?
Ctenomys_roigi,?
Ctenomys_saltarius,?
Ctenomys_scagliai,?
Ctenomys_sericeus,?
Ctenomys_sociabilis,0
Ctenomys_steinbachi,?
Ctenomys_sylvanus,?
Ctenomys_talarum,0
Ctenomys_torquatus,?
Ctenomys_tuconax,?
Ctenomys_tucumanus,?
Ctenomys_tulduco,?
Ctenomys_validus,?
Ctenomys_viperinus,?
Ctenomys_yolandae,?
Amblyrhiza_inundata,?
Boromys_offella,?
Boromys_torrei,?
Brotomys_voratus,?
Callistomys_pictus,?
Capromys_garridoi,?
Capromys_pilorides,?
Carterodon_sulcidens,?
Clyomys_laticeps,0
Dactylomys_boliviensis,?
Dactylomys_dactylinus,?
Dactylomys_peruanus,?
Diplomys_caniceps,?
Diplomys_labilis,?
Echimys_chrysurus,0
Echimys_saturnus,?
Echimys_vieirai,?
Euryzygomatomys_spinosus,?
Geocapromys_brownii,?
Geocapromys_columbianus,?
Geocapromys_ingrahami,0
Geocapromys_spA,?
Geocapromys_thoracatus,?
Heteropsomys_insulans,?
Hexolobodon_phenax,?
HexolobodontinaeGen_spA,?
Hoplomys_gymnurus,?
Isolobodon_montanus,?
Isolobodon_portoricensis,?
Isothrix_barbarabrownae,?
Isothrix_bistriata,?
Isothrix_negrensis,?
Isothrix_orinoci,?
Isothrix_pagurus,?
Isothrix_sinnamariensis,?
Kannabateomys_amblyonyx,?
Lonchothrix_emiliae,?
Makalata_didelphoides,0
Makalata_macrura,?
Makalata_obscura,?
Mesocapromys_angelcabrerai,?
Mesocapromys_auritus,?
Mesocapromys_nanus,?
Mesocapromys_sanfelipensis,?
Mesomys_hispidus,?
Mesomys_leniceps,?
Mesomys_occultus,?
Mesomys_stimulax,?
Myocastor_coypus,0
Mysateles_melanurus,?
Mysateles_prehensilis,?
Olallamys_albicauda,?
Olallamys_edax,?
Pattonomys_carrikeri,?
Pattonomys_flavidus,?
Pattonomys_occasius,?
Pattonomys_punctatus,?
Pattonomys_semivillosus,0
