Taxon,SSB
Aplodontia_rufa,0
Chaetocauda_sichuanensis,?
Dryomys_laniger,?
Dryomys_niethammeri,?
Dryomys_nitedula,0
Eliomys_melanurus,0
Eliomys_morpheus,?
Eliomys_munbyanus,?
Eliomys_quercinus,0
Glirulus_japonicus,?
Glis_glis,0
Graphiurus_angolensis,?
Graphiurus_christyi,?
Graphiurus_crassicaudatus,?
Graphiurus_johnstoni,?
Graphiurus_kelleni,?
Graphiurus_lorraineus,?
Graphiurus_microtis,?
Graphiurus_monardi,?
Graphiurus_murinus,0
Graphiurus_nagtglasii,?
Graphiurus_ocularis,?
Graphiurus_platyops,?
Graphiurus_rupicola,?
Graphiurus_surdus,?
Muscardinus_avellanarius,0
Myomimus_personatus,?
Myomimus_roachi,?
Myomimus_setzeri,0
Selevinia_betpakdalaensis,?
Aeretes_melanopterus,?
Aeromys_tephromelas,?
Aeromys_thomasi,?
Ammospermophilus_harrisii,0
Ammospermophilus_interpres,0
Ammospermophilus_leucurus,0
Ammospermophilus_nelsoni,?
Atlantoxerus_getulus,?
Belomys_pearsonii,?
Biswamoyopterus_biswasi,?
Callosciurus_adamsi,?
Callosciurus_albescens,?
Callosciurus_baluensis,?
Callosciurus_caniceps,0
Callosciurus_erythraeus,0
Callosciurus_finlaysonii,?
Callosciurus_inornatus,?
Callosciurus_melanogaster,?
Callosciurus_nigrovittatus,0
Callosciurus_notatus,0
Callosciurus_orestes,?
Callosciurus_phayrei,?
Callosciurus_prevostii,?
Callosciurus_pygerythrus,?
Callosciurus_quinquestriatus,?
Callospermophilus_lateralis,0
Callospermophilus_madrensis,?
Callospermophilus_saturatus,?
Cynomys_gunnisoni,0
Cynomys_leucurus,0
Cynomys_ludovicianus,0
Cynomys_mexicanus,0
Cynomys_parvidens,0
Dremomys_everetti,?
Dremomys_gularis,?
Dremomys_lokriah,?
Dremomys_pernyi,?
Dremomys_pyrrhomerus,?
Dremomys_rufigenis,?
Eoglaucomys_fimbriatus,0
Epixerus_ebii,0
Eupetaurus_cinereus,0
Eutamias_sibiricus,0
Exilisciurus_concinnus,?
Exilisciurus_exilis,?
Exilisciurus_whiteheadi,?
Funambulus_layardi,?
Funambulus_palmarum,0
Funambulus_pennantii,0
Funambulus_sublineatus,?
Funambulus_tristriatus,0
Funisciurus_anerythrus,0
Funisciurus_bayonii,?
Funisciurus_carruthersi,?
Funisciurus_congicus,0
Funisciurus_duchaillui,?
Funisciurus_isabella,0
Funisciurus_lemniscatus,0
Funisciurus_leucogenys,?
Funisciurus_pyrropus,?
Funisciurus_substriatus,?
Glaucomys_sabrinus,0
Glaucomys_volans,0
Glyphotes_simus,?
Heliosciurus_gambianus,?
Heliosciurus_mutabilis,?
Heliosciurus_punctatus,?
Heliosciurus_rufobrachium,0
Heliosciurus_ruwenzorii,?
Heliosciurus_undulatus,?
Hylopetes_alboniger,?
Hylopetes_bartelsi,?
Hylopetes_lepidus,?
Hylopetes_nigripes,0
Hylopetes_phayrei,?
Hylopetes_platyurus,?
Hylopetes_sipora,?
Hylopetes_spadiceus,?
Hylopetes_winstoni,?
Hyosciurus_heinrichi,?
Hyosciurus_ileile,?
Ictidomys_mexicanus,?
Ictidomys_tridecemlineatus,0
Iomys_horsfieldii,?
Iomys_sipora,?
Lariscus_hosei,?
Lariscus_insignis,?
Lariscus_niobe,?
Lariscus_obscurus,?
Marmota_baibacina,?
Marmota_bobak,0
Marmota_broweri,?
Marmota_caligata,1
Marmota_camtschatica,?
Marmota_caudata,0
Marmota_flaviventris,1
Marmota_himalayana,0
Marmota_marmota,0
Marmota_menzbieri,?
Marmota_monax,0
Marmota_olympus,1
Marmota_sibirica,0
Marmota_vancouverensis,0
Menetes_berdmorei,0
Microsciurus_alfari,?
Microsciurus_flaviventer,?
Microsciurus_mimulus,?
Microsciurus_santanderensis,?
Myosciurus_pumilio,0
Nannosciurus_melanotis,?
Neotamias_alpinus,?
Neotamias_amoenus,0
Neotamias_bulleri,?
Neotamias_canipes,?
Neotamias_cinereicollis,0
Neotamias_dorsalis,?
Neotamias_durangae,?
Neotamias_merriami,?
Neotamias_minimus,1
Neotamias_obscurus,?
Neotamias_ochrogenys,?
Neotamias_palmeri,?
Neotamias_panamintinus,?
Neotamias_quadrimaculatus,0
Neotamias_quadrivittatus,?
Neotamias_ruficaudus,?
Neotamias_rufus,?
Neotamias_senex,0
Neotamias_siskiyou,?
Neotamias_sonomae,?
Neotamias_speciosus,0
Neotamias_townsendii,0
Neotamias_umbrinus,0
Notocitellus_adocetus,?
Notocitellus_annulatus,?
Otospermophilus_beecheyi,0
Otospermophilus_variegatus,0
Paraxerus_alexandri,?
Paraxerus_boehmi,?
Paraxerus_cepapi,1
Paraxerus_cooperi,?
Paraxerus_flavovittis,?
Paraxerus_lucifer,?
Paraxerus_ochraceus,0
Paraxerus_palliatus,0
Paraxerus_poensis,0
Paraxerus_vexillarius,?
Paraxerus_vincenti,?
Petaurillus_emiliae,?
Petaurillus_hosei,0
Petaurillus_kinlochii,?
Petaurista_alborufus,0
Petaurista_elegans,?
Petaurista_leucogenys,?
Petaurista_magnificus,?
Petaurista_mechukaensis,?
Petaurista_mishmiensis,?
Petaurista_nobilis,?
Petaurista_petaurista,0
Petaurista_philippensis,0
Petaurista_xanthotis,?
Petinomys_crinitus,?
Petinomys_fuscocapillus,?
Petinomys_genibarbis,?
Petinomys_hageni,?
Petinomys_lugens,?
Petinomys_mindanensis,?
Petinomys_sagitta,?
Petinomys_setosus,?
Petinomys_vordermanni,?
Poliocitellus_franklinii,0
Prosciurillus_abstrusus,?
Prosciurillus_leucomus,?
