Taxon,SSB
Allactaga_balikunica,?
Allactaga_bullata,0
Allactaga_elater,0
Allactaga_euphratica,0
Allactaga_firouzi,?
Allactaga_hotsoni,?
Allactaga_major,?
Allactaga_severtzovi,?
Allactaga_sibirica,0
Allactaga_tetradactyla,?
Allactaga_vinogradovi,?
Allactaga_williamsi,0
Allactodipus_bobrinskii,?
Cardiocranius_paradoxus,0
Dipus_sagitta,0
Eozapus_setchuanus,?
Eremodipus_lichtensteini,?
Euchoreutes_naso,0
Jaculus_blanfordi,?
Jaculus_jaculus,0
Jaculus_orientalis,?
Jaculus_thaleri,?
Napaeozapus_insignis,0
Paradipus_ctenodactylus,?
Pygeretmus_platyurus,?
Pygeretmus_pumilio,0
Pygeretmus_zhitkovi,?
Salpingotulus_michaelis,?
Salpingotus_crassicauda,?
Salpingotus_heptneri,?
Salpingotus_kozlovi,0
Salpingotus_pallidus,?
Sicista_armenica,?
Sicista_betulina,?
Sicista_caucasica,?
Sicista_caudata,?
Sicista_concolor,?
Sicista_kazbegica,?
Sicista_kluchorica,?
Sicista_napaea,?
Sicista_pseudonapaea,?
Sicista_severtzovi,?
Sicista_strandi,?
Sicista_subtilis,?
Sicista_tianshanica,?
Stylodipus_andrewsi,?
Stylodipus_sungorus,?
Stylodipus_telum,?
Zapus_hudsonius,0
Zapus_princeps,0
Zapus_trinotatus,0
Calomys_boliviae,?
Calomys_callidus,?
Calomys_callosus,0
Calomys_expulsus,0
Calomys_fecundus,?
Calomys_hummelincki,?
Calomys_laucha,0
Calomys_lepidus,?
Calomys_musculinus,0
Calomys_sorellus,?
Calomys_tener,0
Calomys_tocantinsi,0
Calomys_venustus,?
Calomyscus_bailwardi,0
Calomyscus_baluchi,?
Calomyscus_elburzensis,?
Calomyscus_grandis,?
Calomyscus_hotsoni,?
Calomyscus_mystax,?
Calomyscus_tsolovi,?
Calomyscus_urartensis,?
Abrawayaomys_ruschii,?
Abrothrix_andinus,?
Abrothrix_illutea,?
Abrothrix_jelskii,?
Abrothrix_lanosus,?
Abrothrix_longipilis,0
Abrothrix_olivaceus,0
Abrothrix_sanborni,?
Aegialomys_galapagoensis,0
Aegialomys_xanthaeolus,?
Aepeomys_lugens,?
Aepeomys_reigi,?
Akodon_aerosus,?
Akodon_affinis,?
Akodon_albiventer,?
Akodon_aliquantulus,0
Akodon_azarae,0
Akodon_boliviensis,?
Akodon_budini,?
Akodon_cursor,0
Akodon_dayi,?
Akodon_dolores,0
Akodon_fumeus,?
Akodon_iniscatus,0
Akodon_juninensis,?
Akodon_kofordi,?
Akodon_leucolimnaeus,?
Akodon_lindberghi,?
Akodon_lutescens,?
Akodon_mimus,?
Akodon_molinae,0
Akodon_mollis,?
Akodon_montensis,?
Akodon_mystax,?
Akodon_neocenus,?
Akodon_oenos,?
Akodon_orophilus,?
Akodon_paranaensis,?
Akodon_pervalens,?
Akodon_philipmyersi,?
Akodon_reigi,?
Akodon_sanctipaulensis,?
Akodon_serrensis,?
Akodon_siberiae,?
Akodon_simulator,0
Akodon_spegazzinii,0
Akodon_subfuscus,?
Akodon_surdus,?
Akodon_sylvanus,?
Akodon_toba,?
Akodon_torques,?
Akodon_varius,?
Allocricetulus_curtatus,?
Allocricetulus_eversmanni,?
Alticola_albicaudus,?
Alticola_argentatus,?
Alticola_barakshin,?
Alticola_lemminus,?
Alticola_macrotis,?
Alticola_montosa,?
Alticola_olchonensis,?
Alticola_roylei,0
Alticola_semicanus,?
Alticola_stoliczkanus,?
Alticola_strelzowi,?
Alticola_tuvinicus,?
Amphinectomys_savamis,?
Andalgalomys_olrogi,?
Andalgalomys_pearsoni,?
Andinomys_edax,?
Anotomys_leander,?
Antillomys_rayi,?
Arborimus_albipes,?
Arborimus_longicaudus,0
Arborimus_pomo,?
Arvicola_amphibius,0
Arvicola_sapidus,?
Arvicola_scherman,0
Auliscomys_boliviensis,?
Auliscomys_pictus,0
Auliscomys_sublimis,?
Baiomys_musculus,0
Baiomys_taylori,0
Bibimys_chacoensis,?
Bibimys_labiosus,?
Bibimys_torresi,?
Blanfordimys_afghanus,?
Blanfordimys_bucharensis,?
Blarinomys_breviceps,?
Brucepattersonius_albinasus,?
Brucepattersonius_griserufescens,?
Brucepattersonius_guarani,?
Brucepattersonius_igniventris,?
Brucepattersonius_iheringi,?
Brucepattersonius_misionensis,?
Brucepattersonius_paradisus,?
Brucepattersonius_soricinus,?
Cansumys_canus,?
Caryomys_eva,?
Caryomys_inez,?
Cerradomys_andersoni,?
Cerradomys_maracajuensis,?
Cerradomys_marinhus,?
Cerradomys_scotti,?
Cerradomys_subflavus,0
Chelemys_delfini,?
Chelemys_macronyx,0
Chelemys_megalonyx,0
Chibchanomys_orcesi,?
Chibchanomys_trichotis,?
Chilomys_instans,?
Chinchillula_sahamae,?
Chionomys_gud,?
Chionomys_nivalis,0
Chionomys_roberti,?
Cricetulus_alticola,?
Cricetulus_barabensis,0
Cricetulus_kamensis,?
Cricetulus_lama,?
Cricetulus_longicaudatus,?
Cricetulus_migratorius,0
Cricetulus_sokolovi,?
Cricetulus_tibetanus,?
Cricetus_cricetus,0
Delomys_collinus,?
Delomys_dorsalis,?
Delomys_sublineatus,?
Deltamys_kempi,?
Dicrostonyx_groenlandicus,1
Dicrostonyx_hudsonius,?
Dicrostonyx_nelsoni,?
Dicrostonyx_nunatakensis,?
Dicrostonyx_richardsoni,?
Dicrostonyx_torquatus,?
Dicrostonyx_unalascensis,?
Dicrostonyx_vinogradovi,?
Dinaromys_bogdanovi,?
Eligmodontia_moreni,?
Eligmodontia_morgani,0
Eligmodontia_puerulus,0
Eligmodontia_typus,0
Ellobius_alaicus,?
Ellobius_fuscocapillus,0
Ellobius_lutescens,0
Ellobius_talpinus,0
Ellobius_tancrei,0
Eolagurus_luteus,?
Eolagurus_przewalskii,?
Eothenomys_cachinus,?
Eothenomys_chinensis,?
Eothenomys_custos,?
Eothenomys_melanogaster,?
Eothenomys_miletus,?
Eothenomys_olitor,?
Eothenomys_proditor,?
Eothenomys_wardi,?
Eremoryzomys_polius,?
Euneomys_chinchilloides,0
Euneomys_fossor,?
Euneomys_mordax,?
Euneomys_petersoni,?
Euryoryzomys_emmonsae,?
Euryoryzomys_lamia,?
Euryoryzomys_legatus,?
Euryoryzomys_macconnelli,0
Euryoryzomys_nitidus,?
Euryoryzomys_russatus,?
Galenomys_garleppi,?
Geoxus_valdivianus,0
Graomys_centralis,0
Graomys_domorum,?
Graomys_edithae,?
Graomys_griseoflavus,0
Habromys_chinanteco,?
Habromys_delicatulus,?
Habromys_ixtlani,?
Habromys_lepturus,?
Habromys_lophurus,?
Habromys_schmidlyi,?
Habromys_simulatus,?
Handleyomys_alfaroi,?
Handleyomys_chapmani,?
Handleyomys_fuscatus,?
Handleyomys_intectus,?
Handleyomys_melanotis,0
Handleyomys_rhabdops,?
Handleyomys_rostratus,?
Handleyomys_saturatior,?
Hodomys_alleni,?
Holochilus_brasiliensis,0
Holochilus_chacarius,0
Holochilus_sciureus,0
Hylaeamys_acritus,?
Hylaeamys_laticeps,?
Hylaeamys_megacephalus,0
Hylaeamys_oniscus,?
Hylaeamys_perenensis,?
Hylaeamys_tatei,?
Hylaeamys_yunganus,?
Hyperacrius_fertilis,?
Hyperacrius_wynnei,?
Ichthyomys_hydrobates,?
Ichthyomys_pittieri,?
Ichthyomys_stolzmanni,?
Ichthyomys_tweedii,?
Irenomys_tarsalis,0
Isthmomys_flavidus,?
Isthmomys_pirrensis,?
Juliomys_pictipes,?
Juliomys_rimofrons,?
Juscelinomys_candango,?
Juscelinomys_guaporensis,?
Juscelinomys_huanchacae,?
Kunsia_fronto,?
Kunsia_tomentosus,?
Lagurus_lagurus,0
Lasiopodomys_brandtii,0
Lasiopodomys_fuscus,?
Lasiopodomys_mandarinus,0
Lemmiscus_curtatus,0
Lemmus_amurensis,?
Lemmus_lemmus,0
Lemmus_portenkoi,?
Lemmus_sibiricus,?
Lemmus_trimucronatus,0
Lenoxus_apicalis,?
Lophiomys_imhausi,0
Loxodontomys_micropus,0
Loxodontomys_pikumche,?
Lundomys_molitor,?
Megadontomys_cryophilus,?
Megadontomys_nelsoni,?
Megadontomys_thomasi,?
Megalomys_audreyae,?
Megalomys_desmarestii,?
Megalomys_georginae,?
Megalomys_luciae,?
Megaoryzomys_curioi,?
Megaoryzomys_spA,?
Melanomys_caliginosus,?
Melanomys_robustulus,?
Melanomys_zunigae,?
Mesocricetus_auratus,1
Mesocricetus_brandti,?
Mesocricetus_newtoni,?
Mesocricetus_raddei,?
Mesocricetus_rathgeberi,?
Microakodontomys_transitorius,?
Microryzomys_altissimus,?
Microryzomys_minutus,?
Microtus_abbreviatus,?
Microtus_agrestis,0
Microtus_anatolicus,?
Microtus_arvalis,0
Microtus_bavaricus,?
Microtus_brachycercus,?
Microtus_breweri,?
Microtus_cabrerae,0
Microtus_californicus,0
Microtus_canicaudus,0
Microtus_chrotorrhinus,?
Microtus_clarkei,?
Microtus_daghestanicus,?
Microtus_dogramacii,?
Microtus_duodecimcostatus,0
Microtus_evoronensis,?
Microtus_felteni,?
Microtus_fortis,0
Microtus_gerbei,?
Microtus_gregalis,0
Microtus_guatemalensis,?
Microtus_guentheri,0
Microtus_henseli,?
Microtus_hyperboreus,?
Microtus_ilaeus,?
Microtus_irani,0
Microtus_kermanensis,?
Microtus_kikuchii,?
Microtus_levis,0
Microtus_liechtensteini,?
Microtus_limnophilus,?
Microtus_longicaudus,0
Microtus_lusitanicus,0
Microtus_majori,?
Microtus_maximowiczii,?
Microtus_mexicanus,0
Microtus_middendorffii,?
Microtus_miurus,?
Microtus_mongolicus,0
Microtus_montanus,0
Microtus_montebelli,?
Microtus_mujanensis,?
Microtus_multiplex,?
Microtus_nasarovi,?
Microtus_oaxacensis,?
Microtus_ochrogaster,0
Microtus_oeconomus,0
Microtus_oregoni,0
Microtus_paradoxus,?
Microtus_pennsylvanicus,0
Microtus_pinetorum,0
Microtus_qazvinensis,?
Microtus_quasiater,?
Microtus_richardsoni,0
Microtus_sachalinensis,?
Microtus_savii,?
Microtus_schelkovnikovi,?
Microtus_schidlovskii,?
Microtus_socialis,0
Microtus_subterraneus,0
Microtus_tatricus,?
Microtus_thomasi,0
Microtus_townsendii,0
Microtus_transcaspicus,?
Microtus_umbrosus,?
Microtus_xanthognathus,0
Mindomys_hammondi,?
Myodes_andersoni,?
Myodes_californicus,0
Myodes_centralis,?
Myodes_gapperi,0
Myodes_glareolus,0
Myodes_regulus,?
Myodes_rex,?
Myodes_rufocanus,0
Myodes_rutilus,0
Myodes_shanseius,?
Myodes_smithii,0
Myopus_schisticolor,?
Neacomys_dubosti,?
Neacomys_guianae,0
Neacomys_minutus,?
Neacomys_musseri,?
Neacomys_paracou,?
Neacomys_pictus,?
Neacomys_spinosus,?
Neacomys_tenuipes,0
Necromys_amoenus,0
Necromys_benefactus,?
Necromys_lactens,?
Necromys_lasiurus,0
Necromys_lenguarum,?
Necromys_obscurus,?
Necromys_punctulatus,?
Necromys_temchuki,?
Necromys_urichi,0
Nectomys_apicalis,?
Nectomys_magdalenae,?
Nectomys_palmipes,?
Nectomys_rattus,0
Nectomys_squamipes,0
Nelsonia_goldmani,?
Nelsonia_neotomodon,?
Neodon_forresti,?
Neodon_irene,?
Neodon_juldaschi,?
Neodon_linzhiensis,?
Neodon_sikimensis,?
Neofiber_alleni,0
Neomicroxus_bogotensis,?
Neomicroxus_latebricola,?
Neotoma_albigula,0
Neotoma_angustapalata,?
Neotoma_anthonyi,?
Neotoma_bryanti,0
Neotoma_bunkeri,?
Neotoma_chrysomelas,?
Neotoma_cinerea,0
Neotoma_devia,?
Neotoma_floridana,0
Neotoma_fuscipes,0
Neotoma_goldmani,?
Neotoma_lepida,0
Neotoma_leucodon,?
Neotoma_macrotis,?
Neotoma_magister,0
Neotoma_martinensis,?
Neotoma_mexicana,0
Neotoma_micropus,0
Neotoma_nelsoni,?
Neotoma_palatina,?
Neotoma_phenax,?
Neotoma_stephensi,?
Neotomodon_alstoni,0
Neotomys_ebriosus,?
Nephelomys_albigularis,?
Nephelomys_auriventer,?
Nephelomys_caracolus,?
Nephelomys_devius,?
Nephelomys_keaysi,?
Nephelomys_levipes,?
