Taxon,SSB
Anomalurus_beecrofti,?
Anomalurus_derbianus,0
Anomalurus_pelii,?
Anomalurus_pusillus,0
Idiurus_macrotis,0
Idiurus_zenkeri,?
Zenkerella_insignis,?
Pedetes_capensis,0
Pedetes_surdaster,?
Castor_canadensis,0
Castor_fiber,0
Castoroides_ohioensis,?
Cratogeomys_castanops,0
Cratogeomys_fulvescens,?
Cratogeomys_fumosus,?
Cratogeomys_goldmani,?
Cratogeomys_merriami,0
Cratogeomys_perotensis,?
Cratogeomys_planiceps,?
Geomys_arenarius,?
Geomys_attwateri,0
Geomys_breviceps,0
Geomys_bursarius,0
Geomys_knoxjonesi,?
Geomys_personatus,?
Geomys_pinetis,?
Geomys_texensis,?
Geomys_tropicalis,?
Heterogeomys_cherriei,?
Heterogeomys_dariensis,?
Orthogeomys_cavator,?
Orthogeomys_cuniculus,?
Orthogeomys_grandis,?
Orthogeomys_heterodus,?
Orthogeomys_hispidus,0
Orthogeomys_lanius,?
Orthogeomys_underwoodi,?
Pappogeomys_bulleri,0
Thomomys_bottae,0
Thomomys_bulbivorus,?
Thomomys_clusius,?
Thomomys_idahoensis,?
Thomomys_mazama,0
Thomomys_monticola,0
Thomomys_talpoides,0
Thomomys_townsendii,0
Thomomys_umbrinus,?
Zygogeomys_trichopus,?
Chaetodipus_arenarius,?
Chaetodipus_artus,?
Chaetodipus_baileyi,0
Chaetodipus_californicus,0
Chaetodipus_eremicus,?
Chaetodipus_fallax,0
Chaetodipus_formosus,0
Chaetodipus_goldmani,?
Chaetodipus_hispidus,0
Chaetodipus_intermedius,0
Chaetodipus_lineatus,?
Chaetodipus_nelsoni,0
Chaetodipus_penicillatus,0
Chaetodipus_pernix,?
Chaetodipus_rudinoris,?
Chaetodipus_spinatus,?
Dipodomys_agilis,0
Dipodomys_californicus,?
Dipodomys_compactus,?
Dipodomys_deserti,0
Dipodomys_elator,0
Dipodomys_gravipes,?
Dipodomys_heermanni,0
Dipodomys_ingens,0
Dipodomys_merriami,0
Dipodomys_microps,0
Dipodomys_nelsoni,0
Dipodomys_nitratoides,?
Dipodomys_ordii,1
Dipodomys_panamintinus,?
Dipodomys_phillipsii,?
Dipodomys_simulans,?
Dipodomys_spectabilis,0
Dipodomys_stephensi,0
Dipodomys_venustus,?
Heteromys_adspersus,0
Heteromys_anomalus,0
Heteromys_australis,?
Heteromys_desmarestianus,0
Heteromys_gaumeri,?
Heteromys_irroratus,0
Heteromys_nelsoni,?
Heteromys_oasicus,?
Heteromys_oresterus,?
Heteromys_pictus,0
Heteromys_salvini,0
Heteromys_spectabilis,?
Heteromys_teleus,?
Microdipodops_megacephalus,?
Microdipodops_pallidus,?
Perognathus_alticola,?
Perognathus_amplus,?
Perognathus_fasciatus,0
Perognathus_flavescens,0
Perognathus_flavus,0
Perognathus_inornatus,0
Perognathus_longimembris,0
Perognathus_merriami,0
Perognathus_parvus,0
