Taxon,SSB
Cabassous_centralis,?
Cabassous_chacoensis,?
Cabassous_tatouay,?
Cabassous_unicinctus,0
Calyptophractus_retusus,?
Chaetophractus_vellerosus,0
Chaetophractus_villosus,0
Chlamyphorus_truncatus,?
Dasypus_bellus,?
Dasypus_hybridus,?
Dasypus_kappleri,?
Dasypus_novemcinctus,0
Dasypus_pilosus,?
Dasypus_sabanicola,0
Dasypus_septemcinctus,?
Dasypus_yepesi,?
Doedicurus_clavicaudatus,?
Euphractus_sexcinctus,0
Eutatus_seguini,?
Glyptodon_clavipes,?
Glyptodon_reticulatus,?
Glyptotherium_cylindricum,?
Glyptotherium_floridanum,?
Holmesina_occidentalis,?
Holmesina_paulacoutoi,?
Holmesina_septentrionalis,?
Hoplophorus_euphractus,?
Neosclerocalyptus_paskoenis,?
Neuryurus_trabeculatus,?
Pachyarmatherium_brasiliense,?
Pampatherium_humboldti,?
Pampatherium_typum,?
Panochthus_tuberculatus,?
Priodontes_maximus,0
Propraopus_punctatus,?
Propraopus_sulcatus,?
Tolypeutes_matacus,0
Tolypeutes_tricinctus,?
Zaedyus_pichiy,0
Acratocnus_odontrigonus,?
Acratocnus_ye,?
Bradypus_pygmaeus,?
Bradypus_torquatus,?
Bradypus_tridactylus,0
Bradypus_variegatus,0
Catonyx_cuvieri,?
Choloepus_didactylus,0
Choloepus_hoffmanni,0
Cyclopes_didactylus,0
Diabolotherium_nordenskioldi,?
Eremotherium_laurillardi,?
Glossotherium_robustum,?
Lestodon_armatus,?
Megalocnus_rodens,?
Megalocnus_zile,?
Megalonyx_jeffersonii,?
Megatherium_americanum,?
Megatherium_tarijense,?
Mylodon_darwinii,?
Myrmecophaga_tridactyla,0
Neocnus_comes,?
Neocnus_dousman,?
Neocnus_toupiti,?
Nothrotheriops_shastensis,?
Nothrotherium_maquinense,?
Paramylodon_harlani,?
Parocnus_browni,?
Parocnus_serus,?
Scelidodon_chiliensis,?
Scelidotherium_leptocephalum,?
Tamandua_mexicana,0
Tamandua_tetradactyla,0
Valgipes_bucklandi,?
