i	lambda0	lambda1	mu0	mu1	q01	q10	p
20	0.0937711668881713	0.140683067871647	0.160151315644278	0.0164852233967355	0.032195019102741	0.162748609822579	-1588.68479839665
21	0.0813509743619474	0.159932085291872	0.155926397781994	0.0418163913120839	0.0382953813633279	0.147835460017361	-1590.12937452857
22	0.0918901281435969	0.151710790414195	0.130507543055241	0.0417058175237312	0.0326817345366189	0.139015028315823	-1589.45503722212
23	0.0837446108287771	0.146495438613323	0.123617272207357	0.0391399987681292	0.0286619564606428	0.135021187476236	-1588.72005406946
24	0.0995012897626575	0.152358509403979	0.126666804567631	0.0673614775354571	0.0276045683011388	0.130551866973625	-1593.77578240831
25	0.0811694903227098	0.187136924177451	0.143773644908052	0.0803644781845665	0.0275678104496508	0.122108142181078	-1592.79358145599
26	0.0877920803816384	0.172178587003304	0.117929342117931	0.0793305598272417	0.033783554258424	0.128230925124368	-1590.73229980562
27	0.0618339464197512	0.179588268905748	0.10467706432709	0.0821612023219465	0.0338361220160901	0.120016697209608	-1591.38209664199
28	0.0776093905445065	0.172937477433409	0.112150210624912	0.0831558479330022	0.0264286841190276	0.121475184721756	-1591.40495609283
29	0.0808712685344156	0.185394721315757	0.147119153145121	0.0932063989346858	0.031405836576938	0.121526856411514	-1593.18295226962
30	0.0987181464753511	0.18171879169755	0.13992059984559	0.102566769626552	0.0385458405484238	0.119077605515052	-1592.67925150181
31	0.095626022645027	0.180290244266629	0.114514117029847	0.100386732724124	0.0452607431570792	0.139550149434511	-1592.78776852234
32	0.0959943623675767	0.185465430283643	0.125625259562747	0.103949707655222	0.0449338323981253	0.124610867182058	-1592.16656323952
33	0.0860968078918583	0.189258778156161	0.134049139697121	0.106865470484915	0.0440448772939606	0.13080626330389	-1591.97832262655
34	0.0821841850016717	0.189878685539579	0.110856824078012	0.107574099795414	0.0465221060745129	0.166320515758601	-1595.34473385495
35	0.0652459655614507	0.20212075568269	0.110565582520939	0.104022729768694	0.0683136211092981	0.170102211582613	-1590.3932809085
36	0.072256797291891	0.200643274564462	0.121682732759654	0.104653135743602	0.0736763746277459	0.184460721263801	-1590.76858304597
37	0.0725293997219358	0.197362414895653	0.110164577395335	0.0988721232494846	0.0615049821002466	0.196291621104953	-1592.44281321075
38	0.0786634545406696	0.207349926171921	0.134255185145354	0.075260468489242	0.0482506873824037	0.185321678223612	-1592.52716479046
39	0.0599280894926731	0.203206818254661	0.131379927288229	0.0709679547007618	0.0372064346412241	0.180467427104717	-1592.21596550248
