Changed Species Original Name,Changed Species in Updated 1700,Notes
Abrocoma_bennetti,Abrocoma_bennettii,* spelling standardization
Alcelaphus_caama,NLV,* now included in A. buselaphus
Alcelaphus_lichtensteinii,NLV,* now included in A. buselaphus
Alces_americanus,NLV,* now included in A. alces
Alopex_lagopus,Vulpes_lagopus,* placement moved
Ammospermophilus_harrisi,NLV,* duplicate of A. harrisii
Aonyx_cinerea,Aonyx_cinereus,* spelling standardization
Bassaricyon_beddardi,Bassaricyon_alleni,* now included in B. alleni
Bos_indicus,NLV,* domestic excluded
Bos_taurus,NLV,* domestic excluded
Bubalus_bubalis,NLV,* domestic excluded
Callithrix_argentata,Mico_argentatus,* placement moved
Callithrix_humeralifera,Mico_humeralifer,* placement moved
Callithrix_intermedia,Mico_intermedius,* placement moved
Callithrix_pygmaea,NLV,* duplicate of Cebuella pygmaea
Capra_hircus,NLV,* domestic excluded
Cavia_porcellus,NLV,* domestic excluded
Cebus_apella,Sapajus_apella,* placement moved
Cebus_libidinosus,Sapajus_libidinosus,* placement moved
Cebus_nigritus,Sapajus_nigritus,* placement moved
Cercopithecus_albogularis,NLV,* now included in C. mitis
Cercopithecus_lhoesti,Allochrocebus_lhoesti,* placement moved
Cercopithecus_pogonias,Cercopithecus_denti,* artifact of taxonomic change
Cercopithecus_preussi,Allochrocebus_preussi,* placement moved
Cercopithecus_pygerythrus,NLV,* duplicate of Chlorocebus pygerythrus
Clyomys_bishopi,Clyomys_laticeps,* now included in C. laticeps
Cryptomys_damarensis,Fukomys_damarensis,* placement moved
Damaliscus_korrigum,NLV,* now included in D. lunatus
Echimys_semivillosus,Pattonomys_semivillosus,* placement moved
Echinoprocta_rufescens,Coendou_rufescens,* placement moved
Equus_asinus,NLV,* domestic excluded
Equus_burchellii,NLV,* now included in E. quagga
Equus_przewalskii,NLV,* now included in E. ferus
Felis_catus,NLV,* domestic excluded
Galago_alleni,NLV,* duplicate of Sciurocheirus alleni
Galago_demidoff,Galagoides_demidoff,* placement moved
Galago_zanzibaricus,Galagoides_zanzibaricus,* placement moved
Galagoides_demidovii,NLV,* duplicate of G. demidoff
Galea_monasteriensis,NLV,* now included in G. musteloides
Galerella_pulverulenta,NLV,* duplicate of Herpestes pulverulentus
Galerella_sanguinea,NLV,* duplicate of Herpestes sanguineus
Hyaena_brunnea,Parahyaena_brunnea,* placement moved
Kobus_defassa,NLV,* now included in K. ellipsiprymnus
Lagidium_peruanum,Lagidium_viscacia,* likely synonymous
Lama_glama,NLV,* domestic excluded
Liomys_adspersus,Heteromys_adspersus,* placement moved
Liomys_irroratus,Heteromys_irroratus,* placement moved
Liomys_pictus,Heteromys_pictus,* placement moved
Liomys_salvini,Heteromys_salvini,* placement moved
Lutra_maculicollis,Hydrictis_maculicollis,* placement moved
Macropus_eugenii,Notamacropus_eugenii,* placement moved
Macropus_robustus,Osphranter_robustus,* placement moved
Macropus_rufogriseus,Notamacropus_rufogriseus,* placement moved
Macropus_rufus,Osphranter_rufus,* placement moved
Micoureus_demerarae,Marmosa_demerarae,* placement moved
Micoureus_paraguayanus,Marmosa_paraguayanus,* placement moved
Microtus_oeconomus,Alexandromys_oeconomus,* placement moved
Monachus_schauinslandi,Neomonachus_schauinslandi,* placement moved
Murexechinus_melanurus,Murexia_melanurus,* placement moved
Neophocaena_asiaorientalis,Neophocaena_asiaeorientalis,* spelling rectification
Neotragus_moschatus,NLV,* duplicate of Nesotragus moschatus
Ochotona_pallasi,Ochotona_pallasii,* spelling rectification
Oryzomys_laticeps,NLV,* phylogeny unresolved
Oryzomys_macconnelli,Euryoryzomys_macconnelli,* placement moved
Oryzomys_megacephalus,NLV,* duplicate of Hylaeamys megacephalus
Oryzomys_melanotis,Casiomys_melanotis,* placement moved
Oryzomys_subflavus,Cerradomys_subflavus,* placement moved
Otaria_byronia,NLV,* duplicate of O. flavescens
Ovis_musimom,NLV,* domestic excluded
Ovis_orientalis,Ovis_gmelini,* placement moved
Phascomurexia_naso,Murexia_naso,* placement moved
Phoca_groenlandica,NLV,* duplicate of Pagophilus groenlandica
Pipistrellus_nanus,Afronycteris_nanus,* placement moved
Pipistrellus_savii,Hypsugo_savii,* placement moved
Presbytis_potenciani,NLV,* duplicate of P. potenziani
Procolobus_badius,Piliocolobus_badius,* placement moved
Procolobus_rufomitratus,Piliocolobus_rufomitratus,* placement moved
Przewalskium_albirostris,Cervus_albirostris,* placement moved
Pseudalopex_culpaeus,NLV,* duplicate of Lycalopex culpaeus
Pseudalopex_griseus,Lycalopex_griseus,* placement moved
Pseudalopex_gymnocercus,Lycalopex_gymnocercus,* placement moved
Pseudalopex_vetulus,Lycalopex_vetulus,* placement moved
Pseudois_schaeferi,NLV,* included in P. nayaur
Puma_yagouaroundi,Herpailurus_yagouaroundi,* placement moved
Pygathrix_bieti,NLV,* duplicate of Rhinopithecus bieti
Pygathrix_roxellana,NLV,* duplicate of Rhinopithecus roxellana
Reithrodontomys_humilis,NLV,* duplicate of R. humulis
Spalax_ehrenbergi,Nannospalax_ehrenbergi,* placement moved
Spermophilus_armatus,Urocitellus_armatus,* placement moved
Spermophilus_beecheyi,Otospermophilus_beecheyi,* placement moved
Spermophilus_beldingi,Urocitellus_beldingi,* placement moved
Spermophilus_columbianus,Urocitellus_columbianus,* placement moved
Spermophilus_elegans,Urocitellus_elegans,* placement moved
Spermophilus_franklinii,Poliocitellus_franklinii,* placement moved
Spermophilus_lateralis,Callospermophilus_lateralis,* placement moved
Spermophilus_mohavensis,Xerospermophilus_mohavensis,* placement moved
Spermophilus_mollis,Urocitellus_mollis,* placement moved
Spermophilus_parryii,Urocitellus_parryii,* placement moved
Spermophilus_richardsonii,Urocitellus_richardsonii,* placement moved
Spermophilus_spilosoma,Xerospermophilus_spilosoma,* placement moved
Spermophilus_tereticaudus,Xerospermophilus_tereticaudus,* placement moved
Spermophilus_townsendii,Urocitellus_townsendii,* placement moved
Spermophilus_tridecemlineatus,Ictidomys_tridecemlineatus,* placement moved
Spermophilus_undulatus,Urocitellus_undulatus,* placement moved
Spermophilus_variegatus,Otospermophilus_variegatus,* placement moved
Spermophilus_washingtoni,Urocitellus_washingtoni,* placement moved
Sphiggurus_insidiosus,Coendou_insidiosus,* placement moved
Tadarida_australis,Austronomus_australis,* placement moved
Tadarida_midas,Mops_midas,* placement moved
Tadarida_plicata,Mops_plicatus,* placement moved
Tamias_amoenus,Neotamias_amoenus,* placement moved
Tamias_cinereicollis,Neotamias_cinereicollis,* placement moved
Tamias_minimus,Neotamias_minimus,* placement moved
Tamias_quadrimaculatus,Neotamias_quadrimaculatus,* placement moved
Tamias_senex,Neotamias_senex,* placement moved
Tamias_sibiricus,Eutamias_sibiricus,* placement moved
Tamias_speciosus,Neotamias_speciosus,* placement moved
Tamias_townsendii,Neotamias_townsendii,* placement moved
Tamias_umbrinus,Neotamias_umbrinus,* placement moved
Taurotragus_derbianus,Tragelaphus_derbianus,* placement moved
Tursiops_gilli,NLV,* duplicate of T. truncatus
Uncia_uncia,NLV,* duplicate of Panthera uncia
Uromanis_tetradactyla,Phataginus_tetradactyla,* placement moved
Zaglossus_bruijni,Zaglossus_bruijnii,* spelling rectification
