Iteration	Posterior	Likelihood	Prior	ex0	ex1	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction_hidden[1]	extinction_hidden[2]	extinction_hidden_sd	extinction_hidden_unormalized[1]	extinction_hidden_unormalized[2]	extinction_observed[1]	extinction_observed[2]	hidden_rate	R[1]	R[2]	sp0	sp1	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation_hidden[1]	speciation_hidden[2]	speciation_hidden_sd	speciation_hidden_unormalized[1]	speciation_hidden_unormalized[2]	speciation_observed[1]	speciation_observed[2]	transition_rates[1]	transition_rates[2]
0	-667.9362	-685.6088	17.67261	0.02941758	0.0008983234	0.0281266	0.000858901	0.0307085	0.000937745	0.956116	1.04388	0.06510417	0.957038	1.04489	0.0294176	0.000898323	0.001429076	0.00142908	0.00142908	0.1375793	0.08215522	0.0680409	0.0406305	0.207118	0.12368	0.494558	1.50544	0.8251993	0.573161	1.74471	0.137579	0.0821552	0.00131476	0.0175589
1	-670.3313	-685.9332	15.60192	0.02941758	0.00806397	0.0261448	0.00716684	0.0326903	0.0089611	0.888748	1.11125	0.1656274	0.8943	1.11819	0.0294176	0.00806397	0.006936554	0.00693655	0.00693655	0.1281287	0.08215522	0.0512552	0.0328645	0.205002	0.131446	0.400029	1.59997	1.027593	0.500023	1.99991	0.128129	0.0821552	0.00131476	0.00796875
2	-669.9017	-684.9382	15.03657	0.02941758	0.001400763	0.0281501	0.00134041	0.0306851	0.00146112	0.956913	1.04309	0.06392074	0.957802	1.04406	0.0294176	0.00140076	0.009525926	0.00952593	0.00952593	0.1281287	0.1043538	0.0539951	0.043976	0.202262	0.164732	0.421413	1.57859	0.979016	0.516678	1.93544	0.128129	0.104354	0.000318135	0.0231271
3	-665.4513	-686.5093	21.05807	0.001173548	0.001153153	0.00112298	0.00110347	0.00122411	0.00120284	0.956913	1.04309	0.06392074	0.957802	1.04406	0.00117355	0.00115315	0.002135623	0.00213562	0.00213562	0.1281287	0.1043538	0.0539951	0.043976	0.202262	0.164732	0.421413	1.57859	0.979016	0.516678	1.93544	0.128129	0.104354	0.000318135	0.0118056
4	-669.8037	-686.3652	16.5615	0.005663248	0.0108921	0.00541924	0.0104228	0.00590726	0.0113614	0.956913	1.04309	0.06392074	0.957802	1.04406	0.00566325	0.0108921	0.005526977	0.00552698	0.00552698	0.09163511	0.1043538	0.0337178	0.0383978	0.149552	0.17031	0.367958	1.63204	1.104257	0.474825	2.10604	0.0916351	0.104354	0.00266561	0.0118056
5	-666.5465	-686.0485	19.50201	0.0002032994	0.01252814	0.000151813	0.00935534	0.000254786	0.0157009	0.746746	1.25325	0.3838253	0.771911	1.29549	0.000203299	0.0125281	0.00595746	0.00595746	0.00595746	0.08979736	0.1043538	0.0408711	0.0474964	0.138724	0.161211	0.455148	1.54485	0.9059147	0.542791	1.84233	0.0897974	0.104354	0.00266561	0.0118056
6	-667.4407	-688.3263	20.88562	0.0002076261	0.0009747649	8.14343e-05	0.000382318	0.000333818	0.00156721	0.392216	1.60778	1.045827	0.493911	2.02466	0.000207626	0.000974765	0.003776612	0.00377661	0.00377661	0.1483219	0.1060058	0.0675084	0.0482483	0.229135	0.163763	0.455148	1.54485	0.9059147	0.542791	1.84233	0.148322	0.106006	0.00128667	0.0118056
7	-671.8393	-689.207	17.36773	0.0002018604	0.06460765	0.00017322	0.0554411	0.000230501	0.0737743	0.858119	1.14188	0.211782	0.866889	1.15355	0.00020186	0.0646077	0.002390997	0.002391	0.002391	0.125607	0.2313001	0.0601699	0.1108	0.191044	0.3518	0.479033	1.52097	0.8564484	0.561207	1.78187	0.125607	0.2313	0.00527504	0.0109426
8	-674.8118	-690.2188	15.40693	0.0001731067	0.06460765	0.000155841	0.0581637	0.000190372	0.0710516	0.90026	1.09974	0.1483685	0.904771	1.10525	0.000173107	0.0646077	0.004226266	0.00422627	0.00422627	0.1553956	0.701409	0.0356441	0.160887	0.275147	1.24193	0.229376	1.77062	1.515014	0.359924	2.77836	0.155396	0.701409	0.00527504	0.00752083
9	-671.5029	-690.6075	19.1046	0.0001731067	0.0009633637	0.000121576	0.00067659	0.000224637	0.00125014	0.70232	1.29768	0.4551173	0.735671	1.3593	0.000173107	0.000963364	0.001780643	0.00178064	0.00178064	0.1553956	0.8080686	0.0312787	0.162651	0.279513	1.45349	0.201284	1.79872	1.623532	0.334521	2.98935	0.155396	0.808069	0.00527504	0.00752083
10	-672.7286	-689.9495	17.22085	0.0001731067	0.003407093	0.000107327	0.00211241	0.000238887	0.00470178	0.620003	1.38	0.5931242	0.670282	1.49191	0.000173107	0.00340709	0.001793028	0.00179303	0.00179303	0.2005664	0.6641445	0.0403708	0.133682	0.360762	1.19461	0.201284	1.79872	1.623532	0.334521	2.98935	0.200566	0.664145	0.00760829	0.00752083
11	-673.814	-689.8515	16.03749	0.008997118	0.0002788791	0.00557824	0.000172906	0.012416	0.000384852	0.620003	1.38	0.5931242	0.670282	1.49191	0.00899712	0.000278879	0.001610732	0.00161073	0.00161073	0.2005664	0.6641445	0.0395445	0.130945	0.361588	1.19734	0.197164	1.80284	1.640558	0.330701	3.02388	0.200566	0.664145	0.00568237	0.00752083
12	-674.1438	-690.4852	16.34143	0.005538704	0.0002788791	0.00343401	0.000172906	0.0076434	0.000384852	0.620003	1.38	0.5931242	0.670282	1.49191	0.0055387	0.000278879	0.001340466	0.00134047	0.00134047	0.165244	0.6641445	0.0325802	0.130945	0.297908	1.19734	0.197164	1.80284	1.640558	0.330701	3.02388	0.165244	0.664145	0.00568237	0.0104838
13	-677.1447	-691.4181	14.2734	0.0006095212	0.01887154	0.000373293	0.0115576	0.000845749	0.0261855	0.612436	1.38756	0.6062803	0.664361	1.50521	0.000609521	0.0188715	0.003447722	0.00344772	0.00344772	0.2412947	0.7370902	0.0419757	0.128224	0.440614	1.34596	0.17396	1.82604	1.742857	0.308653	3.23989	0.241295	0.73709	0.00568237	0.00393011
14	-679.5624	-692.4367	12.87428	0.002604927	0.01887154	0.00207031	0.0149985	0.00313955	0.0227446	0.794766	1.20523	0.3086645	0.812052	1.23145	0.00260493	0.0188715	0.004531446	0.00453145	0.00453145	0.2412947	0.7370902	0.0419757	0.128224	0.440614	1.34596	0.17396	1.82604	1.742857	0.308653	3.23989	0.241295	0.73709	0.00654819	0.00523611
15	-676.9304	-690.3274	13.39704	0.00318622	0.01887154	0.00303953	0.0180027	0.00333291	0.0197404	0.953961	1.04604	0.06830549	0.954974	1.04715	0.00318622	0.0188715	0.00045753	0.00045753	0.00045753	0.277922	0.7370902	0.0487109	0.129188	0.507133	1.34499	0.175268	1.82473	1.736773	0.309922	3.22662	0.277922	0.73709	0.00663958	0.00601574
16	-678.4815	-689.6993	11.21778	0.001120483	0.02016345	0.00103222	0.0185751	0.00120875	0.0217518	0.921224	1.07878	0.1170358	0.924096	1.08214	0.00112048	0.0201635	0.0008397203	0.00083972	0.00083972	0.277922	0.8116119	0.0487109	0.14225	0.507133	1.48097	0.175268	1.82473	1.736773	0.309922	3.22662	0.277922	0.811612	0.00624233	0.0274246
17	-684.0333	-689.5418	5.508513	0.008493116	0.04695315	0.00782406	0.0432544	0.00916217	0.0506519	0.921224	1.07878	0.1170358	0.924096	1.08214	0.00849312	0.0469532	0.001541184	0.00154118	0.00154118	0.2664859	0.8116119	0.0467065	0.14225	0.486265	1.48097	0.175268	1.82473	1.736773	0.309922	3.22662	0.266486	0.811612	0.0101853	0.0434677
18	-678.2619	-690.2063	11.94439	0.003148092	0.006079703	0.00205463	0.00396797	0.00424155	0.00819144	0.652659	1.34734	0.5373207	0.695992	1.4368	0.00314809	0.0060797	0.0004394824	0.000439482	0.000439482	0.2664859	0.8584993	0.0467065	0.150468	0.486265	1.56653	0.175268	1.82473	1.736773	0.309922	3.22662	0.266486	0.858499	0.00304355	0.0217563
19	-677.6793	-691.9879	14.30863	0.01753897	0.0004429558	0.011447	0.000289099	0.023631	0.000596813	0.652659	1.34734	0.5373207	0.695992	1.4368	0.017539	0.000442956	0.001288492	0.00128849	0.00128849	0.3627448	0.8584993	0.0635776	0.150468	0.661912	1.56653	0.175268	1.82473	1.736773	0.309922	3.22662	0.362745	0.858499	0.0033649	0.00786673
20	-678.414	-691.0857	12.67164	0.02306252	0.002004446	0.00932541	0.000810504	0.0367996	0.00319839	0.404353	1.59565	1.017618	0.503399	1.9865	0.0230625	0.00200445	0.001288492	0.00128849	0.00128849	0.2200737	0.8584993	0.0385719	0.150468	0.401575	1.56653	0.175268	1.82473	1.736773	0.309922	3.22662	0.220074	0.858499	0.00562843	0.00226818
21	-675.4622	-692.8983	17.43612	0.004888905	0.0001078015	0.00197685	4.35899e-05	0.00780097	0.000172013	0.404353	1.59565	1.017618	0.503399	1.9865	0.00488891	0.000107801	0.0001637698	0.00016377	0.00016377	0.2200737	0.891544	0.0341453	0.138327	0.406002	1.64476	0.155154	1.84485	1.835264	0.290002	3.44825	0.220074	0.891544	0.00355974	0.0019004
22	-681.0018	-696.4329	15.43108	0.001249239	0.006259825	0.00123366	0.00618178	0.00126481	0.00633787	0.987532	1.01247	0.0184854	0.987609	1.01255	0.00124924	0.00625983	0.002156755	0.00215675	0.00215675	0.1550995	0.891544	0.0240643	0.138327	0.286135	1.64476	0.155154	1.84485	1.835264	0.290002	3.44825	0.1551	0.891544	0.00982366	0.00340143
23	-677.2735	-693.8295	16.55595	0.0005330526	0.006259825	0.000444181	0.00521618	0.000621924	0.00730347	0.833278	1.16672	0.2495109	0.845107	1.18328	0.000533053	0.00625983	0.002642497	0.0026425	0.0026425	0.1721646	0.891544	0.026712	0.138327	0.317617	1.64476	0.155154	1.84485	1.835264	0.290002	3.44825	0.172165	0.891544	0.00380149	0.00340143
24	-678.4318	-692.2786	13.84683	0.003013185	0.01316772	0.00260355	0.0113776	0.00342282	0.0149578	0.864052	1.13595	0.2028122	0.872149	1.14659	0.00301319	0.0131677	0.001036467	0.00103647	0.00103647	0.1410344	0.891544	0.0405676	0.256446	0.241501	1.52664	0.287643	1.71236	1.322411	0.409855	2.43989	0.141034	0.891544	0.00380149	0.0149573
