Iteration	Posterior	Likelihood	Prior	ex0	ex1	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction_hidden[1]	extinction_hidden[2]	extinction_hidden_sd	extinction_hidden_unormalized[1]	extinction_hidden_unormalized[2]	extinction_observed[1]	extinction_observed[2]	hidden_rate	R[1]	R[2]	rate_category_prior[1]	rate_category_prior[2]	rate_category_prior[3]	rate_category_prior[4]	sp0	sp1	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation_hidden[1]	speciation_hidden[2]	speciation_hidden_sd	speciation_hidden_unormalized[1]	speciation_hidden_unormalized[2]	speciation_observed[1]	speciation_observed[2]	transition_rates[1]	transition_rates[2]
0	-503.6351	-538.4687	34.83365	2.089089e-06	5.979476e-06	1.81317e-06	5.18973e-06	2.36501e-06	6.76923e-06	0.867923	1.13208	0.1969679	0.875594	1.14208	2.08909e-06	5.97948e-06	0.01036924	0.0103692	0.0103692	0.608659	0.0301892	0.029456	0.331696	0.1703979	2.424817e-05	0.0966535	1.37541e-05	0.244142	3.47422e-05	0.567223	1.43278	0.6869032	0.629198	1.58932	0.170398	2.42482e-05	0.0532908	0.0118777
1	-506.0635	-539.9011	33.83764	2.089089e-06	5.979476e-06	1.45181e-06	4.15542e-06	2.72637e-06	7.80353e-06	0.694948	1.30505	0.4671393	0.72973	1.37037	2.08909e-06	5.97948e-06	0.01036924	0.0103692	0.0103692	0.608659	0.0301892	0.029456	0.331696	0.1515997	0.00015078	0.0859908	8.55258e-05	0.217209	0.000216034	0.567223	1.43278	0.6869032	0.629198	1.58932	0.1516	0.00015078	0.0342164	0.0126853
2	-512.7482	-542.997	30.24874	9.36926e-05	1.995078e-06	5.86997e-05	1.24994e-06	0.000128685	2.74021e-06	0.626514	1.37349	0.5818741	0.675388	1.48063	9.36926e-05	1.99508e-06	0.001933579	0.00193358	0.00193358	0.608659	0.0301892	0.029456	0.331696	0.125383	0.0002850244	0.07112	0.000161672	0.179646	0.000408377	0.567223	1.43278	0.6869032	0.629198	1.58932	0.125383	0.000285024	0.0307295	0.0283568
3	-510.2771	-537.7877	27.51061	2.18995e-06	6.036805e-05	1.57841e-06	4.35103e-05	2.80149e-06	7.72258e-05	0.72075	1.27925	0.4253115	0.750611	1.33225	2.18995e-06	6.0368e-05	0.002682289	0.00268229	0.00268229	0.608659	0.0301892	0.029456	0.331696	0.1768988	0.0005435713	0.144265	0.000443295	0.209533	0.000643848	0.815523	1.18448	0.2766741	0.829764	1.20516	0.176899	0.000543571	0.0474101	0.0585123
4	-519.5158	-538.5302	19.01438	0.0002247042	0.04431266	0.000182533	0.0359964	0.000266875	0.0526289	0.812327	1.18767	0.2815819	0.827022	1.20916	0.000224704	0.0443127	0.01904476	0.0190448	0.0190448	0.599859	0.0442111	0.0290302	0.3269	0.1783005	0.0004213758	0.105185	0.000248583	0.251416	0.000594169	0.589931	1.41007	0.6459603	0.646816	1.54604	0.178301	0.000421376	0.0414646	0.00345186
5	-514.2015	-537.2135	23.01194	6.018955e-06	0.02710291	4.88936e-06	0.0220164	7.14855e-06	0.0321894	0.812327	1.18767	0.2815819	0.827022	1.20916	6.01895e-06	0.0271029	0.02229624	0.0222962	0.0222962	0.599859	0.0442111	0.0290302	0.3269	0.1783005	7.967345e-06	0.149056	6.66056e-06	0.207545	9.27413e-06	0.835983	1.16402	0.2453889	0.847459	1.18	0.178301	7.96734e-06	0.0575992	0.0581591
6	-515.3974	-536.8538	21.45637	3.515353e-05	0.006769049	2.27084e-05	0.00437266	4.75986e-05	0.00916544	0.645978	1.35402	0.5486134	0.690711	1.44778	3.51535e-05	0.00676905	0.01157167	0.0115717	0.0115717	0.599859	0.0442111	0.0290302	0.3269	0.1626727	0.0001644358	0.123887	0.00012523	0.201458	0.000203642	0.761572	1.23843	0.3604305	0.784188	1.2752	0.162673	0.000164436	0.0575992	0.0314355
7	-529.4339	-540.1127	10.67874	0.02394353	0.006769049	0.00869908	0.00245931	0.039188	0.0110788	0.363316	1.63668	1.115772	0.471151	2.12246	0.0239435	0.00676905	0.02700713	0.0270071	0.0270071	0.577465	0.0425607	0.0279464	0.352028	0.1856847	0.001910606	0.141327	0.00145419	0.230042	0.00236702	0.761113	1.23889	0.3611516	0.783807	1.27583	0.185685	0.00191061	0.0788148	0.00570508
8	-522.0933	-535.0509	12.95761	0.0004710008	0.005050548	0.00037848	0.00405845	0.000563522	0.00604265	0.803566	1.19643	0.295069	0.819533	1.22021	0.000471001	0.00505055	0.009892233	0.00989223	0.00989223	0.586171	0.0432023	0.0283677	0.342259	0.1856847	0.02053541	0.141327	0.0156298	0.230042	0.025441	0.761113	1.23889	0.3611516	0.783807	1.27583	0.185685	0.0205354	0.0663415	0.0503019
9	-522.6963	-535.1341	12.43781	8.607806e-05	0.005050548	4.46362e-05	0.00261899	0.00012752	0.00748211	0.518555	1.48144	0.7781631	0.591636	1.69023	8.60781e-05	0.00505055	0.009032507	0.00903251	0.00903251	0.595132	0.037065	0.0281516	0.339651	0.1661679	0.02700568	0.102164	0.0166038	0.230172	0.0374076	0.614825	1.38517	0.602117	0.666229	1.50099	0.166168	0.0270057	0.0663415	0.0639757
