Iteration	Posterior	Likelihood	Prior	ex0	ex1	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction_hidden[1]	extinction_hidden[2]	extinction_hidden_sd	extinction_hidden_unormalized[1]	extinction_hidden_unormalized[2]	extinction_observed[1]	extinction_observed[2]	hidden_rate	R[1]	R[2]	rate_category_prior[1]	rate_category_prior[2]	rate_category_prior[3]	rate_category_prior[4]	sp0	sp1	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation_hidden[1]	speciation_hidden[2]	speciation_hidden_sd	speciation_hidden_unormalized[1]	speciation_hidden_unormalized[2]	speciation_observed[1]	speciation_observed[2]	transition_rates[1]	transition_rates[2]
0	-91.75473	-116.8141	25.05934	0.0001451078	1.085135e-06	0.000109577	8.19434e-07	0.000180638	1.35083e-06	0.755145	1.24485	0.3705497	0.778854	1.28394	0.000145108	1.08513e-06	0.04485721	0.0448572	0.0448572	0.032523	0.450804	0.27348	0.243193	0.01794875	0.123215	0.0158804	0.109016	0.0200171	0.137414	0.884761	1.11524	0.1716153	0.890695	1.12272	0.0179488	0.123215	0.0103882	0.0709706
1	-99.48177	-116.785	17.30319	4.364688e-06	0.005327138	3.29597e-06	0.00402276	5.4334e-06	0.00663151	0.755145	1.24485	0.3705497	0.778854	1.28394	4.36469e-06	0.00532714	0.06098153	0.0609815	0.0609815	0.0360717	0.425201	0.30332	0.235408	0.01794875	0.1319973	0.0167602	0.123256	0.0191373	0.140738	0.933779	1.06622	0.09832265	0.935834	1.06857	0.0179488	0.131997	0.0103882	0.128091
2	-97.21262	-118.0818	20.86921	4.364688e-06	0.005327138	3.29597e-06	0.00402276	5.4334e-06	0.00663151	0.755145	1.24485	0.3705497	0.778854	1.28394	4.36469e-06	0.00532714	0.0444642	0.0444642	0.0444642	0.0360717	0.425201	0.30332	0.235408	0.01225146	0.1985161	0.0117225	0.189945	0.0127804	0.207087	0.956826	1.04317	0.06404921	0.957719	1.04415	0.0122515	0.198516	0.0103882	0.0527285
3	-89.91257	-119.6429	29.73029	4.364688e-06	8.80949e-06	3.43364e-06	6.93031e-06	5.29573e-06	1.06887e-05	0.786687	1.21331	0.3211904	0.80522	1.2419	4.36469e-06	8.80949e-06	0.00375632	0.00375632	0.00375632	0.0431394	0.508513	0.362751	0.0855962	0.01200788	0.1956616	0.0108473	0.176751	0.0131684	0.214572	0.903352	1.09665	0.1437389	0.907601	1.10181	0.0120079	0.195662	0.00779444	0.0317225
4	-91.02255	-117.9542	26.93164	0.0003410531	1.043061e-06	0.000259982	7.95116e-07	0.000422124	1.29101e-06	0.762291	1.23771	0.3593004	0.784786	1.27423	0.000341053	1.04306e-06	0.00375632	0.00375632	0.00375632	0.0136043	0.65177	0.28595	0.0486755	0.01936641	0.1030596	0.0174947	0.0930992	0.0212381	0.11302	0.903352	1.09665	0.1437389	0.907601	1.10181	0.0193664	0.10306	0.00532012	0.05167
5	-91.78908	-117.8024	26.01334	0.0004734301	1.043061e-06	0.000360387	7.94004e-07	0.000586474	1.29212e-06	0.761225	1.23878	0.3609767	0.783899	1.27567	0.00047343	1.04306e-06	0.001874488	0.00187449	0.00187449	0.0233431	0.294507	0.633432	0.0487181	0.01936641	0.1030596	0.0167314	0.0890372	0.0220014	0.117082	0.863938	1.13606	0.2029843	0.872048	1.14673	0.0193664	0.10306	0.0139609	0.0575629
6	-94.50249	-119.991	25.48849	0.001043236	1.043061e-06	0.000811339	8.11204e-07	0.00127513	1.27492e-06	0.777714	1.22229	0.3351565	0.797671	1.25365	0.00104324	1.04306e-06	0.002755794	0.00275579	0.00275579	0.33443	0.0431141	0.562013	0.0604427	0.009797632	0.07664357	0.00846455	0.0662153	0.0111307	0.0870718	0.863938	1.13606	0.2029843	0.872048	1.14673	0.00979763	0.0766436	0.00631887	0.0839864
7	-94.1863	-117.0316	22.84532	0.001043236	3.069004e-06	0.000969547	2.85223e-06	0.00111693	3.28578e-06	0.929365	1.07063	0.1048982	0.931692	1.07332	0.00104324	3.069e-06	0.03089423	0.0308942	0.0308942	0.367806	0.0409521	0.53383	0.0574117	0.01421692	0.1240496	0.00898049	0.0783593	0.0194533	0.16974	0.631677	1.36832	0.5729988	0.679443	1.47179	0.0142169	0.12405	0.00459464	0.0698505
8	-100.3348	-118.097	17.76223	0.001438645	0.0003125621	0.0010883	0.000236446	0.00178899	0.000388678	0.756477	1.24352	0.3684501	0.779958	1.28212	0.00143865	0.000312562	0.0210277	0.0210277	0.0210277	0.335248	0.0430612	0.561322	0.0603684	0.009659038	0.1240496	0.00610139	0.0783593	0.0132167	0.16974	0.631677	1.36832	0.5729988	0.679443	1.47179	0.00965904	0.12405	0.0164406	0.0698505
9	-97.78398	-118.6583	20.87435	0.0002918036	0.0003125621	0.000277167	0.000296884	0.00030644	0.00032824	0.949841	1.05016	0.07442796	0.951038	1.05148	0.000291804	0.000312562	0.02366822	0.0236682	0.0236682	0.260961	0.0793001	0.317328	0.342411	0.009226114	0.1240496	0.00764798	0.102831	0.0108042	0.145268	0.828949	1.17105	0.2561182	0.841349	1.18857	0.00922611	0.12405	0.0168586	0.0555891
10	-101.2606	-117.9109	16.65025	0.0001670142	0.01342189	0.000127074	0.0102121	0.000206955	0.0166316	0.760857	1.23914	0.3615548	0.783593	1.27617	0.000167014	0.0134219	0.01170915	0.0117091	0.0117091	0.262015	0.491036	0.149526	0.0974238	0.02235454	0.1268801	0.0185308	0.105177	0.0261783	0.148583	0.828949	1.17105	0.2561182	0.841349	1.18857	0.0223545	0.12688	0.0190913	0.0555891
