Iteration	Posterior	Likelihood	Prior	ex0	ex1	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction_hidden[1]	extinction_hidden[2]	extinction_hidden_sd	extinction_hidden_unormalized[1]	extinction_hidden_unormalized[2]	extinction_observed[1]	extinction_observed[2]	hidden_rate	R[1]	R[2]	sp0	sp1	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation_hidden[1]	speciation_hidden[2]	speciation_hidden_sd	speciation_hidden_unormalized[1]	speciation_hidden_unormalized[2]	speciation_observed[1]	speciation_observed[2]	transition_rates[1]	transition_rates[2]
0	-1231.778	-1236.047	4.268763	0.002619824	0.8131444	0.000894457	0.277623	0.00434519	1.34867	0.341419	1.65858	1.171706	0.453707	2.20407	0.00261982	0.813144	0.001782562	0.00178256	0.00178256	0.4026044	0.4483751	0.168649	0.187822	0.63656	0.708928	0.418895	1.5811	0.984639	0.514722	1.9428	0.402604	0.448375	0.0367315	0.0138142
1	-1231.203	-1234.003	2.800228	0.05369435	0.8462261	0.0183323	0.288918	0.0890564	1.40353	0.341419	1.65858	1.171706	0.453707	2.20407	0.0536944	0.846226	0.002515456	0.00251546	0.00251546	0.4026044	0.1016774	0.168649	0.0425922	0.63656	0.160763	0.418895	1.5811	0.984639	0.514722	1.9428	0.402604	0.101677	0.0475098	0.00145331
2	-1227.549	-1234.27	6.721913	0.0003720637	0.7674859	0.00012703	0.262034	0.000617098	1.27294	0.341419	1.65858	1.171706	0.453707	2.20407	0.000372064	0.767486	0.005064816	0.00506482	0.00506482	0.3499856	0.1965692	0.146607	0.0823419	0.553364	0.310797	0.418895	1.5811	0.984639	0.514722	1.9428	0.349986	0.196569	0.0475098	0.00386447
3	-1228.384	-1235.42	7.036711	0.0003720637	0.7674859	0.000282611	0.582964	0.000461517	0.952008	0.759576	1.24042	0.3635691	0.78253	1.27791	0.000372064	0.767486	0.003358572	0.00335857	0.00335857	0.3340972	0.1443208	0.139952	0.0604553	0.528243	0.228186	0.418895	1.5811	0.984639	0.514722	1.9428	0.334097	0.144321	0.0497623	0.0144915
4	-1230.764	-1234.201	3.436933	0.009532131	0.7674859	0.00654619	0.527071	0.0125181	1.0079	0.686749	1.31325	0.480579	0.723145	1.38285	0.00953213	0.767486	0.001904162	0.00190416	0.00190416	0.4341148	0.4040357	0.181849	0.169249	0.686381	0.638823	0.418895	1.5811	0.984639	0.514722	1.9428	0.434115	0.404036	0.0497623	0.00699947
5	-1234.456	-1234.425	-0.03055482	0.01320017	0.7674859	0.00906521	0.527071	0.0173351	1.0079	0.686749	1.31325	0.480579	0.723145	1.38285	0.0132002	0.767486	0.0016351	0.0016351	0.0016351	0.3510339	0.3493598	0.146064	0.145368	0.556004	0.553352	0.416097	1.5839	0.9909189	0.512546	1.95104	0.351034	0.34936	0.0826626	0.00189158
6	-1232.037	-1234.562	2.524411	0.01320017	0.7674859	0.0072205	0.419815	0.0191798	1.11516	0.547	1.453	0.7242035	0.613566	1.62982	0.0132002	0.767486	0.007427791	0.00742779	0.00742779	0.3510339	0.4268339	0.152496	0.185425	0.549572	0.668243	0.434419	1.56558	0.9503493	0.526765	1.89838	0.351034	0.426834	0.050189	0.00411088
7	-1230.316	-1235.808	5.492478	0.0008020577	0.7916267	0.000438726	0.43302	0.00116539	1.15023	0.547	1.453	0.7242035	0.613566	1.62982	0.000802058	0.791627	0.006543177	0.00654318	0.00654318	0.2830055	0.4268339	0.122943	0.185425	0.443068	0.668243	0.434419	1.56558	0.9503493	0.526765	1.89838	0.283006	0.426834	0.0512092	0.00411088
8	-1227.778	-1235.71	7.931944	0.002603609	0.5488398	0.00142418	0.300216	0.00378304	0.797464	0.547	1.453	0.7242035	0.613566	1.62982	0.00260361	0.54884	0.003070614	0.00307061	0.00307061	0.314327	0.05484343	0.13655	0.023825	0.492104	0.0858618	0.434419	1.56558	0.9503493	0.526765	1.89838	0.314327	0.0548434	0.0443974	0.00411088
9	-1238.698	-1241.958	3.260215	0.00716242	0.6028069	0.00332023	0.279439	0.0110046	0.926175	0.463563	1.53644	0.888285	0.549284	1.82055	0.00716242	0.602807	0.01667969	0.0166797	0.0166797	0.2823719	0.07404549	0.120147	0.0315058	0.444597	0.116585	0.425492	1.57451	0.9699566	0.519844	1.92365	0.282372	0.0740455	0.0369708	0.0220694
