Iteration	Posterior	Likelihood	Prior	ex0	ex1	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction_hidden[1]	extinction_hidden[2]	extinction_hidden_sd	extinction_hidden_unormalized[1]	extinction_hidden_unormalized[2]	extinction_observed[1]	extinction_observed[2]	hidden_rate	R[1]	R[2]	sp0	sp1	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation_hidden[1]	speciation_hidden[2]	speciation_hidden_sd	speciation_hidden_unormalized[1]	speciation_hidden_unormalized[2]	speciation_observed[1]	speciation_observed[2]	transition_rates[1]	transition_rates[2]
0	-787.2168	-803.6889	16.47209	0.0001595186	0.1598236	0.000144661	0.144937	0.000174376	0.17471	0.906858	1.09314	0.1384941	0.910817	1.09791	0.000159519	0.159824	0.005379598	0.0053796	0.0053796	0.2133507	0.04433243	0.0694193	0.0144247	0.357282	0.0742401	0.325376	1.67462	1.214519	0.440793	2.26864	0.213351	0.0443324	0.01007	0.00796743
1	-787.9414	-802.756	14.81465	0.0001595186	0.1636769	0.000144661	0.148432	0.000174376	0.178922	0.906858	1.09314	0.1384941	0.910817	1.09791	0.000159519	0.163677	0.009509747	0.00950975	0.00950975	0.2410289	0.04433243	0.0784251	0.0144247	0.403633	0.0742401	0.325376	1.67462	1.214519	0.440793	2.26864	0.241029	0.0443324	0.0270914	0.00429256
2	-789.2052	-805.435	16.22975	0.0002960772	0.0881577	0.0002685	0.0799465	0.000323654	0.0963689	0.906858	1.09314	0.1384941	0.910817	1.09791	0.000296077	0.0881577	0.01001508	0.0100151	0.0100151	0.2853225	0.01740599	0.0928372	0.0056635	0.477808	0.0291485	0.325376	1.67462	1.214519	0.440793	2.26864	0.285323	0.017406	0.0190874	0.00429256
3	-788.4558	-801.9887	13.53286	0.0002960772	0.08870192	0.00024554	0.0735615	0.000346614	0.103842	0.829312	1.17069	0.2555644	0.841663	1.18812	0.000296077	0.0887019	0.005878961	0.00587896	0.00587896	0.2070639	0.01740599	0.0673737	0.0056635	0.346754	0.0291485	0.325376	1.67462	1.214519	0.440793	2.26864	0.207064	0.017406	0.0190874	0.0409397
4	-789.2657	-803.8342	14.5685	0.002017934	0.08870192	0.00171488	0.0753804	0.00232099	0.102023	0.849817	1.15018	0.2243586	0.859566	1.16338	0.00201793	0.0887019	0.005878961	0.00587896	0.00587896	0.260773	0.01740599	0.0848494	0.0056635	0.436697	0.0291485	0.325376	1.67462	1.214519	0.440793	2.26864	0.260773	0.017406	0.0196742	0.00413856
5	-790.2955	-801.1559	10.86033	0.0003938962	0.1356995	0.00033474	0.11532	0.000453053	0.156079	0.849817	1.15018	0.2243586	0.859566	1.16338	0.000393896	0.1357	0.01067454	0.0106745	0.0106745	0.1997027	0.01740599	0.100769	0.00878301	0.298636	0.026029	0.504597	1.4954	0.8053432	0.580889	1.7215	0.199703	0.017406	0.0303556	0.0566443
6	-784.5394	-802.2633	17.72394	0.0001471316	0.3685146	5.89169e-05	0.147567	0.000235346	0.589462	0.400437	1.59956	1.02665	0.500341	1.99864	0.000147132	0.368515	0.01067454	0.0106745	0.0106745	0.1997027	0.0002361599	0.100769	0.000119166	0.298636	0.000353154	0.504597	1.4954	0.8053432	0.580889	1.7215	0.199703	0.00023616	0.0303556	0.0110502
7	-788.5194	-804.7032	16.18381	0.0006032378	0.006898815	0.000488753	0.00558953	0.000717723	0.0082081	0.810216	1.18978	0.2848274	0.825214	1.21181	0.000603238	0.00689881	0.012202	0.012202	0.012202	0.1997027	0.05296294	0.100769	0.0267249	0.298636	0.079201	0.504597	1.4954	0.8053432	0.580889	1.7215	0.199703	0.0529629	0.0283346	0.0110502
8	-783.9105	-801.3691	17.45861	0.0004222189	0.0001965236	0.000342089	0.000159227	0.000502349	0.000233821	0.810216	1.18978	0.2848274	0.825214	1.21181	0.000422219	0.000196524	0.01133409	0.0113341	0.0113341	0.1997027	0.05128678	0.0940348	0.0241496	0.305371	0.078424	0.470874	1.52913	0.87315	0.55492	1.80206	0.199703	0.0512868	0.0201563	0.0496594
9	-781.6797	-801.7553	20.07558	0.0004222189	0.0003724282	0.000261431	0.000230601	0.000583007	0.000514255	0.619183	1.38082	0.5945448	0.66964	1.49334	0.000422219	0.000372428	0.009087185	0.00908719	0.00908719	0.2284492	0.0009570045	0.107571	0.000450628	0.349328	0.00146338	0.470874	1.52913	0.87315	0.55492	1.80206	0.228449	0.000957004	0.0231361	0.0496594
