Iteration	Posterior	Likelihood	Prior	ex0	ex1	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction_hidden[1]	extinction_hidden[2]	extinction_hidden_sd	extinction_hidden_unormalized[1]	extinction_hidden_unormalized[2]	extinction_observed[1]	extinction_observed[2]	hidden_rate	R[1]	R[2]	sp0	sp1	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation_hidden[1]	speciation_hidden[2]	speciation_hidden_sd	speciation_hidden_unormalized[1]	speciation_hidden_unormalized[2]	speciation_observed[1]	speciation_observed[2]	transition_rates[1]	transition_rates[2]
0	-3284.414	-3287.319	2.905454	0.3880822	0.01360807	0.0423096	0.00148358	0.733855	0.0257326	0.109022	1.89098	2.115153	0.240112	4.16472	0.388082	0.0136081	0.02256497	0.022565	0.022565	0.5365437	0.04246622	0.148353	0.0117418	0.924734	0.0731906	0.276498	1.7235	1.356514	0.400535	2.49666	0.536544	0.0424662	0.005648	0.00368119
1	-3282.185	-3286.995	4.809846	0.3880822	0.01360807	0.0125113	0.000438708	0.763653	0.0267774	0.0322388	1.96776	3.047846	0.127998	7.81262	0.388082	0.0136081	0.01424836	0.0142484	0.0142484	0.5365437	0.02267992	0.122996	0.00519911	0.950091	0.0401607	0.229238	1.77076	1.515518	0.359802	2.77931	0.536544	0.0226799	0.00340852	0.00368119
2	-3280.782	-3288.915	8.133381	0.3798639	0.0009204817	0.0416758	0.000100988	0.718052	0.00173997	0.109713	1.89029	2.110203	0.240915	4.15084	0.379864	0.000920482	0.01740456	0.0174046	0.0174046	0.4869916	0.02267992	0.103275	0.00480966	0.870708	0.0405502	0.212067	1.78793	1.580391	0.344398	2.90362	0.486992	0.0226799	0.00353157	0.00368119
3	-3281.247	-3286.177	4.92984	0.3798639	0.014427	0.0416758	0.00158282	0.718052	0.0272712	0.109713	1.89029	2.110203	0.240915	4.15084	0.379864	0.014427	0.01692373	0.0169237	0.0169237	0.5032693	0.02267992	0.131912	0.00594463	0.874627	0.0394152	0.26211	1.73789	1.402292	0.388356	2.57495	0.503269	0.0226799	0.00235701	0.00776682
4	-3281.578	-3288.936	7.358088	0.2884505	0.0002842235	0.0354594	3.49398e-05	0.541442	0.000533507	0.122931	1.87707	2.020672	0.255912	3.9076	0.28845	0.000284224	0.01391998	0.01392	0.01392	0.4256442	0.02267992	0.109058	0.005811	0.742231	0.0395488	0.256218	1.74378	1.421655	0.383318	2.6088	0.425644	0.0226799	0.00214671	0.0179195
5	-3282.817	-3287.995	5.177322	0.3456414	0.1322663	0.0348191	0.0133242	0.656464	0.251208	0.100738	1.89926	2.17698	0.230305	4.34207	0.345641	0.132266	0.009290471	0.00929047	0.00929047	0.4667404	0.01461971	0.129265	0.00404896	0.804216	0.0251905	0.276952	1.72305	1.355102	0.400916	2.49429	0.46674	0.0146197	0.00672535	0.00467699
6	-3283.009	-3289.879	6.86999	0.2974089	0.00846283	0.0317433	0.000903262	0.563075	0.0160224	0.106733	1.89327	2.131782	0.237434	4.21169	0.297409	0.00846283	0.01385326	0.0138533	0.0138533	0.4546352	0.01461971	0.109692	0.00352737	0.799578	0.0257121	0.241275	1.75872	1.472525	0.370388	2.69987	0.454635	0.0146197	0.00672535	0.00385123
7	-3279.922	-3290.293	10.37086	0.3587153	0.001334393	0.0382867	0.000142424	0.679144	0.00252636	0.106733	1.89327	2.131782	0.237434	4.21169	0.358715	0.00133439	0.007777953	0.00777795	0.00777795	0.4514061	0.01461971	0.120002	0.00388651	0.78281	0.0253529	0.265841	1.73416	1.390222	0.391531	2.55408	0.451406	0.0146197	0.0019986	0.00895105
8	-3282.919	-3288.518	5.599476	0.3671887	0.03630619	0.0391911	0.00387506	0.695186	0.0687373	0.106733	1.89327	2.131782	0.237434	4.21169	0.367189	0.0363062	0.01049731	0.0104973	0.0104973	0.54861	0.002040879	0.124416	0.000462838	0.972804	0.00361892	0.226783	1.77322	1.524526	0.357622	2.79624	0.54861	0.00204088	0.00934445	0.00895105
9	-3282.87	-3292.888	10.01762	0.3671887	0.03630619	0.0349967	0.00346034	0.699381	0.069152	0.0953098	1.90469	2.220154	0.223695	4.47037	0.367189	0.0363062	0.003602283	0.00360228	0.00360228	0.550089	0.008656591	0.124751	0.00196317	0.975427	0.01535	0.226783	1.77322	1.524526	0.357622	2.79624	0.550089	0.00865659	0.00201188	0.00292532
10	-3278.44	-3287.084	8.643413	0.3862016	0.0006178414	0.0407543	6.51983e-05	0.731649	0.00117048	0.105526	1.89447	2.140685	0.236013	4.23706	0.386202	0.000617841	0.01701412	0.0170141	0.0170141	0.4904323	0.09685519	0.127473	0.0251746	0.853392	0.168536	0.25992	1.74008	1.409446	0.386487	2.58741	0.490432	0.0968552	0.00201188	0.0010548
11	-3277.098	-3288.279	11.18151	0.370975	0.02491859	0.0391475	0.00262956	0.702803	0.0472076	0.105526	1.89447	2.140685	0.236013	4.23706	0.370975	0.0249186	0.01461265	0.0146126	0.0146126	0.5523692	0.0001801486	0.136107	4.43896e-05	0.968632	0.000315908	0.246405	1.75359	1.454763	0.374853	2.66772	0.552369	0.000180149	0.00406359	0.0010548
12	-3276.969	-3291.369	14.40032	0.370975	0.0006191694	0.0593099	9.89902e-05	0.68264	0.00113935	0.159876	1.84012	1.811141	0.294759	3.3926	0.370975	0.000619169	0.007195895	0.0071959	0.0071959	0.5733536	0.004716882	0.141277	0.00116227	1.00543	0.0082715	0.246405	1.75359	1.454763	0.374853	2.66772	0.573354	0.00471688	0.00385464	0.0010548
13	-3280.083	-3288.851	8.767603	0.4298193	0.04466744	0.0687177	0.00714124	0.790921	0.0821936	0.159876	1.84012	1.811141	0.294759	3.3926	0.429819	0.0446674	0.006414638	0.00641464	0.00641464	0.557344	0.004716882	0.13674	0.00115725	0.977948	0.00827651	0.245343	1.75466	1.458416	0.37393	2.6743	0.557344	0.00471688	0.00385464	0.00597331
