Iteration	Posterior	Likelihood	Prior	ex0	ex1	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction_hidden[1]	extinction_hidden[2]	extinction_hidden_sd	extinction_hidden_unormalized[1]	extinction_hidden_unormalized[2]	extinction_observed[1]	extinction_observed[2]	hidden_rate	R[1]	R[2]	rate_category_prior[1]	rate_category_prior[2]	rate_category_prior[3]	rate_category_prior[4]	sp0	sp1	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation_hidden[1]	speciation_hidden[2]	speciation_hidden_sd	speciation_hidden_unormalized[1]	speciation_hidden_unormalized[2]	speciation_observed[1]	speciation_observed[2]	transition_rates[1]	transition_rates[2]
0	-468.0479	-492.9864	24.93849	4.549036e-06	4.391892e-06	2.72464e-06	2.63052e-06	6.37343e-06	6.15326e-06	0.59895	1.40105	0.6299572	0.653835	1.52944	4.54904e-06	4.39189e-06	0.03165899	0.031659	0.031659	0.0507439	0.660388	0.0795386	0.20933	0.4133569	0.09563725	0.222647	0.0515131	0.604067	0.139761	0.53863	1.46137	0.7398927	0.607107	1.64716	0.413357	0.0956372	0.013217	0.0267948
1	-473.3333	-493.7203	20.38706	7.585559e-05	2.835884e-05	6.26191e-05	2.34103e-05	8.90921e-05	3.33074e-05	0.825504	1.1745	0.2613835	0.838366	1.1928	7.58556e-05	2.83588e-05	0.02948194	0.0294819	0.0294819	0.0517928	0.653368	0.0811828	0.213657	0.3456666	0.05301981	0.183701	0.0281768	0.507632	0.0778628	0.53144	1.46856	0.753494	0.601563	1.66234	0.345667	0.0530198	0.0117256	0.0593714
2	-470.6695	-492.3422	21.67268	0.0002066768	1.353036e-06	0.00013294	8.70306e-07	0.000280414	1.83577e-06	0.643225	1.35678	0.5532861	0.688537	1.45235	0.000206677	1.35304e-06	0.02496798	0.024968	0.024968	0.0530761	0.669557	0.0831943	0.194173	0.3719782	0.06714711	0.19262	0.0347704	0.551337	0.0995238	0.517825	1.48218	0.7795736	0.591074	1.69184	0.371978	0.0671471	0.026698	0.0466782
3	-481.8838	-493.8293	11.94548	0.05764633	6.765075e-06	0.00518335	6.08292e-07	0.110109	1.29219e-05	0.0899165	1.91008	2.265432	0.216967	4.609	0.0576463	6.76508e-06	0.02397055	0.0239705	0.0239705	0.0530761	0.669557	0.0831943	0.194173	0.3606793	0.1020301	0.194032	0.0548883	0.527327	0.149172	0.537962	1.46204	0.7411517	0.606592	1.64856	0.360679	0.10203	0.0220296	0.0349338
4	-480.5219	-493.7295	13.20757	0.07729774	2.117924e-06	0.00695203	1.90482e-07	0.147643	4.04536e-06	0.0899383	1.91006	2.265244	0.216994	4.60841	0.0772977	2.11792e-06	0.02346668	0.0234667	0.0234667	0.0514996	0.666445	0.0887842	0.193271	0.3364555	0.0467176	0.150853	0.0209463	0.522058	0.0724889	0.448359	1.55164	0.9203059	0.537548	1.8603	0.336455	0.0467176	0.0135226	0.0474709
5	-477.4034	-492.5926	15.18916	0.07729774	1.373758e-06	0.0208549	3.70639e-07	0.133741	2.37688e-06	0.269799	1.7302	1.377571	0.394886	2.53237	0.0772977	1.37376e-06	0.02084091	0.0208409	0.0208409	0.0602517	0.587704	0.103873	0.248172	0.4018773	0.02210885	0.176234	0.00969531	0.627521	0.0345224	0.438526	1.56147	0.9414276	0.529944	1.88699	0.401877	0.0221089	0.0234381	0.0517171
6	-480.6523	-492.8591	12.20683	0.005504493	1.957627e-05	0.000331527	1.17905e-06	0.0106775	3.79735e-05	0.0602284	1.93977	2.573932	0.176208	5.67511	0.00550449	1.95763e-05	0.03071816	0.0307182	0.0307182	0.0611535	0.5965	0.105427	0.236919	0.457654	0.03059765	0.208566	0.0139442	0.706742	0.0472511	0.455728	1.54427	0.9046927	0.543239	1.84081	0.457654	0.0305976	0.0231787	0.0546015
7	-476.5054	-493.4761	16.97072	0.005504493	1.310764e-06	0.0017755	4.22793e-07	0.00923349	2.19874e-06	0.322554	1.67745	1.222224	0.438508	2.28046	0.00550449	1.31076e-06	0.0279342	0.0279342	0.0279342	0.0613642	0.598555	0.102345	0.237736	0.4613252	0.03776045	0.243067	0.0198956	0.679583	0.0556253	0.526889	1.47311	0.762163	0.598056	1.67208	0.461325	0.0377605	0.0321203	0.0546015
8	-478.2745	-494.3301	16.05568	0.003245988	3.787738e-06	0.00104701	1.22175e-06	0.00544497	6.35372e-06	0.322554	1.67745	1.222224	0.438508	2.28046	0.00324599	3.78774e-06	0.02515764	0.0251576	0.0251576	0.0592602	0.606199	0.098836	0.235705	0.4579795	0.09290108	0.244841	0.0496659	0.671118	0.136136	0.53461	1.46539	0.7474822	0.604007	1.65561	0.45798	0.0929011	0.0441233	0.0340946
9	-483.1085	-492.2672	9.158711	0.02133743	0.009069388	0.00712217	0.00302725	0.0355527	0.0151115	0.333787	1.66621	1.191867	0.447579	2.23424	0.0213374	0.00906939	0.008632217	0.00863222	0.00863222	0.056672	0.579723	0.0945193	0.269086	0.3660732	0.04650386	0.192882	0.0245027	0.539264	0.0685051	0.526895	1.4731	0.7621511	0.598061	1.67207	0.366073	0.0465039	0.0342902	0.0181077
