(Intercept),IUCNDD,IUCNEN,IUCNEW,IUCNLC,IUCNNT,IUCNVU
-260.787225201235,-19937.3704810776,-418.760995641514,-89382.1748999713,-357.087615273718,-496.788954374148,-422.833386050828
-383.735973530829,-19023.2844340413,-342.437513314235,-91234.3244066075,-314.591292017132,-341.836538098709,-294.76129266755
59.0292732634261,-15354.4381438888,-322.377434056194,-86521.9068787233,-322.237241814699,-308.233417945856,-406.025877239736
-379.901435585565,-14704.8677983205,-138.408547811392,-85621.4647605663,-203.427205053609,-183.977883591644,-61.9561193799891
-400.015842305846,-12127.0951984966,-205.752600120468,-86971.375632519,-154.605161145184,-109.095757783507,-154.482798695512
-182.259407491227,-11330.0812422084,-378.000928435009,-86477.9745594759,-371.798740938073,-308.68674143088,-370.930384361665
33.7343221316114,-9928.56050548099,-289.377348846952,-86646.6123921932,-245.347964305023,-218.853870765684,-304.879889824002
34.6807354955381,-10029.2787606422,-200.723954215006,-90102.34853018,-246.074476989044,-205.037835531053,-211.965227539171
-453.652860023994,-8910.05042317629,-74.3260221793516,-90637.6608722125,-32.0885525475969,-86.0820258890599,-36.7399881911624
-180.436686835135,-7854.03806761897,-113.373709861073,-91822.4547468519,-90.9954981478222,-100.61630971585,-0.916923012890038
-464.211564885161,-8289.57434961072,-127.223846555378,-89965.434441471,-73.6560158396896,-7.14000953012737,-75.0574924775574
148.845016099302,-7410.18344374686,-128.14634515965,-89961.633428652,-118.902364709262,-117.024572148603,-26.5722739098564
-116.803239889414,-4741.24853368176,-240.3183967199,-92436.6118003705,-254.203745092236,-133.603519927565,-234.815137043661
239.976186258882,-6853.76977285132,-346.605934458086,-92749.5613821934,-285.997962708323,-353.07906787243,-324.845269444028
-260.959235606751,-6059.12030939489,-234.787318137274,-91942.7036234194,-276.750576684048,-422.669470494991,-342.233655367949
-320.614577652748,-3533.2075910432,-191.069488105597,-92156.4442039415,-318.469199053288,-216.024009252797,-298.80005649765
13.8592195423678,-1276.15341458676,-285.852824879839,-92769.0025105305,-238.115201639681,-262.011165474694,-248.212484176755
-600.993955457521,-595.754218920512,-302.865083776327,-90622.1823558351,-315.660158793355,-422.948637088062,-299.700629609564
-151.461286403035,-837.391944319039,-109.063479860903,-89339.9361096715,-51.5425761310617,-3.39732179057319,-154.549346166197
-274.676217603454,-3394.82584641951,-272.542572364327,-87464.6712537807,-308.388447786115,-232.663248235549,-306.49008423253
-408.927645539043,-910.977339613673,-124.573350739287,-89712.6617168203,-165.190885392904,-206.994750144542,-182.90563201747
-320.533003872075,-2023.66743039871,-121.132996885339,-90131.9157291731,-161.467682046379,-214.909071929957,-193.203635464364
-23.9444242048048,-2746.13611571246,-143.173223682621,-93280.5441843027,-138.678245566,-149.845584352384,-146.406890887534
-191.72819295937,-2352.61357558516,-122.70957025401,-94855.0516661466,-162.800916322318,-60.8379053278768,-150.105080215661
-64.6333780513669,-2167.16320068471,-231.932472703418,-98353.6549604369,-177.604374204544,-99.5374281993718,-209.900206883314
-185.914028805404,-1800.11890142901,-154.566750483975,-97984.3364587376,-248.933437767628,-82.6683549987793,-199.968029573196
-39.6877318445986,-3316.47074634454,-234.518414878477,-100606.648308665,-303.014648976976,-266.687159047273,-218.176583291788
-121.860252744373,-1499.47363369126,-150.575149829339,-98335.5506230138,-177.014792112765,-199.586197280041,-250.150522185999
-168.643213063217,-1742.66524850681,-341.688086195034,-97230.2332369281,-240.494552824088,-197.399604788607,-167.215242651619
-353.255373310851,-2228.63615780683,-149.106345472297,-96697.7865851227,-195.962521300298,-200.99939578597,-208.059445511186
-133.477875800512,-1873.4996959327,-266.795580689984,-95742.9905478563,-309.649062106953,-367.04850047152,-291.647000070858
