(Intercept),IUCNDD,IUCNEN,IUCNEW,IUCNLC,IUCNNT,IUCNVU
43.1291367540107,-24825.159189332,-204.475049486027,-39764.1463854454,-207.214258249918,-336.658498235731,-160.351779293051
-153.783614897198,-24777.3372775516,-90.9529223706049,-41142.5008209365,-128.586108286348,-155.138439638249,-212.176753281041
-54.129506170575,-24942.3194003175,-115.271491921536,-40640.3497320373,-130.0152118623,-48.2412869777181,-69.7143722105102
54.5993372988596,-23654.9579002926,-168.047281766339,-41695.1947555212,-185.323833826304,-93.2929226058841,-204.453024904302
-47.287777953461,-23057.6867867964,-207.991072062112,-42569.5136051985,-176.943555903068,-167.573686872638,-158.670492779827
107.802504736563,-25165.0594625885,-176.161295844911,-42907.9222574016,-204.712382881757,-183.317065062016,-180.088686438714
-435.897150983277,-24517.5777797049,-303.793471584149,-44010.9899286123,-301.883894628991,-296.217126997348,-241.74904959034
101.993397764363,-25165.6000252415,-328.680963121573,-45598.903127788,-347.994191984231,-433.475128560181,-356.650378560094
65.4877403021819,-27635.6721349805,-175.131531084895,-44497.3611092033,-226.357291747758,-273.67799586842,-229.45139467479
-83.9463057433459,-27675.2593361456,-199.080723638646,-45814.6614190506,-228.659774833708,-245.759335095776,-197.361096165201
289.868210017885,-27687.0277034281,-197.946438701532,-46466.2005044117,-263.260588230565,-265.426464441727,-328.286410480563
-68.4048870125407,-29822.7193030626,-286.228137188809,-46775.6122243023,-266.41675678613,-293.794430310423,-195.214019939667
81.3718509171886,-27912.2215630013,-161.138773275081,-47764.8472920068,-248.67030020013,-240.445010013878,-148.261265704889
-124.929921155241,-28433.0142257872,-149.720082567641,-50626.1376003553,-92.9954198445121,-97.4235807449222,-149.936071675038
117.274820067862,-29815.8211269453,-292.337655449235,-49869.983364876,-254.58042653805,-213.022673815371,-206.238960051764
181.597945347981,-28034.6131702488,-379.549569298586,-51982.9852436228,-305.999568802986,-275.090321891301,-314.013999289979
-298.001847661926,-27607.8899071038,-237.415141557991,-56694.7719638524,-212.371952134046,-163.059614167403,-242.626123526788
119.616920529166,-27802.9433570853,-88.1721538495331,-56658.3619440558,-115.008832876718,-279.303400668403,-126.153270137518
-196.806909821054,-26201.5032037785,-13.8126689361743,-57007.3510821839,-57.364519270559,-107.029244468165,-75.5012887256453
374.873903757492,-26364.5947729619,-348.238138097804,-55439.5585627016,-370.283452889435,-505.837471184263,-344.193296352067
-79.7474445412663,-26957.3285131368,-41.7864570290185,-53721.0772575954,-114.937741142479,-55.9060222224507,-56.7890639272518
158.03684605821,-28433.6003485703,-195.979536976229,-55318.9142919098,-273.833088985033,-394.842365820143,-204.773294387909
-189.45079030325,-29854.8512019372,-91.58568550778,-56336.2031326378,-170.240361910328,-76.8798953517507,-80.0328057154256
-306.393712039596,-32120.7359922672,-200.71735797725,-56769.7557669506,-218.448716507475,-249.963985849354,-257.469362908829
-201.700092525643,-31981.8422655819,-201.921641166206,-56765.7575848586,-129.424768707497,-205.053673804898,-132.476445079648
-624.832647927047,-30937.2844751282,-13.7148272281192,-55121.5771739671,-110.752080529215,6.81314828508766,-96.4080126322879
-40.7015583897301,-29558.8482627703,-298.350907004366,-55488.3849550254,-332.902373803372,-264.690899838737,-300.40662349412
-207.17131111279,-31304.3094628385,-293.006124745138,-53921.3698540362,-376.56989748215,-431.318867738165,-413.102939354081
-187.343340667641,-32611.1754392838,-74.0233532294078,-53102.2149080575,-34.4053904082612,-19.5705959290499,-60.3598456578261
12.3416123911957,-31448.7481710682,-190.137669160205,-53620.3254289913,-157.74135961631,-225.060477766645,-240.701305631883
139.890773016668,-32763.514679766,-209.155251793301,-53564.3709235866,-163.870878291724,-264.605765620865,-182.76493081123
-6.07187512164455,-33954.1914225578,-173.024684113723,-53305.4578269505,-291.079133232415,-201.505831087154,-313.376830358437
-210.379160182973,-35122.2854878434,-148.203148830151,-52476.4219674785,-196.614003224822,-151.170353881564,-167.399677367677
58.7852234204729,-35498.453423741,-277.57629149704,-50320.9384173725,-340.157440801719,-266.438798972813,-208.904612074755
-328.621783221239,-33883.6929177165,-236.612784756866,-49531.6658762179,-199.569576021298,-297.111659287875,-256.871985346792
-401.582241092896,-30757.6696633204,-94.6236162587811,-45320.3865139671,-142.868085911672,-103.830370874246,-169.258231845655
-84.0469132695725,-32265.2364324846,-199.325662084462,-47352.6039287396,-221.700786821806,-149.814520662159,-218.504666528693
9.63964557008876,-29719.0985277486,-121.441595979879,-48272.022197319,-218.573470430507,-200.004579702625,-183.202712436832
-88.2816046152439,-29574.8534356514,-66.5930979685058,-49485.0192351298,-157.101694122801,-155.46854793169,-159.120641209377
-277.436701524435,-31294.8067681111,-12.5168616556257,-49506.7345320632,-62.3440353933547,-167.448944032585,-80.0431646183351
-98.2688805918442,-33079.6052263885,-113.203340113534,-48399.809633656,-78.7497666586351,-43.3507254838878,-102.957121544925
-166.920974481647,-33215.506088255,21.3638514177255,-49271.0377690591,-26.3019867716357,-24.3024502467306,-13.207970880736
-1.90217796747675,-34156.2217983782,-127.424864891323,-48835.0903547601,-108.346467865165,-96.2245444139699,-95.6309388053924
-75.7775791009481,-33849.7743163404,-50.6444090047589,-47982.4262228249,-86.8340664906427,-65.335062835562,-105.349742188962
-16.7197220554226,-34841.8375830713,-84.454337350995,-47590.6797811964,-126.009444408555,-128.048883411058,-133.358002553738
-101.322246755139,-35413.4856182684,-175.897820761173,-48074.7210088294,-141.480254075806,-106.909708033578,-97.3311270816703
67.4623899624567,-36438.0209661442,-59.497277418559,-45582.6755488659,-47.7302069212601,-25.6904098246887,-23.1807181809563
-198.58115064475,-35360.0653469566,-27.5723694645967,-47170.3154374046,15.4086720777123,16.7327849505091,-4.96540161964367
-88.4175922117793,-36291.2519041871,-67.8250064480671,-47936.6874430842,-119.561645671674,-132.662698594504,-75.9838781342564
-78.5287764339955,-36050.8364001304,-115.54179064426,-48243.8931639819,-170.049929086439,-171.490459427732,-149.749676962383
13.7559494600282,-36408.3235937727,-123.226119959363,-48057.0621194183,-136.939257230966,-125.587212097715,-164.280913820141
-94.7911398278957,-33817.9014287569,-108.188121221458,-48937.763902448,-127.146440289391,-186.465825200669,-89.4065238330368
166.739148881868,-33200.834399559,-163.963422218105,-48722.1547120798,-190.346581023434,-113.736150678078,-206.234472556287
45.010963608569,-35470.9141430269,-276.536818484019,-50507.8393792628,-331.722143550389,-301.540305787457,-405.018380631576
-531.082141403596,-33885.2035077817,-85.2451945214052,-51618.3552773014,-178.475243511108,-177.426926588872,-317.473758416498
-357.239976701581,-32052.337164987,35.5793742399692,-51666.2630474345,55.6201108374316,-2.53265729467967,72.1399606493324
-245.030523657842,-32362.7077763945,-86.4246874794189,-50850.19332473,-97.1684163319114,-172.503037303017,-195.829722603612
41.0429344479926,-33944.9302083736,-233.527579453745,-51639.663229349,-220.930042682608,-285.185046021012,-232.579139809299
381.664072931278,-35557.781177259,-327.065028801633,-53269.9737945831,-275.422618195822,-192.211094500861,-234.048498752512
-131.315707989605,-34007.3031641163,-141.231437859969,-52024.8842148514,-97.8438373847748,-79.69787714005,-59.2541485755901
-148.386122066906,-36247.5251455376,-142.566546562623,-50709.7370472504,-119.126457797291,-161.388962838188,-71.9766042428382
-35.3849982545507,-35986.3741259467,-158.635130825911,-51291.7770029937,-143.672489560267,-172.066919187623,-218.394003261841
-187.514102426481,-36197.574644569,-13.3990923653982,-51213.6646846548,-130.565693640408,-197.173500279408,-105.969775249543
-200.268923670774,-36077.3930693789,-191.951339106075,-49967.9790150967,-261.030695755253,-229.153755077729,-353.739352740966
-12.124785748696,-34071.4117732369,-304.924299185237,-48789.8746777143,-372.407117663693,-316.967267460059,-380.692468060617
-378.795209819909,-35130.456696126,-309.933497031365,-50969.5586957537,-206.394127346386,-151.172894063144,-195.136565647699
-109.607277480856,-33497.007866758,-161.878307031991,-52337.6509133483,-180.715441656774,-78.3796491821959,-211.914779037979
94.337252804864,-32792.8956713614,-156.933024337769,-53911.4009054582,-144.621275667218,-178.486619196716,-140.974687634247
-633.178158085189,-32853.1463003616,-288.659492491453,-56704.6821107892,-206.481000605942,-246.260768029242,-265.290924092289
-195.792536212291,-33004.9774966872,-221.204388074383,-57623.2505656106,-186.901910615154,-57.9646565580042,-208.927922664589
-602.958789879092,-34308.9275595609,-115.813137407051,-57748.2022053092,-108.925991340599,-81.7912342469026,-199.268263347331
124.408199961224,-34407.5088320025,-147.102255974532,-60178.1519532267,-125.492186707474,-27.2001656241337,-26.1627894189587
136.451698324701,-36406.137208669,-193.433175456605,-58959.9768540844,-190.322973217917,-198.860314882702,-152.900211588465
-386.194856586721,-38229.2064017841,-178.136416700756,-58843.0114564535,-106.807814367319,-123.963321863353,-143.980393820761
-363.915366697565,-38772.8220607044,-51.0117142168747,-59135.4178672749,-93.483634337681,-273.743174863299,-125.292123939376
-158.199956868935,-42676.7520148136,-239.828823191805,-59061.0473914482,-235.069490529735,-252.180580346947,-188.906207480104
-307.955437396005,-42072.2109706122,-115.091117855889,-60127.0249836451,-224.431284571183,-202.479805092735,-260.372747266287
-230.648554211279,-42250.0234734048,-172.201813531254,-61397.0381927081,-126.626868493571,-130.634837860861,-205.829471627745
-110.104020721905,-43352.1426394935,-187.926768146506,-62431.6749880989,-197.005280059654,-274.931095805747,-198.640180028946
-243.498159665003,-43865.8070306491,-209.121082687787,-64275.1914516284,-256.850515691971,-292.01866191865,-232.836574553614
-260.138572056385,-42335.737727684,-354.144021081011,-67328.0706903068,-299.130211429467,-188.175901715338,-219.779549744337
-19.0232771953742,-43337.5795777179,-301.686967983165,-64713.7877882691,-236.116738449724,-145.22544203432,-312.836492413167
341.324632767428,-40536.2417839395,-331.651968914262,-66607.5396935966,-354.677596061432,-449.674705776037,-332.28617781408
22.180737388951,-42334.1108491731,-140.383759541211,-63462.5185398595,-269.424866013385,-373.957512453915,-240.3415912253
-156.830966272959,-43813.0397776276,-278.230239746015,-64341.8985815291,-295.908574224595,-402.426596296369,-320.349554399552
126.282479893649,-43525.6162159538,-273.088946761043,-64660.7736370442,-305.88965178869,-192.323746471347,-366.706887502078
-219.675265625556,-47094.8989607216,-302.227050205525,-63894.7166872314,-275.874325691839,-239.040144695347,-247.251140787703
13.4229715081931,-46820.8681144987,-238.082627463737,-61833.0604613571,-196.297046559033,-161.882961583804,-215.135369619544
-104.091049656912,-45748.4847815226,-149.333047984954,-64293.9538088222,-132.937089731058,-21.9400908959651,-128.979176122683
