(Intercept),NAC1,PC,SPI1,GP,FWA,MR,TSP1
-326.107978768916,77.17910704104,-89.1462874847275,-133.59758562909,31.681867224881,18.4293765469993,3782.7749410714,-140.631519917435
-404.027035275562,105.160989047062,-77.5451098465855,-244.285161765012,54.8149966108322,33.1127542287759,943.847869949735,-167.743572343743
-228.350255704827,207.736452179284,-16.9637964235153,-192.076142143735,13.3152292237646,73.9034625352215,347.544712592419,-58.4246405105223
-122.309392350435,171.479968081956,-52.1386206745519,-110.79387068197,103.151143280207,26.4565032105893,2657.44627002478,-190.495508100976
-1335.39081362668,128.142671218375,-62.0187075860522,-138.478977616818,120.913762785942,-39.7046264665687,-9770.62520133026,-139.818759585934
129.856740976422,163.063900130132,-24.9396074068518,-254.931070914929,81.1075971052342,85.465764088975,4904.07075444673,-215.3308402605
318.387619664849,69.3390171752653,-72.383873155035,-92.3644133401103,146.873364770305,-10.676306505542,6549.224938114,-212.040714645577
-705.338681941241,85.7855101854948,14.7881687316985,-132.98315496937,40.8859963334253,29.582003151052,-8638.64036750551,26.9411895949743
-811.539861328471,109.952890801109,-24.0662552828871,-190.809836419445,60.1301281454216,45.2312184136536,-9233.60992251238,-64.3114454688039
-925.229275082995,110.949551635727,-41.770429915312,-220.539084486867,76.7365420908027,12.6590923803742,-10248.0201752182,-50.005993318744
-984.206869223369,63.5949097638077,-73.9563684967143,-87.6648788243765,57.0795081281976,-1.99854293799945,-16491.8367658243,-115.427384511589
-919.049432293483,229.345464823295,22.416606651117,-236.616299355897,45.3963037168178,4.85077907609229,-9539.46156856601,-76.0549049132096
-536.132073916495,183.315447069115,-60.4899641003212,-267.617311891666,109.479760539933,10.9801394694732,-4783.69683630262,-130.795938331983
-359.328034699345,159.374789412017,9.98844495739104,-177.097320628251,43.2978259250413,33.3713601714699,-4643.75489556045,67.6261546063324
-1179.852972075,137.752758658564,-27.463136127466,-146.229913959905,32.1082115547833,-15.5635210221953,-11455.8494286693,9.2062706216484
-476.869928933895,142.363559958365,32.0092194553072,-295.709716084893,80.7184505218174,32.0772046839096,-3065.07103339056,-44.8957081313565
-507.539886547282,136.427906307625,-125.183395487333,-234.030758203473,40.9423068887845,21.5933733380662,-9064.26399009065,-228.350917621428
-289.604166092875,77.5356028739425,-14.2648390731774,-54.1871427084989,97.4915862180351,37.5234361895102,-5411.35444653849,-115.609616535483
-1304.66710385072,121.652141353072,-67.9078075901052,-216.626686525211,97.7708754393097,9.59253482383792,-17942.8586339733,-75.0593574933882
431.063837664451,138.41909109056,30.414007153704,-174.055177081529,93.5240789516683,38.0900530764816,9611.13941620235,-87.202805405228
-621.780034885342,150.811410525129,-36.5751046491059,-307.545264415813,-9.19710122019751,17.6263498493063,-1305.4899892652,108.380432204172
-628.53604612605,175.863592909031,-13.0982490082388,-167.843631532407,8.2458351692112,53.3127973865412,-7101.01647458567,26.4133848635247
-1621.4141837589,271.03587239093,-142.060590021909,-424.267828352284,12.879579322218,-17.3746365195148,-23131.2044541355,74.6277459631019
-1231.25879447907,180.73797513207,-84.1612131483707,-241.07584265052,67.4253648458471,-31.5866458347627,-17848.7724598652,-36.9241600304958
-968.127797448658,232.806176046033,-40.3311097000551,-230.347872244987,47.6921775836818,26.600468264427,-5377.48313724407,-143.372886091922
-1161.46938288864,240.577509970324,-62.3803446839593,-190.744692795153,94.9735187991173,-1.60937482975714,-13602.6330862979,-78.2800004714518
-690.708177702523,196.349828632287,-60.3041714313695,-279.115036853058,36.019676058786,68.1458172486164,-5150.01626944077,-111.648879469787
-1082.35216998545,241.587895134098,-106.793922215969,-255.073643223674,-18.032564777699,59.1534444908258,-13195.4784482864,-16.46627476508
-657.835162631876,222.809073101802,39.3453878828223,-267.14445936765,52.2827780960906,-14.2085702760378,-5579.55705149659,13.5586608424055
-1628.64248571658,158.407559352934,-173.253130050638,-291.004826791155,17.8333342952646,-8.63035358608795,-21776.5559334457,-42.8234189257782
-1522.22139563349,190.426925216241,-13.7344163082671,-135.368085710768,59.1844194055084,-17.447614023371,-20162.1914251268,68.8007640703145
-142.9607269103,128.66952872416,-69.5332054179016,-238.904635745035,4.68926896870835,24.9311289546895,201.229850953605,-60.5827011602232
-577.893777505029,96.7809175480797,-140.445807704447,-98.4283210980502,33.7525910812001,17.7431980439251,-8566.96171560962,-53.4027355783182
-815.581911837449,93.8099755523144,-32.5279591943836,-207.629847142642,71.8246929837333,10.0436169426976,-13146.5266779044,-88.5340208192647
-630.653720631913,201.100269718925,-23.060953281496,-255.322603557557,83.4478744027874,-12.5461881084557,-11376.1920014317,-126.731398868678
-390.525000496593,213.155259322288,-89.4968611298973,-286.378981673784,34.6244486028154,5.59271903672197,-7389.01050562319,-47.8389848165752
-336.528391285523,136.720511720221,22.2439924963182,-220.199595978047,90.7953447937398,-2.05667734944382,-4315.97692300905,-54.5079314874238
79.7936340724846,43.944066122247,-85.4752318513056,-254.861186418828,74.3559352158118,19.9849384582194,4558.50346311799,-234.370420863415
-857.655459676957,101.233268716136,-61.8195221911665,-114.140346228,65.9280818445532,35.7480014886969,-8940.72480517553,-189.707425532284
-520.86917157135,134.729358454948,-62.3950029867119,-132.605596479179,17.4886781918322,57.6238311407142,-3893.41074980595,-52.5248991469271
-791.710167996527,104.58538477982,-133.263661946774,-268.88685148591,60.071657322238,27.3415429687957,-8431.58324069898,-144.967911353975
-604.137150945171,205.513962002311,-106.212132285378,-373.479314931858,72.2530156856374,78.3268485914159,-1729.94021239165,-298.401839521131
81.5882212434954,134.354037999132,-27.587613247335,-256.009941506018,108.896613681707,25.1971264175663,2032.34675661723,-154.194502776234
-68.6255074448127,109.082011857525,55.3907344598827,-54.935201316679,105.641056817491,82.1316184060779,-1600.00319118804,26.6892981632918
-129.411795689288,127.584674874648,-48.5860055928351,-292.502155927163,111.240855558804,-9.00290928527829,-2125.37485233907,-74.3510896916705
-1210.07896763989,63.0331159628986,-93.1002927551453,-199.61804019032,29.2530514219907,69.1066409922969,-12783.4565403979,-106.63234935276
447.779792185655,82.3529149439128,-14.2305217238609,-177.041034583686,152.137083166592,8.81905428876053,3861.62412073227,-227.073703519403
