(Intercept),SDT1
-226.268263439415,-56.1747482729625
-272.791332218934,-107.14276606591
-613.883225832222,-195.411790365179
-273.626644017568,-64.2612809268467
-229.7459838676,-75.3875930567774
-151.476658401503,-145.881204173638
-167.555824744515,-81.2656426880858
-83.267242182832,-107.749527629254
-91.9494970628875,-43.2604297143425
-474.313334057748,-93.9488576203003
-899.947912404867,-138.9299990123
-194.728499950419,-154.017391735528
-171.520217061829,-106.288878706352
-637.841862597648,-107.414685820637
-481.192107381765,-40.5892971932044
-208.980589662329,-140.771304325666
-382.941570952113,-64.2880520416365
-256.760436157689,-72.7304835500254
-418.308979536952,-49.8301122515113
-254.90495481299,-68.3842859711149
-404.357954898616,-157.226152159972
-268.656172861316,-131.833526050745
-1099.71492613109,-101.761251959186
49.4153273634729,-101.918286594329
-311.010974317018,-52.2533789493482
-492.961386825918,-88.9027701037703
-441.002903406785,-84.490979462309
-136.707980762774,-167.757602560407
53.2283873444976,-104.676855383954
-624.51425971141,-88.8370363346039
-287.324223225329,-101.658566129117
-92.8413332151958,-125.585049244575
-91.1468289724726,-50.5527507972511
-272.957399767083,-122.793842335057
-372.883315863837,-90.2621956547955
-272.041455103943,-119.847452229253
-120.537209169404,-57.3172636706804
-332.428825637748,-71.4612843067735
-341.864954568249,-77.0655981115851
124.716934842931,-143.529876140601
144.329827958813,-136.746219884109
-355.470557601162,-79.7565563686949
-50.1289771759475,-59.4365661718111
-522.662525876789,-97.6608896153375
-222.55372879171,-50.0584309409605
-294.269661195824,-34.2057457682095
-466.580036867119,-122.375333736926
-611.065896350978,-112.319379543911
-568.842954575754,-147.561228194747
-248.698073362088,-147.474702874737
-496.258344129412,-119.787384619907
-485.430624560046,-125.30691088381
-186.20053660134,-120.892025347719
-313.130874602241,-55.5670536482066
-260.426559818763,-33.3874617036636
-261.841286028532,-58.3954931594017
37.094925008616,-104.674795194966
-156.907023358959,-88.9663698901895
-326.43173088436,-36.3735452510009
-64.2639443489534,-106.066158283631
-553.417007785451,-96.8076418472701
-174.9321854497,-77.1781303249518
-453.560367773869,-106.344391136648
-350.844860098536,-63.9310295393807
-449.250045723544,-89.7791929545201
-558.629578295804,-92.4969696316111
-322.84846230282,-171.916653552311
-215.625394181872,20.5845874944062
232.133319773391,-115.313497589857
-353.00878405929,-112.833610379021
-392.638916548254,-81.806235893433
-261.596804306435,-71.8672312793205
-225.42883617177,-113.6019859956
-590.933304603357,-68.199134736773
-436.999692887886,-120.135661675835
-531.899459993467,-116.016429957624
-931.574050230913,-83.8462912191899
-258.909217102104,-32.2587128947489
-251.374736814945,-83.7520408645796
-145.595762183715,-150.28238845685
-461.038762569355,-98.7166858146375
11.7152633738951,-65.7879806405108
-387.819441147571,-98.0692771341128
-162.99688748522,-43.0853678670537
-171.465433005431,-32.13516566205
-363.614067068411,-107.526018685967
-141.01911256621,-37.5271001149667
-127.083942101475,-22.2217615268382
-220.530826192582,-55.2718231561885
-79.7775616977742,-21.6020354173888
-318.0072523657,-68.929828407272
-159.76467556876,-89.8720878018648
-90.0173007230004,-57.4628322137432
-169.841108224369,-80.8078194502159
-99.1608598701423,-45.0900849957907
54.1358005992661,-66.4653949904605
-54.240798418894,-20.4081039201265
-113.162991088204,-20.2725568155292
-221.503684602125,-10.4685669988758
-110.83572688666,-81.1075496509584
-214.073929364909,-54.0827366440644
-59.2495160615872,-38.7619480536014
-153.405569913593,-68.0751472358845
-90.5692227014079,-86.7070492908388
-162.273804174009,-130.746105940721
-284.628579364391,-40.2886094343921
-108.273488490624,-75.5293692858468
-71.1648702092689,-10.4814024435436
-138.75705022928,-20.0567174215103
-567.692584788194,-113.104527604766
-332.449347984086,-102.758158945828
-305.270370195198,-49.0600561586471
-121.075596428433,-119.292140636069
-180.147663357318,-48.2489313830665
-287.653673063867,-48.3097472770023
-294.447341443527,-66.0074965249223
-106.310478298648,-62.011307138484
-326.335704948193,-92.4850754539075
-343.062884115177,-109.463649443522
-182.652750575347,-86.8665907355171
-201.488993886516,-119.54636248383
-137.520566569699,-62.8763397448392
-194.651157363362,-29.2498748787143
-155.676655590547,-38.5985243292926
-132.282943536906,-100.219512621268
-491.239285815012,-134.979863971806
-182.277581007394,-74.3084423550172
-370.225373973357,-83.2959586226461
-167.716959423167,28.836356376094
-542.824139955759,-117.691769171943
-153.743046431107,-78.5823405127157
-204.740297626238,-85.7418796963102
-425.707080120963,-94.4202039811062
-477.204630267719,-81.2911776898254
-127.152832573773,-70.1871822638786
-361.364049666765,-107.001053895896
-44.4199415656039,-63.4068182564952
-476.466278672277,-84.9278980792151
-55.8715884552748,-4.77034804850337
-138.9987915647,-58.0376615572895
-147.813851396771,-78.6227055641939
-301.475372797635,-57.9822416950992
-137.939284656008,-73.8052245982108
-111.14258248538,-95.4686822180738
-63.3452956633155,-83.4047988350067
-245.112732728448,-64.5503831955175
-584.624898440077,-80.4732976177183
-111.25936390055,-90.3550080827708
-359.909135124981,-54.2030479145469
-595.422577432968,-62.6403819080442
29.8763737792469,-127.979026185872
-135.569502522078,-114.242999924376
-167.204262662774,-112.182674985965
-63.5195910563598,-78.426906643901
-160.824194523218,-15.6227204847928
-127.776522871703,-74.3793855377007
-158.398794608045,-63.1633737518714
-288.363861940787,-92.2615535475197
-1.47647187386247,-85.5055057812024
-253.118502614641,-58.8825167995165
-155.360019855085,-53.0384149500023
-16.0931759008308,-76.8539165157708
-219.719169052318,-51.5502418933756
-302.293409527959,-83.7735082407598
67.5043148453697,-89.7265292109805
-339.351603050833,-86.3105285833371
-273.251609648607,-54.1355493126321
-360.851272861299,-81.4012479856683
-154.874888162638,-32.276852862442
-38.3636308712448,-89.3965146694463
-216.059374729011,-73.7912262857135
-190.28740242371,-102.860161880861
-151.213946608739,-48.0309195989685
264.531027703721,-16.6094732532802
-198.998796741682,-58.8409670402034
33.394324011555,-41.5571510458831
-19.9723920775141,-51.8038482677875
-70.103350826801,-72.3006648670489
-284.56808890088,-72.5308277887598
-236.678403240046,-106.182440923229
-700.725757272841,-32.1553928533685
-431.72665232203,-143.039213249198
-135.985648045615,-201.974870188977
-670.816270722338,-88.1364520119751
-562.205513399676,-127.743781394231
-288.275359341736,-105.214749388921
-403.155474791045,-111.332059872162
-125.807458291267,-110.449555882136
-313.871601150509,-105.484705923329
-414.69237671647,-115.818001729698
-151.013837586157,-36.0093588066375
-222.161741217074,-54.3624825945299
-164.905221158726,-91.8545034171402
-124.814404524244,-71.0149666512916
-214.100583055406,-62.9354585035326
55.3521054845696,-31.6519480876486
-282.317753535754,-15.1184860268186
-63.8933044596488,-42.2254785823243
-18.7877766275051,-48.2402281180839
-100.181476277463,-14.5226677186511
-116.207405016452,-5.94444673025282
-29.1103358120345,-36.3957003904943
-13.6015249580669,-38.241965170102
-31.6104122398683,-32.5069842949488
-145.788170312706,-13.3603816871473
-138.947850809287,-11.8700894727881
-247.196435951075,-53.5407659005723
-64.4941848606904,-25.801586700647
-113.341994615657,-31.5789833572053
-22.2803142863268,-30.5194734206889
-56.976371128927,-34.5768305668025
-40.3928115788149,-19.5531250388303
-127.087282032706,-17.3751469015915
-147.132223746652,-21.138343744693
-65.8339293705358,-13.3735996981413
-88.0430606411464,-18.9369648905849
-42.3911700534518,-60.4728669803872
-217.762209830747,-51.7414965934149
-204.742021042461,-99.85796307891
-89.0530663795216,-56.9512198907541
-135.958523285059,-14.816281224761
-259.512554696114,-11.7467832225057
-196.365892589121,-27.6994656459137
-151.214884725749,-24.554973013026
-22.9050942402828,-38.564578782707
-197.773557222303,-64.9963461034858
-221.114750239387,-73.3838617178844
-226.418382246091,-21.2801873282733
-174.084055241663,-66.7378316798422
-378.446065848577,-19.342354287226
-289.452403597796,-62.5721905951441
-266.266758458034,-92.276194764454
-191.708625366649,-76.0833879106176
-423.339372605609,18.7375489671067
53.6872772011193,-103.1157301117
-505.807586786759,-38.0941160537186
-294.571338560127,-85.2317664018774
-264.615654167909,-86.6039259847457
-114.355854719295,-78.8862613872843
-364.659383565082,-69.4230607662175
-309.76140795571,-75.3115316135227
-610.411025472378,-86.3914812628586
-88.8204445242882,-148.794235894087
10.6740416270295,-22.2576616063161
-391.009994740045,11.8962741359137
-524.22691875173,-42.4185987925885
-308.401271394585,-68.2991474454902
-195.425104030981,-107.891311700077
-76.2158167842281,-68.0816479678033
-429.611000975199,-115.242529311465
-78.7613156597324,-106.449760774703
11.0677363320556,-136.34527847977
-215.511485131498,-69.5963686303585
-130.289485672896,-50.401114731023
-547.954513817487,-104.389955108418
-474.969584587874,-29.1402177178861
-692.891440865213,-74.1603314690165
-160.219463600777,-2.18041666986028
-174.831349480504,-30.9872800820594
-203.637489921079,-100.769478919348
30.9134403845092,-80.7835003594228
-380.633592657952,-66.4873461444513
-427.858060540151,-10.6349419131002
-543.12205333999,-9.32208621496102
-482.433869021692,-160.419591750251
-246.31771732097,-79.1725785568487
-195.443640732134,-36.5830869921483
-402.59654628617,-146.388763366756
-236.325945328717,-113.3705808308
23.2809264366369,-60.5966998501681
-165.32290476912,-97.6913268713361
-120.894130462271,-53.5512493929418
-434.283395450286,-37.5363607977197
-0.246086928062141,-31.1892166565085
-270.142248821889,-90.2860304303977
-145.269064278429,-47.9656656370498
-261.971160901317,-80.3072978166774
-0.00430744787445292,-98.3957686251961
-515.506209644809,-71.0488340371812
-133.290208497652,-40.358032396929
8.18760275400564,-168.093919975658
-34.0941668677697,-96.4942827255582
-263.258326361858,-50.5822822286864
-149.736356482281,-47.8686772215078
-170.645019046962,-22.0286423624202
-110.880472602708,-46.5848532698153
-138.798506676125,-11.7295112008869
-101.298620555928,-53.0598792080127
-72.2236545898704,-6.82490607294312
-84.9947205720127,-42.7962426231243
-145.349546598945,-18.8736174007063
-87.6085654205235,-25.9364672574739
-3.77227192051214,-36.8206881693623
-168.860386222914,-30.9273734657436
-85.9494118206821,-43.6312766250012
-55.7658025172568,-35.4810511387404
-358.080115511912,-85.1352114049077
-192.704596159387,-58.9364223929324
188.524295993411,-53.137650741468
-162.076530000602,-40.5337190635328
-224.858886829999,-78.8653722026793
-241.308416879066,-28.7153961153235
-78.2893957042397,-66.3868607782279
-34.4193738759568,-92.7269858147847
-230.154094841819,-35.1289157536812
-97.5838506074069,-92.2980077233187
-266.469701121281,-97.878970822494
-137.946054537068,-108.019539757661
-165.318423666383,-87.5822941527294
9.59819170420087,-43.0783809364948
-255.181254814903,-75.371507425938
-138.454568839828,-82.0626897098336
-273.718481298154,-85.685333818561
-160.339414987757,-120.955577041168
-103.558524998924,-129.545875855809
-425.580589470061,-130.813426523848
-597.569731350988,-86.5031386079499
-102.105170451217,-29.2397761687753
-206.931136295258,-86.0544811977725
164.277902456935,-53.9171703225948
-115.699208427191,-74.1909555610619
-408.554821807371,-106.387818139818
-326.827465406797,-80.6230361883063
-319.216895493213,-107.626532829076
-188.392015531834,-126.517171918371
-39.1839177815218,-142.405709150582
-370.673434109536,-71.9524032842455
-321.260153176205,-24.6006387517118
-465.186207554827,-13.7463410738683
-126.469448055504,-120.062599350262
-163.656344589603,-130.227462159295
-426.996188549674,-91.7787215322023
-374.158637802615,10.1823465931066
-951.601240923366,-106.155567596579
-974.138843823137,-11.7678812554514
-204.261398530187,1.3951033638441
-918.882357921728,-158.556887379062
-752.936716969452,-65.677200836144
-414.989211869382,-73.7496922260252
-16.9887890828686,-108.295614707837
81.4568099637399,-109.210112343615
-170.443995829351,-119.417663635773
-450.479920126789,-66.675995659185
-287.823937097637,-97.7012232541365
182.536139766933,-146.769173106382
-30.3465126129086,-50.2624112656922
-111.052490887349,-24.2357003105208
-303.455471557303,-79.9720171742592
-333.13062675501,-98.1880818819045
-409.644703121048,-49.1986585756822
-130.963809390778,-121.870652977421
-343.281541624863,-43.8375136202667
-216.735737852985,-58.9049397510535
-229.164314633425,-82.6878700443485
-16.3993833179848,-51.6336998596089
-13.2163506926881,-84.6711700818796
-506.758448744833,-113.613879743221
-118.017472485779,-72.7332538633163
-381.907043968902,-117.08574272813
-68.5317249784021,-119.512519905249
-359.823554930394,-156.806663368683
-1039.72699925053,-81.9262076690211
-360.923517758696,-106.904717161407
-128.895051809697,-106.295381300879
-103.302407273732,2.37013516324805
-522.287033725064,-84.8649978826288
44.9627751477383,-82.2956180775218
-283.396560906031,-2.14341854778104
-542.604874975797,-147.437599751858
-300.142736934307,-100.673483186001
-185.83512180933,-128.024323992933
-122.895227726265,-106.528494542727
-369.792134271906,-42.5363613449222
-205.862304098287,-110.334725500332
-619.998523711241,-47.856473158783
-545.125746176112,-38.8623247483993
-373.124648290082,-150.023140684061
