(Intercept),SDT1
-213.228285263511,-51.2631290205379
-159.649085883488,-21.9219166267721
-169.286017418395,-55.2027978050974
-268.673185274456,-58.8563185658495
-44.8925752903924,-49.8806876706221
-862.164733668644,-55.548130652809
-418.683469217096,11.1653708242375
-151.002244424711,-97.9098040640529
-14.4735640082326,-90.246044249594
-328.108816096283,-52.0530556568337
-71.5209969340867,-89.4917698609061
-255.058726218722,-60.7537861597302
-87.5860348624483,-84.1695066163811
-357.818564575049,-96.6738037494215
-234.635356386297,-89.0048250593736
-183.96668855098,-50.4522695108317
9.91578535882581,-67.7588982716261
-112.005577268996,-105.076537379719
-107.831125609577,-2.75239198512281
-236.78309189649,-93.9430500742019
-199.149455422739,-80.8366500848206
-126.70829727393,-104.044217471281
109.198056351303,-69.1033566177794
-365.946399876149,-44.165115391057
-727.246709148851,-96.8285659680787
-292.692917440669,-16.4566592914198
-108.779375296508,-74.6985873043013
-151.617375727321,-205.775763775455
-3.96605253596499,-114.021198973951
-41.773613120271,-108.430325996422
-76.3408722610038,-65.1687198586951
-172.323361458934,-157.160204927863
-94.424727505957,-81.5377493837441
-219.827256325603,-80.7442278198105
-221.008630098484,-92.6072683490347
-236.537489624374,-46.426117728879
-302.983212118026,-31.3036992002671
-53.7603969592601,-51.9763144294993
-239.109687197502,-87.7998758656686
-269.257141824623,-103.681416302497
-729.588268889493,-102.288301031804
-573.582580378818,-93.2274379564624
-190.468340137799,-34.6984599248972
-313.983928604801,-129.13237785791
-726.99014954071,-49.921292018611
-673.650046635754,-99.4137155879871
-429.095504256271,-96.012952745863
-585.257803099652,-41.7465884477997
-233.535818179254,-140.618268301769
-65.1387807067949,-128.843754321948
-480.687687550322,-125.271025439622
-301.011585050001,-81.8421476697258
-719.777562264411,-21.7469874956732
-67.0702183122921,-76.8583297318546
-450.265340365549,-74.6935506320442
-3.20200077650952,-67.0317153805809
-0.945828995056218,-70.5531565462879
-136.402279344438,-38.1872871975356
-31.2947772575426,-22.0840373492811
-54.7774505032576,-46.7655184720497
-107.803216399538,-69.6070530879661
-96.4297514770878,-54.1784776980203
-113.020734031303,-73.9305805088807
-347.082458027797,-48.9278277394187
-251.603000420746,-86.8810119704067
-46.7091492173931,-52.6145415519859
-77.731307525828,-1.05635640066612
-10.7706009124813,-39.0042900391563
-365.732962884271,-67.6121997257651
-18.6488716853746,-67.166659751907
-4.19628720727633,-34.1616562852505
-298.851490352343,-85.1014402890578
-49.2070020134634,-35.9754556443659
-134.264888995123,-17.5681022398057
-89.0285698869557,-17.095697372657
-92.4980953733957,-44.1856171781619
-164.205384523084,-42.2224553174165
-57.9123917924589,-20.6321466880108
-127.321203255183,-84.0699457560768
-153.695005918809,-53.4063957686594
-177.869465860509,-66.2586714484423
-299.460220481495,-48.7060139126843
-177.124353798812,-73.0693750168703
-144.583962407841,-59.0244867369038
-177.711644178285,-51.2236152004898
64.4981600884785,-44.9256012867554
-271.993141195031,-55.1635601053567
-83.8008313635728,-69.4941995731278
-204.69932109346,-43.8775642255496
-15.5761947285428,-7.68770809404668
-67.5592498789338,-23.8780259300838
-187.046569410921,-7.95266424046713
-207.817339410583,-73.6605103789152
-157.514541329234,-20.0590134810354
-180.136005693816,-10.8423806268693
-87.8064391133812,-51.5640154594093
-165.659208920551,-36.5590354256128
-219.694510870206,-35.6761981526797
-76.9093161216297,-63.2301486455253
-300.153950955937,-88.473468870885
-339.491650541197,-47.6348799302359
-80.360015162194,19.2594121371585
8.97287692669488,-58.4960070658708
-260.337113119196,-69.4348646785511
-615.683920853102,-9.60753150754317
-368.037503283354,-35.2749584164994
-142.607098501132,-77.3853785469546
-160.809019566237,-85.0483112893926
-190.811515590533,-114.538178957409
-281.268378102919,-129.855381416375
-412.887366378015,-193.477903368224
-231.376154643047,-59.8098194962367
-230.2598028379,-114.591533990701
-392.689890283429,-86.8934311936609
-323.410680411704,-22.3492815420905
-141.790657831414,-68.348586046417
-283.493226392327,-107.039461665181
-251.848434826694,-38.9678696051124
-325.021136848904,-51.3320668325487
-551.90322828482,-68.0246251365606
-54.1093114218093,-168.907875548211
-339.155053193201,-98.5066349452027
-298.858328967937,-97.0936670018709
-419.163125861574,-65.6014016837144
-73.5964950238067,-54.9387468955101
-162.583687194128,-89.9606444387246
-205.918822780877,-51.5568154600041
-414.398710933659,-171.230059086214
-264.15927619956,-88.0095432615053
-476.554201646562,-47.1328267573554
-178.749264807178,-47.5451926211681
-328.677134811053,-95.0989930608266
-266.805590047497,-84.5240015523632
-285.23289727894,-108.01905685672
-296.97698470865,-55.6795826678572
-192.032316119148,-16.3479547800307
-25.3520069324441,-35.4900965190318
-116.245976821578,-17.105913860818
-35.3319492522278,-45.7347880210946
-62.2514742272542,-71.7530724070093
-386.464451860753,-64.8855371561185
-115.694646644522,-83.1242824523069
-87.228077396343,-51.1735368481895
119.570527359756,-171.997225034094
-142.145975851134,-3.32489676214755
-442.710217169406,-77.1142832288169
-42.2062083189367,-139.24692533385
-77.6658691307384,-146.7002017226
-362.628064692853,-48.2445524315699
-396.896396798445,-55.3333505859136
-186.001498828784,-83.7833724196316
-359.121588954527,-79.4418196381303
-707.523849436911,-65.4136239851068
144.815726772096,-73.3420641735866
-437.129793343811,-65.5797232414916
-318.714974588169,-15.113402835208
-620.763827367307,-59.2311379168968
-34.4998280853033,-49.2467061273783
-211.302129410091,-42.5072365259475
-127.06183483405,-160.398253766369
-213.528351618195,-53.4563006529279
-106.625588358555,-118.155843616201
-55.4939381007716,-83.4674568345545
-256.544872376355,-157.465104994576
-97.2388017829653,-145.887205453153
-483.528843712971,19.1403036958945
-338.448573587011,-120.724015970452
-167.713229591995,-115.651612978749
-431.532135846984,-92.0271354549222
179.474659523548,-139.420702112184
-420.356590073396,-86.9181806049492
-38.0908495620097,-123.468251290513
-379.105825082013,-61.2760580870527
-101.396047360991,-105.410797727134
1.64730554604466,-55.5712708966166
-619.958285213317,-14.7492641622375
-255.818602002633,-76.6313381648347
-216.672076291274,-86.6716362155857
-645.213509020366,-111.327792741824
-147.504657370824,-59.7446866249084
-145.660315060042,-90.8365460570039
-223.253883657817,-176.446673705148
-356.487149736897,-65.7293421201612
-143.608307128045,-172.111984439369
-325.602836514066,-77.7776687528531
-529.602155929082,-61.5873232241502
-60.907127907587,-77.7191655657662
-349.343711651785,-97.9841027255752
-273.648097882222,-65.4165980067773
-293.896129141849,-9.50908470684544
-167.237655720746,-118.323043881086
-90.8780778206274,-93.9552021393465
-221.96570622045,-49.1369691160744
156.741234615096,-51.8742677550617
35.8834931129308,-97.7769951953451
-156.578736182009,-159.923536228693
249.450301983743,13.9771263717885
-653.780767651755,-148.671303321462
-566.424607737754,-59.4097525538818
-373.972142014543,-64.1141698422289
-238.547516964289,-96.3332839894065
