(Intercept),SOCSOG,SOCSOL
-152.171034431522,-158.983914553653,-252.379678404064
-81.2713971315843,-83.3374365742729,-279.209317047891
-273.368916159117,-183.16195357684,-202.194918479203
-202.687901671459,-94.4200984124618,-200.756842983777
-163.989326836832,-62.8856782972944,-164.186404817097
-211.910049758972,-34.9537290125008,-163.463070430633
-210.330659282758,-49.8462561179767,-102.616244260233
-89.8497785475047,-46.708946832845,-130.376613536791
-249.392347322777,-64.0685283438506,-134.452141149639
-85.833608686924,-82.9198744372834,-107.636226085615
-13.7969935413712,-24.8211033449443,-163.349732817122
-98.8792273212748,-60.760277620313,-98.5503551131987
-61.7640253140926,-67.8299874374643,-113.231465842895
-50.2162365914264,-54.2294186790823,-92.6447439597105
-124.454910974615,-42.0443266066723,-133.956490609795
-230.547646863328,-73.4705267049958,-212.538343232693
-353.380998130058,-60.1917884283466,-81.504050123971
-228.737524813099,-72.6769438118354,-123.683387963494
-41.6332559909351,-68.9743896502187,-159.165522676918
-165.069676281099,-71.1067044855736,-172.390826535688
-297.544545892903,-68.9070846386458,-151.830813362558
-11.5866459104436,-115.212050398746,-137.322376369586
-226.615638625051,-100.430055163342,-169.588800280733
-200.585674196482,-55.3471573925344,-64.9592941360024
-36.8645264268271,-5.49333724557073,-76.8477437246911
-113.975187061667,-9.66202625209553,-94.5500828447727
-109.749744208037,-48.846891147412,-84.9314602234472
-200.594362574775,-58.0119277288068,-110.107883197765
-36.0790093088654,1.35646516711859,-33.5134065698912
-137.255968599464,-62.6744627281623,-89.5175283994286
-144.381143774197,0.0673644614435034,-35.9355691664023
-105.967049883478,-14.1710140721843,-35.772247861285
-251.486037851473,-57.5056852887647,-105.41115194841
-28.207345210627,-33.719138155604,-63.0765539952845
-61.3032900013368,-53.8468900546141,-97.3984354368731
-77.0752081088576,-44.4637245974445,-83.3821101656467
-54.1592873641785,-43.2779303776333,-67.7242653087014
-45.9620987043554,-47.0417903937014,-53.278418323167
-68.2911923688807,-42.2743975715275,-81.9071814734016
-151.333164126874,-14.7876173370058,-54.1364079501509
8.48707592570463,-23.6023960403036,-47.8680629467126
-111.376842053651,-18.5342132547521,-34.9514367152879
-15.6969691696577,-25.6588910653954,-57.5626794771233
-68.0553699122684,-6.78979088834603,-42.3609084786003
-81.5498847068811,-21.0529506748026,-50.1362911888573
-147.677358991481,-65.2408948823722,-83.0622173353695
-102.621884832384,-60.8314478159009,-90.1825121591246
-154.878861526173,-30.2762982533895,-67.0438013384337
-57.8950102507006,-58.2783774940181,-83.3576168295258
-62.8323721383131,-65.661954347368,-72.0553099313838
-342.908469024114,-29.2761953767913,-113.823215326614
-38.7460607710236,-94.1425856786373,-100.433696106377
-162.727879243917,-46.6263658320086,-97.483490499063
-57.2330983006104,-30.2017484183671,-95.4825072309395
-58.2517180045688,-21.0156072906757,-68.0299683794728
-97.1823929437087,-58.2777273712127,-80.6380104336131
-174.311723826765,-63.1412404159237,-100.21196087165
-166.752641980434,-56.0951899318898,-104.831663793721
-78.4597211095065,-17.6741467468382,-52.6760744749117
-173.679305586673,-56.7435342459903,-120.77183074387
-82.4614131232811,-44.5301631450275,-80.5291147619428
-118.999558190917,-16.089422833742,-72.2465413358004
-135.068087906548,-50.5118432991731,-129.710831225704
-93.6984974343213,-38.7462072205089,-164.750262236827
-148.15359663438,-78.3073545670195,-194.897021833152
-73.1225592130795,-100.457166664644,-274.038490498053
-204.07990792099,-55.5800487093293,-198.103464654909
-87.6362652005191,-62.7419060932298,-96.2425450934243
15.5750144998892,-39.2992204890325,-107.254029809832
-19.4141008709994,-26.1658394982733,-108.98222297746
-198.777267914593,-36.417123416657,-113.491022694499
-108.356138979419,-78.9078130005892,-144.766910660663
-14.7058255395968,-20.3404166426844,-87.8796966896334
-49.205769822991,-25.8437333934417,-62.7272104788281
-130.756912658864,-6.61739121398932,-60.6396992095106
-63.7758324783063,-27.2240829246293,-67.6299799256376
-24.6245828609972,-66.4598457423563,-69.0585276415804
-101.284410853972,-25.9842440555367,-82.2944955506173
-81.3964723309018,-24.8338390159006,-47.0650033864003
-172.471723229392,-48.9889989859785,-78.0731255249993
-86.9101475552015,-47.831388745537,-93.4671010239781
-324.606889019997,-38.2895614742738,-70.279385474696
-70.9126604482881,-32.1627231190741,-102.004025140428
-54.5563930115022,-43.5923052873695,-122.849841594086
-276.229797960477,-15.9753911815787,-54.2542377838417
-217.064211222785,-54.2342191862299,-132.777908506891
-159.504653970303,-20.7794828680017,-110.757985271222
36.9909655771917,-34.6419324851304,-141.447089560097
-105.117367256655,-93.9118083113426,-203.679206052348
-179.246193741419,-48.9367785316717,-98.0134566699126
-273.068505630123,-136.874486916291,-68.5084204050218
-246.638100162199,-47.3943163545337,-208.833712881351
-292.245802268084,-58.7886721331524,-112.565394387988
58.3410803253355,-109.864631429242,-167.040193241177
-263.276040605488,-62.1285212426737,-143.463930469901
-127.467056975525,-66.4474707718036,-92.1838022502925
30.2714808956516,-58.5321279151249,-224.378370858671
-125.323121840833,-50.1068832346791,-180.235180254589
-161.11998627337,-88.0872012130858,-179.9695196502
-146.040633850302,-70.8649202959059,-200.6049396741
-86.6458511692763,-62.321238466131,-162.790924428118
