(Intercept),SOCSOG,SOCSOL
-85.4447890220472,-71.7742468094111,-221.746388462205
-290.566994962697,-85.2204091777312,-122.887334714109
-82.3531835857248,-113.093945083514,-171.15109505484
-410.466382241415,-46.3559192607645,-148.517272414058
-278.383680938885,-191.714182480733,-181.869156578112
-196.677647668861,-5.68268750360585,-165.722120055289
-591.395577255927,-33.8805320694082,-160.108301043139
-221.980770769122,-93.4593917076418,-179.336432939832
51.3831204054586,-140.453480677301,-157.837981269342
-508.771797353576,-106.179484878579,-229.217203575143
245.933685996595,-164.681157911906,-287.157704304453
-705.418069283711,-74.278225666334,-124.609626218764
-394.486026290917,-104.139676123479,-329.77642369768
-97.7237425985732,-77.3933653582353,-267.049482508039
-941.555455230933,-26.9194872001244,-117.257618433636
135.056958372748,-149.145487248526,-179.546973292396
-534.49972526278,-68.1288155953152,-152.575787076536
-222.176851366617,-44.0466783361335,-231.232712927129
-238.953114014599,-117.851747775247,-264.712916634526
-9.15666136876825,-57.4840865393417,-199.510339960685
-144.423141484553,-135.701408877139,-185.06306475119
-84.2832343836199,-76.1944546764862,-157.691334380826
-328.271165661776,-112.652177807435,-173.905189710058
-153.916977896242,-120.209963024994,-117.552172529118
-128.910558113435,-46.4446131471777,-210.096794171121
-85.0499767175643,-25.0882633759174,-158.553841895773
-464.952237310121,-25.1451123314109,-136.270823979998
-209.610032470311,-115.103919085668,-189.740549870869
-160.399235679652,-9.53378586609324,-159.371694239875
-361.804721522611,-107.844081983145,-128.441658878379
-371.354417022041,30.3614886421419,-120.749393128444
-18.7855509583824,-118.907651235597,-242.972345874472
216.340735347098,-71.8769226795703,-215.690504400496
-167.823025333782,-114.897877897114,-208.314449475263
-397.301740633524,-180.83768825185,-265.890367411106
-21.145908362907,-129.432032755256,-229.318493338586
-282.767026815243,-137.299750321021,-186.188587494478
-77.0844918722141,-81.9637162822546,-146.54437990181
-235.528198571643,-54.3501493865115,-183.150315399296
-436.893209569302,-69.9248213827377,-114.14166633923
-84.3542611644898,-99.9329128183017,-289.53241942151
-98.2271474689478,-71.9314806256007,-122.503041728516
-177.751589191481,-172.71400324312,-313.106793571715
-298.832054491533,-23.1367076840834,-102.463974145183
-179.111846102314,-0.0837430989849963,-144.820509031284
-27.1798622346314,-110.17356885437,-196.200350225474
-556.961604233904,-56.4779053877864,-171.256137829652
28.00584358161,-112.429053838358,-348.651782844332
424.110658539314,-235.012685841313,-341.149276110868
-320.713838769989,-55.9900091617455,-189.989995504551
-384.560014154329,-34.3102171029059,-145.780318159814
-49.1294882042566,-4.02546704059932,-180.392282451983
-428.732341167895,-91.3546380616717,-181.366364947844
-298.996231234112,-5.7686706860768,-182.667750689841
-234.113000682959,38.3976284823075,-207.525291062421
-116.574934023258,-166.480046441153,-184.318797753894
-297.776290841633,-137.161819484376,-269.084181534767
170.516686847855,-126.959902535789,-226.457665326787
-157.579809693957,-116.601289810962,-249.776091135936
-285.30210593954,-26.8494613585062,-185.292731916594
217.827146072339,-16.2910742327804,-105.490980196766
-228.317130664494,-142.217456238548,-270.279288863007
18.9864876534484,-91.7598527975279,-259.197809526493
-219.781713742166,-89.05587085156,-91.062349753367
30.2746923128771,-97.4412600568212,-179.056930986568
-230.103699002735,-172.219361562224,-289.765568782001
-154.018349077247,-82.5179342051779,-183.123071459693
-493.783983558035,-82.5503070352424,-188.05511447863
-395.610076169629,-31.3136950302869,-97.4846399486705
32.223165547126,-116.748142944081,-186.798752160779
-567.460374759688,-28.7925044833682,-179.474388344119
253.213992246303,-152.309754318827,-194.335951698362
-369.814042761544,-45.4355370759222,-119.494693848894
-732.215283234807,-36.7340303403616,-150.114718104292
-265.784835866246,-143.824459625261,-276.673765268476
-366.345166442294,-67.3145573465008,-199.79609949619
-334.898639594656,-158.138735024884,-348.40144742318
-648.896029194628,-108.476855869871,-209.650254714183
-442.961799361394,-168.397705249954,-245.41579282756
-500.482441719461,-250.44067281032,-301.323634962318
-54.1884616063617,58.6819983575842,-209.919777627088
-90.6248945182597,-98.4759899217715,-185.749945687829
-194.836578878254,-51.3500029573333,-165.294838480308
-195.644160298223,-118.246011405019,-292.264235652794
-17.9794052802754,-113.665121462338,-266.30008182364
-314.176026834466,-41.5726168073597,-202.201199438045
-183.048702857992,-53.3106291617714,-231.281332786224
-387.47996294935,-67.5433762522734,-125.331417143512
-263.858686484135,-52.4459665759496,-175.885224682395
-296.342314074369,-60.8423088359013,-238.350410259736
-15.0831419856113,-130.07451691712,-138.764146043628
-116.55949374623,-81.7311175431314,-167.568127052538
-243.733982739097,-109.986639511888,-166.487965749635
-362.925497240438,-95.0527418461279,-164.773571637154
133.114966560115,-95.5983180516141,-137.118361158588
-316.412664644959,-186.205763407139,-318.468209887491
-456.104411565771,24.1646701469945,-342.107187361438
39.4187606475971,-124.432464507699,-80.5654057771026
-1513.98311642576,-150.371519343147,-199.163987043066
-225.777669737137,-214.508272852496,-361.088732775621
-562.765895101365,-206.880964528158,-225.396013713624
-453.478028651368,-91.3104205649142,-232.349833788816
43.6258323793882,-134.532640715552,-170.836332963328
-632.782715700603,-82.1949843704424,-229.776094993984
-509.771115303563,-99.2981948470697,-354.649505923422
-561.260098242579,-49.668568052919,-138.769792763662
-117.976094298254,-214.532800177578,-161.135439728532
-17.1457482441037,-152.43670601261,-186.569000471412
-258.357999178437,-177.383714897249,-213.054421702946
-176.88897936733,-17.0377080770995,-235.635435851145
-26.7832723983156,-72.1064610490066,-307.399721329166
25.0664198637387,-1.53607037194888,-243.515132380933
-171.467692369275,-75.2480805417981,-208.035320688723
-488.746199637439,17.8654381221277,-272.115299761761
-717.685616333431,-60.4468220036943,-192.81299171086
-163.353795031682,-43.6148923973524,-213.541628082152
-245.663154618916,-110.452158497385,-217.305592711666
-131.187420624927,-123.594607546343,-242.662770635456
6.04274701556278,-77.4768516899931,-174.758219612704
-107.987157348136,-75.8794106978821,-227.399752864265
38.5434755742399,-119.69780174215,-230.489865654381
-397.630931210413,-96.0885938270221,-164.612855174444
-627.868471870722,-37.9430660920043,-174.232424709407
-416.812193525067,-45.6697610417418,-218.212373865317
-141.749425988426,-84.5789182130829,-261.617224081012
-310.549804513023,-15.4284811452108,-156.330461836624
261.836748275819,-110.932443962098,-290.824812332983
-448.679485607805,9.24088134164049,-242.107684536713
-134.948171638345,-129.421800927521,-301.351948809344
-297.773834096311,-36.7344618311326,-303.436687956666
-262.137239617281,-85.1587060084421,-260.643189786451
-609.612639408282,-61.6368594863416,-122.038179597279
173.416099130249,-72.5881704891799,-176.807717223332
-359.53341526322,-99.6846927252191,-253.581717117282
41.3117244488967,-109.97676739216,-189.36966012678
-179.700432697457,-145.615595201816,-161.204127422243
14.3809343628527,-22.7603439434206,-174.833871729563
-50.881115580909,-96.0810152870908,-161.877126300344
-278.024779038242,-86.5065406179929,-194.545267999551
51.563734227595,-62.1865283282823,-201.537693184408
-139.360949462847,-86.3254773158405,-181.235380727438
355.544330015277,-4.70922052751121,-191.979689704498
-134.777955593541,-36.6754275608801,-148.089269404358
-331.0942884791,-52.4820477058238,-176.773622709632
-209.402580732029,-50.3447906938272,-213.552518023498
-208.194200599166,-106.750015375059,-141.319794026989
-61.0883797490751,-52.0561318532418,-105.928098447603
-244.578359723195,-31.2908160696315,-72.7609132437428
-190.251230633963,-67.7074564097857,-132.391755553006
-105.221494258265,-52.5302333041473,-128.69812707309
-407.28570028871,-101.991347689967,-153.233172833556
-205.022892529247,-45.3703074224177,-195.455238826704
-257.94251004039,-115.373983975427,-168.203605829214
-470.091193896897,-27.9529624639254,-79.0292274050153
-730.134697260354,-105.442150672738,-253.508136222154
-687.954659545088,-81.5144661161467,-197.0903975947
-203.68347795054,-24.076128990273,-197.30682951177
46.6687075671143,-54.4649948638253,-241.070314953773
-185.57488845216,-54.4964525891992,-169.442515267125
-158.964392371185,-3.83854458437418,-96.494008768881
10.0558319377415,-62.8120136657963,-161.851572268904
-173.781713348704,-72.2301412188972,-133.005573211123
-195.873515961779,-158.828218293318,-150.005220260442
-370.715675115891,-69.4403670574684,-107.18303172473
-510.905662036763,-158.110661706189,-194.173001055853
37.4462256381084,-107.711218485361,-210.168951290587
-129.465578647942,-63.1953672830459,-194.190560422474
-342.428384815139,-113.15805971864,-149.730276550181
-248.292301953377,-47.219446800882,-182.117431721097
-221.415367261885,-71.0027671612443,-184.615009354893
