(Intercept),SOCSOG,SOCSOL
-209.833059879864,-54.3180480201263,-227.793389029219
-264.442811132572,-72.4255067686172,-159.496366490494
-296.564889396061,-124.070001601399,-201.247022198172
6.81429687829223,-34.8260961116321,-182.51652793125
-552.498135484435,-59.1079140886141,-184.416037199378
-258.636998773927,-196.032618914294,-265.349445767817
-172.738167651465,-257.921311982376,-279.3193559832
-224.445495049484,-192.742505320739,-327.217588960251
-129.540879142924,-120.080197714735,-266.257059251395
-523.717070650743,-96.2132253891614,-301.811776520641
-207.982918418991,-144.313315258216,-254.870733631917
-34.9333664224469,-106.099706239009,-329.919883827628
-198.631591383746,-71.2345380120714,-177.862101294319
-159.584413576202,-94.1362441302845,-256.739529791077
-101.180433016983,-160.165334591045,-207.468576621468
-122.433043861849,-82.3520399736281,-191.465919065391
-185.208400363306,-105.337380198376,-211.056133725993
-80.7383071684526,-103.277398130085,-175.611098903755
-242.230949568329,-108.180108861648,-227.193734848472
-358.297762611124,-118.680718547403,-187.589905351644
-355.865083260142,-69.4195498645568,-213.36913812362
-347.108517906745,-24.9365077647235,-174.811597387088
-367.817949689139,-97.9622944909788,-182.465689599441
-25.8298319656606,-71.5001757926238,-182.754735974173
-232.226914318751,-81.1018093392049,-210.213817528511
-207.234138526277,-112.168957180169,-174.46880396819
-241.932692504561,-15.3546711142972,-176.581579345802
-102.500987088206,-69.7082007447025,-127.363787960989
160.649521768573,-88.8831119262686,-229.503477449834
-365.703893693348,-20.8941169611353,-181.257382951182
-456.069510473055,-47.5296195630508,-130.2010215138
19.541859596131,-126.326038684652,-225.598835074845
-155.602500231704,-133.508431320402,-299.048510532011
-291.252366140761,-101.954622361925,-261.446552000602
-133.650671457297,-136.179667824501,-234.130094837486
-415.334746884655,-113.33000932014,-321.842422129545
-290.501265371029,-17.1171424157073,-147.714912962241
-404.584455633129,-162.984400351737,-290.978326354336
-355.823831506876,5.11349166926811,-174.871203876399
-255.778456449429,-104.459594896965,-225.969541272396
-195.301812340169,-206.667727461809,-243.521477205446
111.058516488516,-123.665560674854,-198.923458614576
-158.979617098899,-141.851798723379,-203.16710497719
-363.303829311822,-155.591780571238,-283.58732734542
-388.609006886662,4.34415012888348,-122.374204735926
-592.066925239524,-135.142971785903,-194.398507696009
-598.254044487927,-27.201576491163,-147.817456337223
-193.258417587258,-112.613592996041,-184.054312670371
-110.31607130518,-84.8918140406313,-155.868737501602
-391.843945484929,-92.8561951505253,-204.573802060433
-372.785732568729,-61.3941487766365,-158.184791270643
-137.030266225629,-105.228796656076,-177.367062433677
-179.829858961677,-141.476363987749,-289.515696093615
-145.089474718319,-93.7301885509514,-278.105622578238
-16.9163435440419,-98.0629151641915,-204.007654709712
-323.012592721672,-159.787102733011,-311.866684256689
-282.070411269771,-125.383482292003,-150.917382255837
1.12341543973344,-73.7720304808754,-196.114521002193
88.5706217621191,-44.5376309890999,-150.533373602204
-105.601197543292,-113.602306371102,-248.417256523724
-242.751052743421,-135.949239738809,-231.001404710092
-26.2892767721205,-136.176847413048,-246.880935794063
-355.197710681648,3.66218864000984,-215.824796161149
51.0333647399093,-100.843349926581,-190.753492861142
-375.123239298075,-61.6129474153568,-187.199910812924
-77.2043050127613,-37.0426039340655,-135.054918778711
64.9311661986067,-89.3215427508403,-191.386155916731
-189.459575705449,-113.296450694512,-271.243955533693
-749.718327106748,-59.4458425247576,-120.092406838652
-102.805977359483,-100.906986040121,-130.774519962899
-21.5343753441884,-98.3426516274776,-196.378069633589
-111.302455660829,-64.9114448063483,-182.699613899735
-141.022023868631,-76.4038324793946,-205.19535179557
-370.614910111108,-137.309083243628,-149.902331969381
-121.913789904327,-129.135351215809,-286.662529995374
-142.778257421305,-143.071755573736,-240.976590793696
-156.796173513489,-138.668614336233,-262.478703545927
-28.7224180934136,-73.4835948832915,-295.186573607862
-56.635314835039,-106.682046677364,-320.428220970794
-681.122584003751,-117.982124423674,-162.771698319488
-308.653036481293,-236.98900945198,-274.988079585201
-160.320055721415,-57.4008481186174,-246.455251159531
125.910778225734,-146.637378009153,-305.957909451798
-112.875851229765,-19.7204604547078,-341.085929688954
-114.582920816698,7.21111672420375,-321.043770718134
-385.462944853902,-45.5718558907247,-296.934049690695
-264.226797702708,-37.0640046410972,-180.034024949397
-347.668320190991,-80.5062522624748,-173.054533560979
-328.838534701583,-63.3821087239048,-104.130387651774
-159.650550583858,-61.5829124457086,-107.24527511582
-282.818328520763,-14.1916686883342,-101.2051756359
-33.3591123087836,-53.4007159665416,-170.936609076456
-175.984315662656,-106.09623997852,-197.959741910207
-118.708509148535,-41.7825603024321,-161.172997082933
-450.009259130195,-48.6093861985719,-167.789762348009
-89.7086779772508,-151.68175896132,-183.06005413413
-285.319337111083,-129.948638974514,-226.835714093118
-40.540283042079,-71.3244442338182,-261.888909717061
-67.2591415627103,-27.7358358219517,-203.456314508672
-89.5170487703872,-52.3086578863149,-161.400804020464
-538.59027540531,-155.563977440685,-159.649834176409
-287.098764392518,-207.135619104003,-209.198677687178
85.3047133225045,-218.332797706506,-200.976486263622
-207.074967369655,-27.847293243467,-183.800827608608
35.6923835398338,-74.4255528589711,-180.995878872229
-44.1941921949283,-164.933458123371,-209.457357684572
-565.887839508645,-13.1366482633894,-216.320850645461
-111.951462365396,-32.9206480202192,-197.549163381511
-99.4849860627291,-113.824992399706,-146.317566139245
-236.639467062421,-139.518018878996,-223.128733525489
-396.473796171398,-83.8658083179798,-75.8994421047209
-283.755856248317,-46.5780274960562,-67.8450112985447
-52.160016615584,-36.9465986952709,-184.139902289404
-0.553824475675356,-58.4109019825701,-89.2939828918097
-167.610997281707,-21.6516100914305,-83.0902262391901
-215.476089996548,-43.3057888293988,-57.3467338968676
-62.6782062650891,-42.7672272437485,-94.7310783949069
-189.593677925506,-34.2860293647682,-91.8563230719265
-48.3779976824007,-34.3487048432853,-88.7107900756091
-19.5378755303973,13.8393789113652,-56.5646168905223
-91.6079798567662,-3.3148274781779,-62.8114966186695
-42.6310444404626,-25.8798977966508,-68.2936186595762
-46.1223141330265,-16.6310749279801,-49.8919471960689
7.80107519662124,-27.6851057758613,-58.4318087141728
-44.5621728768865,-20.3865515612415,-54.7043050169527
-24.1579553899355,-28.0310420744827,-32.3346453815102
-32.9929915855901,-40.6384414301574,-51.0433399818576
11.8517932938557,-15.21330736659,-51.8934185834223
-168.562342339064,-10.2059106165252,-25.7106310177842
-29.6514591097257,-41.8084931087724,-63.3662316773334
2.66873535747573,-16.3782470979568,-72.2726118459323
-42.3160595901718,-67.617811867327,-113.167541834875
-139.706104710487,-19.4410353721469,-91.4271379962593
-121.399183382828,-47.1860231000173,-66.2598246386806
0.0875311521522235,-22.1320658091863,-61.3372678418127
111.700319201176,-64.3701511040636,-49.9313194191054
124.868571924646,-67.2088435222031,-239.131517955422
-71.8039131962578,-124.158581841766,-204.787253251823
-241.942088099328,-185.522928292878,-333.483236334566
-164.95692432081,-60.7602174620897,-244.600347357891
-202.183227453421,-93.211574650406,-187.974800967146
-340.675221433979,-60.4667155165589,-237.904117216571
-180.637408409733,-136.444029279839,-170.74823711225
105.363027639629,-141.261372059234,-290.115548938698
-99.4062784142734,-95.7890916317847,-209.452165628449
-81.0947077223391,-182.418397079804,-398.163626394198
-380.631022979069,-138.263887410331,-170.110669026792
-653.931897891911,-40.3551486506785,-210.945551532001
99.9950217799851,-118.029172980605,-195.652905157214
-467.957188994263,-94.4933287695203,-207.633013506231
99.0834851356631,-36.5234179825929,-182.343350449839
-335.29955713985,-29.6802090821875,-101.271519005164
32.9609142231639,-27.1050535756003,-135.164447219373
56.7255160724744,15.2010109816292,-78.6329221526566
118.66028284948,-68.4462397764291,-141.162309015563
-38.5454974204222,-65.2707858225895,-84.9047366066152
-176.004730173605,-15.7999650468755,-126.438237334427
-30.9444136907987,-33.9771123419278,-103.285252060643
-127.724369064061,-77.7482397428539,-111.235681961087
-42.9954583027866,-32.8445901363775,-86.8019082387909
11.6508015952058,-61.8992586802924,-74.8781812371162
-2.09013455972308,-35.3234548448745,-54.64039278563
6.80661495539243,-28.0889719077459,-52.6721162980393
-65.3278563867279,-17.503436290368,-71.960752819512
75.9598049995402,-2.57505977870642,-63.2052047893012
-174.376029579449,-23.0483847084288,-58.2853942132497
54.2975695700807,-39.263515038605,-73.3410290824231
-13.7641044790507,-43.7331015203235,-50.698057508358
-81.073825102967,-5.2900764792721,-33.3602914024814
-179.223651373657,-16.0864363154251,-41.5106789107376
-197.474486789652,-52.0877667719342,-61.3204563543841
-99.7469054170579,-9.80116660307976,-41.9336555255286
-131.138972027817,-58.2512820542615,-119.709408904397
-108.884891600377,-56.588315280701,-97.6368066320574
78.8195921128372,-48.1059052924975,-95.813314353436
-423.411785981472,-19.8742626538442,-154.123302669439
17.9497944107952,-97.7175128923918,-192.279272267959
-137.359906784986,-11.6047356149065,-113.587872850403
-80.8712413577668,-50.6355494811141,-217.416080409021
-174.294962022672,-67.6724072916986,-259.643088951561
-60.6828801709562,-101.722951535034,-195.626630194718
-344.636175527063,-88.0423397271661,-179.501080581285
-77.0647616408532,-20.3407991526219,-130.61222670797
-38.9615556795252,-38.7355215917341,-127.3924837425
-32.9362535063701,-108.960815846349,-254.561072055556
1.80817724144435,-23.4807311041804,-227.370911342034
17.9600293345866,-63.7014815537768,-201.107336651505
-244.166657430033,-10.261530479519,-103.802124816371
-562.86816511595,-114.364281578513,-126.157047123808
-388.63518653129,-26.8516248787541,-255.885820801923
-313.789262857943,-113.939145203047,-191.407963650796
27.4089781413822,-73.8592146994633,-277.977526062095
-685.332761709207,-63.9860531565064,-210.359601072822
-412.538054456963,-165.009979179194,-300.667756614777
-208.069547226158,-60.2251530827489,-233.622039060254
-594.033882008051,-104.581112303582,-253.900943164554
-270.051720362157,-208.550025606433,-266.578045376809
-166.883589763587,-60.7968882449823,-164.468393458053
-41.8016270487278,-188.530249454401,-259.200320812668
-626.170779894863,-108.09327550287,-290.798473478113
-195.239451809844,-108.741171903559,-128.398666745801
-110.680198915332,-57.0928160969343,-202.511479577181
-288.364446193285,-118.307547747128,-212.825078267357
-342.367615875897,-138.781538816823,-176.365286883403
-70.0573178554077,-92.6315739521524,-84.2556058296905
-385.613090434796,-79.0438347731251,-174.109506620996
-466.305386827029,-68.3773306951771,-322.719752194709
-175.161474247291,-193.75533840028,-192.914421282079
-270.855705493464,-194.713952151098,-255.41558112136
-204.545317050739,-93.9003019071242,-109.776062612298
-246.59219789664,-69.2072458977927,-173.238101582727
-596.597873511055,-69.3822941391481,-181.846434161067
-73.3684684354957,-80.4295219979958,-143.686068634852
-117.473089534957,-174.648762491386,-159.845584838207
-57.727819751075,-150.505675699401,-193.82612311485
-305.579362823497,-39.2201572017802,-235.399756925908
129.491393836341,-243.614110157218,-140.581117995169
-381.647549440757,-137.516417708161,-392.634063271005
-123.373430539563,-114.148050859832,-182.333022669758
-126.68219450218,-130.834768381887,-176.881976875899
-239.790829816397,-66.9081842242595,-146.892553869808
-40.5325054428067,-161.021090691633,-268.294430834125
-259.256249435275,-36.273356455742,-127.528769178825
101.885255560323,-138.527702219244,-160.32894327322
-422.569186901648,-13.6655952603614,-152.491608365475
-422.786221999108,-71.9571519911915,-181.008391590035
-52.7091595115835,22.1034188707417,-229.045489482931
-171.96201111158,-136.505839398378,-244.428153442852
-105.15641167729,-94.6363482640154,-172.767514679246
-383.019020130712,-105.688771632114,-191.073263141716
-1.89116390507843,-92.7402498917945,-161.152841437084
-21.4192832577974,-47.6783577594615,-127.144249613732
-355.434230043418,-169.396665889653,-174.686764152037
-135.828976171499,-85.9895309682906,-228.9296725774
-161.548311517523,-38.6466381202481,-89.0724466228767
-12.6555110931222,-78.6290780535201,-134.067110548407
-242.255720171452,-64.7713293160195,-153.631867411445
-368.848111161189,0.128463528002612,-95.9520334747358
-215.151507026654,-96.4770486522466,-190.677017513452
-264.687154121115,-215.620143210093,-168.930369253081
-298.665729361033,-158.446847070943,-148.521434258165
-214.049483468145,-173.146285044393,-223.176528545941
-655.91722914463,-215.576218741488,-268.676321465835
-443.456960952695,-102.579981227318,-240.004978093551
-564.800241452333,-157.615194769045,-281.838410115379
59.4424550790609,-245.096630070329,-264.896429759101
-290.077222870888,-48.6279827542166,-292.268854937269
-205.039633270397,-246.398323912937,-131.856796942899
-198.390763961939,-11.0263571902542,-143.348160197827
-148.594556107749,-39.9537666080287,-163.38930205928
-167.200382881332,50.656262579374,-168.539694184612
-179.557043146502,-123.449870975426,-166.977400769847
-159.420433705931,-97.8040062214859,-163.981874486384
-383.804007496681,-85.0947116963653,-138.076092763309
-148.08962665814,-66.9576246741053,-280.691250332602
-288.492474745999,-51.8626348099497,-234.42858953512
-13.5722749615088,-52.4818534174992,-122.43165685478
-2.54774468945106,-168.694752153708,-194.586145684824
-336.701603869522,-72.6851016069995,-302.495393470104
-444.029336814754,-179.261590174639,-412.356926981302
-993.561188732303,-201.344285145256,-310.360722993377
-82.6727540083375,-28.6501654826534,-278.225004486216
-392.936186946149,-148.34471767638,-216.367622566031
-319.086220158646,-172.697810803718,-448.919428285037
41.0757912910485,-115.088929935089,-374.434590641875
-829.552668897832,-97.7112958894868,-231.908052357809
-525.274528237671,-214.497151945281,-80.6415699035351
-504.017565897302,-81.5469156391482,-283.025668126415
-64.032735242552,-198.444505517369,-282.353151837917
-110.936500534604,-141.481314315512,-255.138747658537
-216.486953811738,-93.5103958187392,-311.257567578126
-427.668208249524,-26.8169624334405,-258.163755856833
-134.209049848345,-83.4899317011004,-206.827048692918
-111.814866890265,-72.8715307812781,-148.547774382838
-41.7033497499069,-82.8374632790219,-108.747720649626
