Iteration	Posterior	Likelihood	Prior	ex0	ex1	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction_hidden[1]	extinction_hidden[2]	extinction_hidden_sd	extinction_hidden_unormalized[1]	extinction_hidden_unormalized[2]	extinction_observed[1]	extinction_observed[2]	hidden_rate	R[1]	R[2]	sp0	sp1	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation_hidden[1]	speciation_hidden[2]	speciation_hidden_sd	speciation_hidden_unormalized[1]	speciation_hidden_unormalized[2]	speciation_observed[1]	speciation_observed[2]	transition_rates[1]	transition_rates[2]
0	-2221.773	-2221.061	-0.712696	0.0003111838	0.02483645	0.000310544	0.0247854	0.000311824	0.0248875	0.997944	1.00206	0.003048548	0.997946	1.00206	0.000311184	0.0248365	0.04883983	0.0488398	0.0488398	0.07596227	0.004397975	0.000855428	4.95266e-05	0.151069	0.00874642	0.0112612	1.98874	3.835411	0.0752496	13.2891	0.0759623	0.00439797	0.0173819	0.0022231
1	-2217.209	-2211.436	-5.772766	0.0003111838	0.0001901575	0.000309903	0.000189375	0.000312465	0.00019094	0.995883	1.00412	0.00610321	0.995892	1.00413	0.000311184	0.000190158	0.07476434	0.0747643	0.0747643	0.07596227	0.002590638	0.000855428	2.91738e-05	0.151069	0.0051521	0.0112612	1.98874	3.835411	0.0752496	13.2891	0.0759623	0.00259064	0.0173819	0.00652948
2	-2215.414	-2213.063	-2.351183	0.0001442005	0.0001145846	0.000132346	0.000105165	0.000156055	0.000124005	0.91779	1.08221	0.1221597	0.920908	1.08589	0.0001442	0.000114585	0.06830251	0.0683025	0.0683025	0.07265793	0.002590638	0.000818217	2.91738e-05	0.144498	0.0051521	0.0112612	1.98874	3.835411	0.0752496	13.2891	0.0726579	0.00259064	0.0171971	0.00652948
3	-2220.957	-2209.412	-11.5452	0.0003056136	0.002839471	0.000259864	0.00241441	0.000351363	0.00326453	0.850302	1.1497	0.2236233	0.859993	1.1628	0.000305614	0.00283947	0.0863467	0.0863467	0.0863467	0.07265793	0.002590638	0.00206793	7.37325e-05	0.143248	0.00510754	0.0284611	1.97154	3.141656	0.12015	8.32294	0.0726579	0.00259064	0.0171971	0.00652948
4	-2219.301	-2214.42	-4.88127	0.0001227782	0.02222846	0.000104399	0.0189009	0.000141158	0.025556	0.850302	1.1497	0.2236233	0.859993	1.1628	0.000122778	0.0222285	0.0742086	0.0742086	0.0742086	0.07077393	0.002590638	0.00692423	0.000253457	0.134624	0.00492782	0.0978359	1.90216	2.199778	0.226791	4.40935	0.0707739	0.00259064	0.0158849	0.00211239
5	-2220.403	-2224.556	4.152054	0.0001877919	0.01086139	0.000126591	0.0073217	0.000248993	0.0144011	0.674103	1.3259	0.5014612	0.713031	1.40246	0.000187792	0.0108614	0.04962372	0.0496237	0.0496237	0.08235573	0.002590638	0.0182984	0.000575609	0.146413	0.00460567	0.222188	1.77781	1.541621	0.353523	2.82867	0.0823557	0.00259064	0.0151139	0.00362713
6	-2224.285	-2227.786	3.500338	0.003819593	0.01100675	0.00369955	0.0106608	0.00393963	0.0113527	0.968573	1.03143	0.04660924	0.969052	1.03194	0.00381959	0.0110068	0.03985237	0.0398524	0.0398524	0.07171013	0.01240443	0.0159331	0.00275611	0.127487	0.0220527	0.222188	1.77781	1.541621	0.353523	2.82867	0.0717101	0.0124044	0.0154714	0.00428788
7	-2213.344	-2223.656	10.31228	0.0007016466	0.000187021	0.000679596	0.000181143	0.000723697	0.000192899	0.968573	1.03143	0.04660924	0.969052	1.03194	0.000701647	0.000187021	0.05005448	0.0500545	0.0500545	0.07519631	0.0001223863	0.0167077	2.71928e-05	0.133685	0.00021758	0.222188	1.77781	1.541621	0.353523	2.82867	0.0751963	0.000122386	0.0154714	0.00428788
8	-2222.438	-2222.962	0.5240981	0.0003981234	0.0194965	0.000395123	0.0193496	0.000401123	0.0196434	0.992465	1.00754	0.01117202	0.992493	1.00756	0.000398123	0.0194965	0.04559794	0.0455979	0.0455979	0.07519631	0.01035828	0.0167077	0.00230148	0.133685	0.0184151	0.222188	1.77781	1.541621	0.353523	2.82867	0.0751963	0.0103583	0.0237733	0.00428788
9	-2212.929	-2223.223	10.29399	0.0003981234	0.0001329051	0.000392961	0.000131182	0.000403286	0.000134628	0.987033	1.01297	0.01922559	0.987116	1.01305	0.000398123	0.000132905	0.04456164	0.0445616	0.0445616	0.07726023	0.000209762	0.0171663	4.66066e-05	0.137354	0.000372917	0.222188	1.77781	1.541621	0.353523	2.82867	0.0772602	0.000209762	0.0237733	0.00265634
10	-2223.052	-2233.812	10.76052	0.0003981234	0.0003142224	0.000242056	0.000191044	0.000554191	0.0004374	0.607991	1.39201	0.6140513	0.660888	1.51312	0.000398123	0.000314222	0.0238251	0.0238251	0.0238251	0.07568871	0.01018926	0.00856543	0.00115308	0.142812	0.0192254	0.113167	1.88683	2.085869	0.244902	4.08327	0.0756887	0.0101893	0.0238996	0.00265634
11	-2221.763	-2222.495	0.7328719	0.0003981234	0.0008259553	0.000339704	0.000704757	0.000456543	0.000947154	0.853263	1.14674	0.219135	0.8626	1.15929	0.000398123	0.000825955	0.03982123	0.0398212	0.0398212	0.07652482	0.006409072	0.00408945	0.000342497	0.14896	0.0124756	0.0534395	1.94656	2.665177	0.16569	6.03536	0.0765248	0.00640907	0.0238996	0.0132587
12	-2220.669	-2219.144	-1.525389	0.0006834102	0.0002906698	0.000583128	0.000248018	0.000783692	0.000333322	0.853263	1.14674	0.219135	0.8626	1.15929	0.00068341	0.00029067	0.0499347	0.0499347	0.0499347	0.07814246	0.006409072	0.00257418	0.000211128	0.153711	0.012607	0.0329421	1.96706	3.031583	0.12941	7.72739	0.0781425	0.00640907	0.0199084	0.0132587
13	-2219.658	-2219.373	-0.2842709	0.0005010362	0.0002906698	0.000284308	0.000164938	0.000717765	0.000416402	0.56744	1.43256	0.6865071	0.629366	1.5889	0.000501036	0.00029067	0.05082615	0.0508262	0.0508262	0.07998009	0.0002420302	0.00263471	7.97298e-06	0.157325	0.000476087	0.0329421	1.96706	3.031583	0.12941	7.72739	0.0799801	0.00024203	0.0234312	0.0132587
14	-2217.938	-2221.258	3.320027	0.0003226538	0.002084901	0.000202114	0.001306	0.000443194	0.0028638	0.62641	1.37359	0.5820529	0.675306	1.48081	0.000322654	0.0020849	0.04504284	0.0450428	0.0450428	0.07449668	0.002379058	0.00928541	0.00029653	0.139708	0.00446159	0.124642	1.87536	2.009749	0.257804	3.87891	0.0744967	0.00237906	0.0253525	0.00141743
15	-2222.782	-2231.727	8.945058	0.001496146	0.002724451	9.72211e-05	0.000177038	0.00289507	0.00527186	0.064981	1.93502	2.51581	0.183253	5.45694	0.00149615	0.00272445	0.02758096	0.027581	0.027581	0.07217903	0.0004665497	0.0185786	0.000120088	0.125779	0.000813011	0.257396	1.7426	1.417753	0.384328	2.60195	0.072179	0.00046655	0.0186	0.00235753
16	-2219.049	-2230.705	11.65561	0.003137918	0.002724451	0.00254746	0.00221179	0.00372838	0.00323711	0.81183	1.18817	0.2823458	0.826596	1.20978	0.00313792	0.00272445	0.03497812	0.0349781	0.0349781	0.07291222	0.0004665497	0.0193065	0.000123538	0.126518	0.000809561	0.264792	1.73521	1.393601	0.39064	2.5599	0.0729122	0.00046655	0.0146607	4.29371e-06
17	-2217.732	-2224.273	6.540399	0.002266101	0.002724451	0.00183969	0.00221179	0.00269251	0.00323711	0.81183	1.18817	0.2823458	0.826596	1.20978	0.0022661	0.00272445	0.0424988	0.0424988	0.0424988	0.07582708	0.0003037719	0.00540713	2.16616e-05	0.146247	0.000585882	0.0713087	1.92869	2.444499	0.192283	5.20068	0.0758271	0.000303772	0.0188257	3.29223e-06
18	-2215.697	-2226.796	11.09887	0.0008240429	0.0001392075	0.00048722	8.23072e-05	0.00116087	0.000196108	0.591255	1.40874	0.6436021	0.647846	1.54358	0.000824043	0.000139208	0.03538337	0.0353834	0.0353834	0.07234819	0.001124578	0.00515905	8.01922e-05	0.139537	0.00216896	0.0713087	1.92869	2.444499	0.192283	5.20068	0.0723482	0.00112458	0.0188257	3.61357e-05
19	-2217.219	-2211.485	-5.733881	0.0002550957	0.0002705344	0.000179153	0.000189995	0.000331039	0.000351073	0.702297	1.2977	0.4551555	0.735652	1.35934	0.000255096	0.000270534	0.08945529	0.0894553	0.0894553	0.07234819	0.001124578	0.00533703	8.29586e-05	0.139359	0.0021662	0.0737686	1.92623	2.418411	0.195696	5.10997	0.0723482	0.00112458	0.0146822	0.00129888
20	-2219.426	-2217.506	-1.919473	0.0011584	0.0001328833	0.000813541	9.33235e-05	0.00150326	0.000172443	0.702297	1.2977	0.4551555	0.735652	1.35934	0.0011584	0.000132883	0.07070075	0.0707008	0.0707008	0.08416615	0.001124578	0.0140668	0.000187953	0.154265	0.0020612	0.167132	1.83287	1.775308	0.30197	3.31159	0.0841661	0.00112458	0.0146822	0.00943385
