Iteration	Posterior	Likelihood	Prior	ex0	ex1	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction_hidden[1]	extinction_hidden[2]	extinction_hidden_sd	extinction_hidden_unormalized[1]	extinction_hidden_unormalized[2]	extinction_observed[1]	extinction_observed[2]	hidden_rate	R[1]	R[2]	sp0	sp1	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation_hidden[1]	speciation_hidden[2]	speciation_hidden_sd	speciation_hidden_unormalized[1]	speciation_hidden_unormalized[2]	speciation_observed[1]	speciation_observed[2]	transition_rates[1]	transition_rates[2]
0	-2123.436	-2118.173	-5.26337	0.5105368	0.8037231	0.0227729	0.0358508	0.998301	1.5716	0.0446059	1.95539	2.802475	0.151035	6.62096	0.510537	0.803723	0.01920085	0.0192008	0.0192008	0.5971964	0.2294436	0.0780833	0.0299997	1.11631	0.428887	0.13075	1.86925	1.971866	0.264476	3.78106	0.597196	0.229444	0.010599	0.0111981
1	-2122.829	-2111.629	-11.20084	0.5206295	0.8037231	0.0179547	0.0277176	1.0233	1.57973	0.0344864	1.96551	2.997038	0.13246	7.54942	0.52063	0.803723	0.0449565	0.0449565	0.0449565	0.5971964	0.2294436	0.0780833	0.0299997	1.11631	0.428887	0.13075	1.86925	1.971866	0.264476	3.78106	0.597196	0.229444	0.0113279	0.013243
2	-2114.187	-2111.406	-2.781396	0.5206295	0.8037231	0.00961669	0.0148458	1.03164	1.5926	0.0184713	1.98153	3.465885	0.0965491	10.3574	0.52063	0.803723	0.03001032	0.0300103	0.0300103	0.5971964	0.0001340447	0.0780833	1.75263e-05	1.11631	0.000250563	0.13075	1.86925	1.971866	0.264476	3.78106	0.597196	0.000134045	0.0136543	0.0168118
3	-2113.167	-2114.323	1.155553	0.5228216	0.9683463	0.00965718	0.0178866	1.03599	1.91881	0.0184713	1.98153	3.465885	0.0965491	10.3574	0.522822	0.968346	0.02222433	0.0222243	0.0222243	0.5971964	0.0002033397	0.0783775	2.66868e-05	1.11602	0.000379993	0.131242	1.86876	1.968884	0.265009	3.77346	0.597196	0.00020334	0.0110712	0.00400106
4	-2114.283	-2113.105	-1.178644	0.5228216	0.0726935	0.00965718	0.00134274	1.03599	0.144044	0.0184713	1.98153	3.465885	0.0965491	10.3574	0.522822	0.0726935	0.03519733	0.0351973	0.0351973	0.6188543	0.004218237	0.13343	0.000909489	1.10428	0.00752698	0.215609	1.78439	1.566641	0.347607	2.87681	0.618854	0.00421824	0.0110712	0.00400106
5	-2115.174	-2112.764	-2.409348	0.5016583	0.1360763	0.0139142	0.00377426	0.989402	0.268378	0.0277363	1.97226	3.161052	0.118588	8.43253	0.501658	0.136076	0.03411292	0.0341129	0.0341129	0.6188543	0.01670615	0.13343	0.00360199	1.10428	0.0298103	0.215609	1.78439	1.566641	0.347607	2.87681	0.618854	0.0167062	0.0110712	0.00400106
6	-2113.764	-2112.642	-1.121897	0.5121458	0.1360763	0.014205	0.00377426	1.01009	0.268378	0.0277363	1.97226	3.161052	0.118588	8.43253	0.512146	0.136076	0.03411292	0.0341129	0.0341129	0.5999422	0.01025783	0.123197	0.00210643	1.07669	0.0184092	0.205349	1.79465	1.607035	0.338264	2.95627	0.599942	0.0102578	0.00790275	0.00278732
7	-2110.175	-2116.539	6.363759	0.5317186	0.05502336	0.0489523	0.00506569	1.01448	0.104981	0.0920643	1.90794	2.247098	0.219667	4.55236	0.531719	0.0550234	0.02098371	0.0209837	0.0209837	0.6051993	0.0007829883	0.11796	0.000152613	1.09244	0.00141336	0.19491	1.80509	1.650007	0.3286	3.04321	0.605199	0.000782988	0.00790275	0.00278732
8	-2113.453	-2111.064	-2.389123	0.4686895	0.05502336	0.00635854	0.000746482	0.93102	0.1093	0.0135666	1.98643	3.696485	0.0826417	12.1004	0.468689	0.0550234	0.021888	0.021888	0.021888	0.563162	0.08969357	0.104552	0.0166517	1.02177	0.162735	0.185651	1.81435	1.689879	0.319881	3.12616	0.563162	0.0896936	0.00674877	0.0115891
9	-2112.239	-2110.625	-1.613813	0.4700026	0.05502336	0.0174483	0.00204267	0.922557	0.108004	0.0371237	1.96288	2.941416	0.137524	7.27144	0.470003	0.0550234	0.03878899	0.038789	0.038789	0.556838	0.002128011	0.097887	0.000374085	1.01579	0.00388194	0.175791	1.82421	1.734353	0.310428	3.22136	0.556838	0.00212801	0.0112147	0.0115891
