Iteration	Posterior	Likelihood	Prior	ex0	ex1	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction_hidden[1]	extinction_hidden[2]	extinction_hidden_sd	extinction_hidden_unormalized[1]	extinction_hidden_unormalized[2]	extinction_observed[1]	extinction_observed[2]	hidden_rate	R[1]	R[2]	rate_category_prior[1]	rate_category_prior[2]	rate_category_prior[3]	rate_category_prior[4]	sp0	sp1	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation_hidden[1]	speciation_hidden[2]	speciation_hidden_sd	speciation_hidden_unormalized[1]	speciation_hidden_unormalized[2]	speciation_observed[1]	speciation_observed[2]	transition_rates[1]	transition_rates[2]
0	-199.1229	-213.6901	14.56717	0.0005358915	0.01048998	0.000334174	0.0065414	0.000737609	0.0144386	0.623586	1.37641	0.5869256	0.673091	1.48568	0.000535892	0.01049	0.001898655	0.00189865	0.00189865	0.349809	0.0161034	0.40879	0.225297	0.1978616	0.005558813	0.0637294	0.00179044	0.331994	0.00932718	0.322091	1.67791	1.223496	0.438132	2.28242	0.197862	0.00555881	0.0487609	0.0226365
1	-191.8399	-217.3419	25.50201	9.203746e-06	0.01048998	8.07397e-06	0.00920231	1.03335e-05	0.0117776	0.877248	1.12275	0.182915	0.883933	1.13131	9.20375e-06	0.01049	0.01148411	0.0114841	0.0114841	0.412181	0.0189747	0.481679	0.0871657	0.2030739	2.778996e-05	0.0622359	8.51676e-06	0.343912	4.70631e-05	0.306469	1.69353	1.26722	0.425399	2.35073	0.203074	2.779e-05	0.0399664	0.00821016
2	-191.5284	-213.8085	22.28008	0.0001701251	0.01048998	0.000105059	0.006478	0.000235191	0.014502	0.617541	1.38246	0.5973942	0.668355	1.49621	0.000170125	0.01049	0.002010897	0.0020109	0.0020109	0.298489	0.112747	0.525642	0.0631227	0.1926875	2.778996e-05	0.0590528	8.51676e-06	0.326322	4.70631e-05	0.306469	1.69353	1.26722	0.425399	2.35073	0.192688	2.779e-05	0.0290609	0.0237685
3	-197.7601	-216.4615	18.70145	0.0008787878	0.009977786	0.000542688	0.0061617	0.00121489	0.0137939	0.617541	1.38246	0.5973942	0.668355	1.49621	0.000878788	0.00997779	0.008994419	0.00899442	0.00899442	0.280727	0.115601	0.538951	0.0647209	0.1162294	0.0004134272	0.0356207	0.000126703	0.196838	0.000700152	0.306469	1.69353	1.26722	0.425399	2.35073	0.116229	0.000413427	0.0175627	0.0254083
4	-189.604	-215.611	26.007	9.524043e-06	8.270362e-05	9.23178e-06	8.01657e-05	9.8163e-06	8.52415e-05	0.969314	1.03069	0.04551012	0.96977	1.03117	9.52404e-06	8.27036e-05	0.007537913	0.00753791	0.00753791	0.613861	0.10495	0.222432	0.0587576	0.1162294	0.02718722	0.0356207	0.00833204	0.196838	0.0460424	0.306469	1.69353	1.26722	0.425399	2.35073	0.116229	0.0271872	0.0175627	0.00977089
5	-182.909	-214.2048	31.29577	9.524043e-06	0.0001826089	9.10099e-06	0.000174498	9.9471e-06	0.00019072	0.955581	1.04442	0.06589964	0.956525	1.04545	9.52404e-06	0.000182609	0.001104255	0.00110425	0.00110425	0.649085	0.0535913	0.235195	0.0621292	0.1388041	5.082279e-05	0.051897	1.9002e-05	0.225711	8.26436e-05	0.373887	1.62611	1.089709	0.479507	2.08548	0.138804	5.08228e-05	0.0175627	0.0202381
6	-190.1522	-213.4987	23.34647	9.524043e-06	0.01085421	7.00677e-06	0.00798537	1.20413e-05	0.0137231	0.735693	1.26431	0.4013897	0.76282	1.31093	9.52404e-06	0.0108542	0.0007567724	0.000756772	0.000756772	0.262771	0.228803	0.0952147	0.413211	0.1553113	5.082279e-05	0.0580688	1.9002e-05	0.252554	8.26436e-05	0.373887	1.62611	1.089709	0.479507	2.08548	0.155311	5.08228e-05	0.0433159	0.0388781
7	-193.5049	-214.9438	21.43884	0.0001803966	0.002063209	0.000165181	0.00188919	0.000195612	0.00223723	0.915656	1.08434	0.125346	0.918931	1.08822	0.000180397	0.00206321	0.007295152	0.00729515	0.00729515	0.378581	0.1221	0.0508111	0.448507	0.2025458	5.928957e-06	0.0757292	2.21676e-06	0.329362	9.64116e-06	0.373887	1.62611	1.089709	0.479507	2.08548	0.202546	5.92896e-06	0.0780352	0.0388781
8	-196.4734	-214.235	17.76162	0.00245434	0.002063209	0.00224733	0.00188919	0.00266135	0.00223723	0.915656	1.08434	0.125346	0.918931	1.08822	0.00245434	0.00206321	0.007295152	0.00729515	0.00729515	0.378581	0.1221	0.0508111	0.448507	0.2025458	5.928957e-06	0.0555006	1.62462e-06	0.349591	1.02333e-05	0.274015	1.72599	1.364269	0.398445	2.50976	0.202546	5.92896e-06	0.0780352	0.0471775
9	-187.0098	-211.9458	24.93605	0.00245434	2.748852e-06	0.00224733	2.517e-06	0.00266135	2.9807e-06	0.915656	1.08434	0.125346	0.918931	1.08822	0.00245434	2.74885e-06	0.002293353	0.00229335	0.00229335	0.396719	0.0800405	0.0532454	0.469995	0.2025458	5.928957e-06	0.0545515	1.59684e-06	0.35054	1.02611e-05	0.269329	1.73067	1.379065	0.394488	2.53493	0.202546	5.92896e-06	0.0447026	0.0774973
