Iteration	Posterior	Likelihood	Prior	ex0	ex1	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction_hidden[1]	extinction_hidden[2]	extinction_hidden_sd	extinction_hidden_unormalized[1]	extinction_hidden_unormalized[2]	extinction_observed[1]	extinction_observed[2]	hidden_rate	R[1]	R[2]	rate_category_prior[1]	rate_category_prior[2]	rate_category_prior[3]	rate_category_prior[4]	sp0	sp1	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation_hidden[1]	speciation_hidden[2]	speciation_hidden_sd	speciation_hidden_unormalized[1]	speciation_hidden_unormalized[2]	speciation_observed[1]	speciation_observed[2]	transition_rates[1]	transition_rates[2]
0	-669.2743	-688.4344	19.16006	8.29552e-05	0.2620653	5.66895e-05	0.179089	0.000109221	0.345042	0.683375	1.31663	0.4861333	0.720441	1.38804	8.29552e-05	0.262065	0.005147431	0.00514743	0.00514743	0.446938	0.11908	0.011742	0.42224	0.2190504	0.00271885	0.121004	0.0015019	0.317097	0.0039358	0.552404	1.4476	0.714155	0.617738	1.61881	0.21905	0.00271885	0.00645291	0.00946121
1	-666.1157	-688.713	22.59726	3.512607e-06	0.2620653	2.40043e-06	0.179089	4.62479e-06	0.345042	0.683375	1.31663	0.4861333	0.720441	1.38804	3.51261e-06	0.262065	0.005147431	0.00514743	0.00514743	0.446938	0.11908	0.011742	0.42224	0.2190504	0.00271885	0.121004	0.0015019	0.317097	0.0039358	0.552404	1.4476	0.714155	0.617738	1.61881	0.21905	0.00271885	0.0041791	0.00946121
2	-666.1157	-688.713	22.59726	3.512607e-06	0.2620653	2.40043e-06	0.179089	4.62479e-06	0.345042	0.683375	1.31663	0.4861333	0.720441	1.38804	3.51261e-06	0.262065	0.005147431	0.00514743	0.00514743	0.446938	0.11908	0.011742	0.42224	0.2190504	0.00271885	0.121004	0.0015019	0.317097	0.0039358	0.552404	1.4476	0.714155	0.617738	1.61881	0.21905	0.00271885	0.0041791	0.00946121
3	-666.1157	-688.713	22.59726	3.512607e-06	0.2620653	2.40043e-06	0.179089	4.62479e-06	0.345042	0.683375	1.31663	0.4861333	0.720441	1.38804	3.51261e-06	0.262065	0.005147431	0.00514743	0.00514743	0.446938	0.11908	0.011742	0.42224	0.2190504	0.00271885	0.121004	0.0015019	0.317097	0.0039358	0.552404	1.4476	0.714155	0.617738	1.61881	0.21905	0.00271885	0.0041791	0.00946121
4	-666.1157	-688.713	22.59726	3.512607e-06	0.2620653	2.40043e-06	0.179089	4.62479e-06	0.345042	0.683375	1.31663	0.4861333	0.720441	1.38804	3.51261e-06	0.262065	0.005147431	0.00514743	0.00514743	0.446938	0.11908	0.011742	0.42224	0.2190504	0.00271885	0.121004	0.0015019	0.317097	0.0039358	0.552404	1.4476	0.714155	0.617738	1.61881	0.21905	0.00271885	0.0041791	0.00946121
5	-666.1157	-688.713	22.59726	3.512607e-06	0.2620653	2.40043e-06	0.179089	4.62479e-06	0.345042	0.683375	1.31663	0.4861333	0.720441	1.38804	3.51261e-06	0.262065	0.005147431	0.00514743	0.00514743	0.446938	0.11908	0.011742	0.42224	0.2190504	0.00271885	0.121004	0.0015019	0.317097	0.0039358	0.552404	1.4476	0.714155	0.617738	1.61881	0.21905	0.00271885	0.0041791	0.00946121
6	-666.1157	-688.713	22.59726	3.512607e-06	0.2620653	2.40043e-06	0.179089	4.62479e-06	0.345042	0.683375	1.31663	0.4861333	0.720441	1.38804	3.51261e-06	0.262065	0.005147431	0.00514743	0.00514743	0.446938	0.11908	0.011742	0.42224	0.2190504	0.00271885	0.121004	0.0015019	0.317097	0.0039358	0.552404	1.4476	0.714155	0.617738	1.61881	0.21905	0.00271885	0.0041791	0.00946121
7	-666.1157	-688.713	22.59726	3.512607e-06	0.2620653	2.40043e-06	0.179089	4.62479e-06	0.345042	0.683375	1.31663	0.4861333	0.720441	1.38804	3.51261e-06	0.262065	0.005147431	0.00514743	0.00514743	0.446938	0.11908	0.011742	0.42224	0.2190504	0.00271885	0.121004	0.0015019	0.317097	0.0039358	0.552404	1.4476	0.714155	0.617738	1.61881	0.21905	0.00271885	0.0041791	0.00946121
8	-666.1157	-688.713	22.59726	3.512607e-06	0.2620653	2.40043e-06	0.179089	4.62479e-06	0.345042	0.683375	1.31663	0.4861333	0.720441	1.38804	3.51261e-06	0.262065	0.005147431	0.00514743	0.00514743	0.446938	0.11908	0.011742	0.42224	0.2190504	0.00271885	0.121004	0.0015019	0.317097	0.0039358	0.552404	1.4476	0.714155	0.617738	1.61881	0.21905	0.00271885	0.0041791	0.00946121
9	-666.1157	-688.713	22.59726	3.512607e-06	0.2620653	2.40043e-06	0.179089	4.62479e-06	0.345042	0.683375	1.31663	0.4861333	0.720441	1.38804	3.51261e-06	0.262065	0.005147431	0.00514743	0.00514743	0.446938	0.11908	0.011742	0.42224	0.2190504	0.00271885	0.121004	0.0015019	0.317097	0.0039358	0.552404	1.4476	0.714155	0.617738	1.61881	0.21905	0.00271885	0.0041791	0.00946121
10	-666.1157	-688.713	22.59726	3.512607e-06	0.2620653	2.40043e-06	0.179089	4.62479e-06	0.345042	0.683375	1.31663	0.4861333	0.720441	1.38804	3.51261e-06	0.262065	0.005147431	0.00514743	0.00514743	0.446938	0.11908	0.011742	0.42224	0.2190504	0.00271885	0.121004	0.0015019	0.317097	0.0039358	0.552404	1.4476	0.714155	0.617738	1.61881	0.21905	0.00271885	0.0041791	0.00946121
11	-666.1157	-688.713	22.59726	3.512607e-06	0.2620653	2.40043e-06	0.179089	4.62479e-06	0.345042	0.683375	1.31663	0.4861333	0.720441	1.38804	3.51261e-06	0.262065	0.005147431	0.00514743	0.00514743	0.446938	0.11908	0.011742	0.42224	0.2190504	0.00271885	0.121004	0.0015019	0.317097	0.0039358	0.552404	1.4476	0.714155	0.617738	1.61881	0.21905	0.00271885	0.0041791	0.00946121
12	-666.1157	-688.713	22.59726	3.512607e-06	0.2620653	2.40043e-06	0.179089	4.62479e-06	0.345042	0.683375	1.31663	0.4861333	0.720441	1.38804	3.51261e-06	0.262065	0.005147431	0.00514743	0.00514743	0.446938	0.11908	0.011742	0.42224	0.2190504	0.00271885	0.121004	0.0015019	0.317097	0.0039358	0.552404	1.4476	0.714155	0.617738	1.61881	0.21905	0.00271885	0.0041791	0.00946121
