name,p,keep
GP,3.74860401659926e-05,Y
BM,0.345841926536639,N
AFM,0.32262662812268,N
MR,0.315682995396101,N
RDM,1.18671623483163e-05,Y
TSP,1.95082846224607e-07,Y
PC,2.4056324198321e-12,Y
FWA,2.26121899261137e-05,Y
FAM,6.69468314987799e-05,Y
MAM,6.96247787765353e-05,Y
NB,0.0961010764226773,N
SDT,0.000242696403842654,Y
GL,1.00584037845652e-07,Y
SPI,0.138083223943436,N
NAC,0.0740006579847586,N
GIM,2.08516913763755e-09,Y
GFE,0.00500397746796303,Y
MMC,4.88934920672135e-06,Y
BG,1.80182874134075e-06,Y
MGS,9.1692668789522e-09,Y
DHE,0.00184045094212565,Y
DCA,0.231598402982989,N
DPMI,0.999999999999998,N
DIN,0.495402885614955,N
DFR,0.369833248207918,N
DGR,0.88579769461151,N
DCE,0.2894479157726,N
DMOC,0.999999999999999,N
IUCN,0.0256468320100666,Y
SOG,0.00772147662451635,Y
Modifiers,0.0641592410615111,N
FSSB,2.84449939947414e-46,Y
MSSB,1.52258593850431e-71,Y
SSB,1.661900607923e-83,Y
