SSB,Species,Gestation Period (m),Birth Mass (kg),Adult Female Mass (kg),Radically Dimorphic Morphology?,Typically single progeny?,Progeny Count,Weaned Age (m),Female Age of Maturity (m),Male age of Maturity (m),Males Noted to not Compete Immediately?,Nonseasonal Breeding?,Lifespan (these are weak af),Some Degree of Territoriality?,Group Living (Beyond families)?,Deep Paternal involvement?,Notable Alloparental Care Beyond Alerts?,Generally Female Exclusive Groups?,Multimale Coed Groups?,Bachelor Groups?,Herbivorous?,Carnivorous?,Piscivorous/Marine Inverts?,Insectivorous?,Frugivorous?,Granivorous?,Carrion Eater?,Minorly Opportunist Carnivore?,IUCN Designation
1,Acinonyx jubatus,3.1,0.275,43.0000,N,N,4.0,3.6,30.0,18.0,Y,Y,14maxwild,Y,N,N,N,N,N,Y,N,Y,N,N,N,N,N,N,VU
0,Acomys cahirinus,1.3,0.00549,0.0400,N,N,2.4,0.5,1.9,2.0,N,Y,5.5,N,Y,N,Y,Y,N,N,Y,N,N,Y,N,Y,N,N,LC
0,Aepyceros melampus,6.7,5.25,45.0000,Y,Y,1.0,6.0,15.9,17.0,Y,Y,6.5,Y,Y,N,N,N,N,Y,Y,N,N,N,N,N,N,N,LC
0,Ailuropoda melanoleuca,4.3,0.14,85.0000,N,N,1.6,6.0,78.4,73.1,N,N,32.0,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,Y,VU
0,Ailurus fulgens,4.4,0.12,4.5000,N,N,1.9,4.6,19.1,18.3,N,N,17.5,N,N,N,Y,N,N,N,Y,N,N,Y,Y,N,N,Y,VU
1,Alces alces,7.8,13,270.0000,Y,Y,1.3,4.5,16.5,16.5,Y,N,17.5,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,LC
0,Alopex lagopus,1.8,0.0825,3.4150,N,N,4.8,1.7,10.1,10.1,N,N,15.0,Y,N,Y,Y,N,N,N,N,Y,N,N,N,N,N,N,LC
0,Alouatta caraya,6.0,0.2606,5.0500,Y,Y,1.0,10.5,38.5,30.9,N,Y,26.3,Y,Y,Y,Y,N,Y,N,Y,N,N,N,Y,Y,N,N,NT
0,Alouatta palliata,6.2,0.31829,5.2500,N,Y,1.0,15.5,38.0,42.6,N,Y,29.0,,Y,,,N,Y,N,Y,N,N,N,Y,N,N,N,VU
0,Alouatta pigra,6.2,0.48,5.8000,N,Y,1.0,,,,N,Y,20.0,,Y,Y,Y,N,Y,N,Y,N,N,N,Y,N,N,N,EN
0,Alouatta seniculus,6.3,0.29342,5.5000,Y,Y,1.4,12.3,49.0,,N,Y,25.0,,Y,N,Y,N,Y,Y,Y,N,N,N,Y,N,N,N,LC
1,Antechinus stuartii,0.9,0.00001,0.0280,Y,N,6.9,3.0,9.8,9.5,N,N,2.5,N,Y,N,N,N,Y,N,N,N,N,Y,N,N,N,N,LC
0,Antidorcas marsupialis,6.7,3.84148,26.5000,Y,Y,1.0,1.9 or 4.1,12.0,18.8,Y,N,19.8,Y,Y,N,N,Y,N,Y,Y,N,N,N,N,N,N,N,LC
1,Antilocapra americana,8.2,3.5,45.0000,Y,N,1.9,2.9,16.0,18.2,Y,N,12.0,N,Y,N,N,N,Y,Y,Y,N,N,N,N,N,N,N,LC
1,Antilope cervicapra,5.3,3.38614,30.0000,Y,Y,1.0,2.0,15.5,18.0,N,Y,21.3,Y,Y,N,Y,N,N,Y,Y,N,N,N,N,N,N,N,LC
0,Antrozous pallidus,2.0,0.00309,0.0215,N,N,1.8,1.7,12.2,12.2,N,N,9.1,N,Y,N,N,N,Y,N,N,N,N,Y,N,N,N,Y,LC
0,Aonyx capensis,2.1,1.0500,13.5000,N,N,2.6,1.8,12.3,12.2,N,Y,14.0,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,NT
0,Aotus trivirgatus,4.4,0.09649,0.7360,N,Y,1.1,2.5,27.4,24.3,,,25.3,,N,Y,N,N,N,N,,,,,,,,,LC
0,Apodemus agrarius,0.7,0.0018,0.0270,N,N,5.6,0.9,2.5,2.4,N,N,4.0,N,,,,,,,Y,N,N,Y,Y,Y,N,N,LC
0,Apodemus flavicollis,0.8,0.0023,0.0390,N,N,5.2,0.7,1.7,1.7,N,,4.2,,,,,,,,N,N,N,Y,N,Y,N,N,LC
0,Apodemus sylvaticus,0.7,0.0015,0.0220,N,N,4.8,0.6,2.4,2.2,N,Y,4.4,N,Y,N,Y,N,Y,N,Y,N,N,Y,Y,Y,N,N,LC
0,Arctocephalus australis,8.2,4.44971,45.0000,Y,Y,1.0,16.0,48.0,85.1,Y,N,15maxcap,N,Y,N,N,N,Y,N,N,N,Y,N,N,N,N,N,LC
0,Arctocephalus forsteri,8.1,3.7,40.0000,Y,Y,1.0,10.0,48.6,85.2,Y,N,26.5,N,Y,N,N,N,Y,N,N,Y,Y,N,N,N,N,N,LC
0,Arctocephalus gazella,8.5,5.79463,40.0000,Y,Y,1.0,4.0,36.5,85.2,Y,N,23max,N,Y,N,N,N,Y,Y,N,Y,Y,N,N,N,N,N,LC
0,Arctocephalus pusillus,8.9,5.75,57.0000,Y,Y,1.0,11.0,54.0,126.0,Y,N,25maxwild (estimate),N,Y,N,N,N,Y,N,N,Y,N,N,N,N,N,N,LC
0,Arctocephalus tropicalis,8.1,4.34741,50.0000,Y,Y,1.0,10.5,60.0,48.0,Y,N,20.2,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,Y,LC
0,Ateles belzebuth,4.6,,7.9000,N,Y,1.0,,48.7,60.9,N,Y,20.0,Y,Y,N,N,N,Y,N,Y,N,N,N,Y,Y,N,N,EN
1,Ateles geoffroyi,7.6,0.42585,7.7000,N,Y,1.0,25.0,78.0,60.9,N,Y,47.1,Y,Y,N,N,N,Y,N,Y,N,N,N,Y,Y,N,N,EN
0,Ateles paniscus,7.6,0.47864,8.4000,N,Y,1.0,26.8,55.5,42.7,N,Y,30.0,Y,Y,N,N,N,Y,N,Y,N,N,N,Y,Y,N,N,VU
1,Balaena mysticetus,13.5,900.0000,80000.0000,N,Y,1.0,11.7,213.1,273.7,N,N,"88max, maybe 133. OLD",N,Y,N,N,Y,Y,Y,N,N,Y,N,N,N,N,N,LC
0,Balaenoptera acutorostrata,10.1,350,2400.0000,N,Y,1.0,4.5,72.0,84.0,N,Y,60maxwild,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,LC
0,Balaenoptera borealis,10.5,780,30000.0000,N,Y,1.0,7.0,96.0,96.0,N,N,60maxwild,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,EN
0,Balaenoptera edeni,11.5,725,15800.0000,N,Y,1.0,6.0,82.0,82.0,N,N,72.0,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,LC
0,Balaenoptera musculus,10.9,2500,133000.0000,N,Y,1.0,6.6,108.0,108.0,N,N,65.0,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,EN
1,Balaenoptera physalus,11.3,1250,78000.0000,N,Y,1.0,6.6,75.0,54.0,Y,N,95.0,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,VU
1,Barbastella barbastellus,8.5,0.0021,0.0100,N,N,1.7,,12.0,,N,N,21.0,N,Y,N,N,N,Y,N,N,N,N,Y,N,N,N,N,NT
1,Bison bison,9.5,20,452.0000,Y,Y,1.0,12.0,30.4,27.4,Y,N,27.0,N,Y,N,Y,N,Y,Y,Y,N,N,N,N,N,N,N,NT
1,Bison bonasus,8.9,26,540.0000,Y,Y,1.0,9.4,32.0,36.0,Y,N,19.0,N,Y,N,Y,N,N,Y,Y,N,N,N,N,N,N,N,NT
0,Blarina brevicauda(us?),0.7,0.00089,0.0205,N,N,4.5,0.8,1.7,1.7,N,N,1.0,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,Y,LC
0,Bos gaurus,9.2,,700.0000,Y,N,1.0,8.0,24.0,,Y,Y,24maxcap,N,Y,N,Y,N,Y,Y,Y,N,N,N,N,N,N,N,VU
0,Brachyteles arachnoides,7.2,,8.5000,N,Y,1.0,24.0,84.0,84.0,N,N,14.5,N,Y,N,N,N,Y,N,Y,N,N,N,Y,N,N,N,CR
